,SCA,SCA Types,GCA,GCA Types,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,24,24.0,443,18.46,332,30,22,26,24,9,40,1.67,25,4,1,3,5,2,,,,,
vs Aston Villa,25,24.0,495,20.62,373,33,30,27,21,11,62,2.58,46,3,3,3,4,3,,,,,
vs Bournemouth,28,24.0,606,25.25,451,56,38,28,22,11,51,2.12,36,3,6,3,3,0,,,,,
vs Brentford,27,24.0,781,32.54,625,43,39,46,16,12,68,2.83,59,0,2,5,1,1,,,,,
vs Brighton,30,24.0,480,20.00,345,44,35,31,19,6,58,2.42,34,3,6,8,6,1,,,,,
vs Chelsea,27,24.0,469,19.54,338,35,26,27,31,12,50,2.08,31,2,6,4,5,2,,,,,
vs Crystal Palace,26,24.0,559,23.29,405,51,30,48,15,10,50,2.08,34,1,4,6,2,3,,,,,
vs Everton,24,23.0,524,22.78,394,48,25,30,19,8,46,2.00,38,2,3,1,0,2,,,,,
vs Fulham,25,24.0,454,18.92,311,50,36,19,32,6,53,2.21,42,3,3,3,1,1,,,,,
vs Ipswich Town,31,24.0,642,26.75,492,37,40,42,20,11,88,3.67,65,3,6,7,6,1,,,,,
vs Leicester City,28,24.0,718,29.92,528,56,43,50,27,14,92,3.83,75,5,4,6,2,0,,,,,
vs Liverpool,24,23.0,379,16.48,279,30,23,22,22,3,36,1.57,28,3,2,1,2,0,,,,,
vs Manchester City,26,24.0,426,17.75,336,31,18,19,12,10,64,2.67,53,3,3,1,3,1,,,,,
vs Manchester Utd,25,24.0,463,19.29,326,38,36,33,24,6,60,2.50,44,6,2,4,3,1,,,,,
vs Newcastle Utd,24,24.0,558,23.25,409,41,35,38,24,11,49,2.04,37,4,3,0,3,2,,,,,
vs Nott'ham Forest,23,24.0,558,23.25,420,47,39,31,16,5,48,2.00,35,2,4,5,2,0,,,,,
vs Southampton,33,24.0,767,31.96,554,54,43,54,34,28,86,3.58,51,9,8,10,4,4,,,,,
vs Tottenham,29,24.0,539,22.46,401,41,40,36,13,8,63,2.62,44,5,4,7,2,1,,,,,
vs West Ham,26,24.0,712,29.67,560,49,21,42,26,14,74,3.08,54,4,6,3,5,2,,,,,
vs Wolves,26,24.0,581,24.21,411,64,33,32,33,8,87,3.62,57,10,5,6,8,1,,,,,
