,Total,Short,Medium,Long,,Expected,,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,24,23.0,7727,9618,80.3,133581,44629,3645,4074,89.5,3270,3746,87.3,654,1369,47.8,15,13.8,13.5,+1.2,171,564,113,38,606,,,,,,,,
vs Aston Villa,24,23.0,9105,10877,83.7,154630,52228,4507,4904,91.9,3617,4090,88.4,787,1374,57.3,24,19.9,22.4,+4.1,193,737,167,41,815,,,,,,,,
vs Bournemouth,28,23.0,8982,11413,78.7,154072,60972,4323,4911,88.0,3656,4330,84.4,780,1571,49.6,20,22.3,22.8,-2.3,244,644,214,45,822,,,,,,,,
vs Brentford,26,23.0,9428,11667,80.8,160710,56478,4611,5113,90.2,3830,4430,86.5,810,1616,50.1,29,29.4,29.5,-0.4,333,841,295,56,1038,,,,,,,,
vs Brighton,30,23.0,8411,10518,80.0,149710,53492,3695,4143,89.2,3860,4358,88.6,719,1492,48.2,18,25.1,18.4,-7.1,199,604,148,28,728,,,,,,,,
vs Chelsea,27,23.0,7720,9695,79.6,133230,49272,3645,4098,88.9,3292,3758,87.6,634,1364,46.5,21,23.6,16.2,-2.6,182,557,154,32,705,,,,,,,,
vs Crystal Palace,26,23.0,10375,12778,81.2,183618,63659,4555,5186,87.8,4651,5281,88.1,955,1687,56.6,22,24.5,21.8,-2.5,234,810,170,38,919,,,,,,,,
vs Everton,24,22.0,10687,12816,83.4,180590,61087,5070,5606,90.4,4590,5177,88.7,797,1481,53.8,24,22.8,22.6,+1.2,218,796,213,54,966,,,,,,,,
vs Fulham,25,23.0,8936,10985,81.3,151229,52236,4245,4720,89.9,3729,4280,87.1,712,1409,50.5,25,20.3,17.3,+4.7,175,680,149,31,814,,,,,,,,
vs Ipswich Town,31,23.0,11578,13726,84.4,196224,59963,5542,6069,91.3,5058,5642,89.6,807,1541,52.4,30,34.7,30.6,-4.7,265,908,226,45,1017,,,,,,,,
vs Leicester City,28,23.0,10622,12794,83.0,183193,60645,5005,5564,90.0,4613,5229,88.2,848,1456,58.2,36,33.2,30.9,+2.8,301,882,256,65,1109,,,,,,,,
vs Liverpool,24,22.0,7364,9305,79.1,127528,47434,3470,3916,88.6,3052,3558,85.8,660,1295,51.0,17,14.8,13.8,+2.2,154,449,121,31,632,,,,,,,,
vs Manchester City,26,23.0,7913,9579,82.6,137056,47993,3776,4144,91.1,3239,3620,89.5,719,1356,53.0,23,26.2,20.7,-3.2,187,520,149,45,551,,,,,,,,
vs Manchester Utd,25,23.0,8889,10957,81.1,148556,51340,4311,4832,89.2,3607,4143,87.1,701,1379,50.8,22,24.9,19.6,-2.9,190,643,140,31,713,,,,,,,,
vs Newcastle Utd,24,23.0,8764,10929,80.2,147377,50971,4379,4845,90.4,3465,3995,86.7,714,1500,47.6,25,22.0,21.2,+3.0,229,709,182,41,816,,,,,,,,
vs Nott'ham Forest,23,23.0,10649,12873,82.7,180374,60251,4948,5521,89.6,4745,5401,87.9,754,1407,53.6,21,19.1,20.9,+1.9,238,967,238,48,1228,,,,,,,,
vs Southampton,31,23.0,9326,11207,83.2,156961,52820,4432,4917,90.1,4000,4489,89.1,685,1290,53.1,36,40.3,31.4,-4.3,316,722,253,47,911,,,,,,,,
vs Tottenham,28,23.0,7321,9374,78.1,129197,49522,3501,3968,88.2,2824,3301,85.5,790,1527,51.7,24,28.5,22.0,-4.5,218,585,190,54,736,,,,,,,,
vs West Ham,26,23.0,9743,11975,81.4,169809,58310,4527,5101,88.7,4178,4825,86.6,864,1562,55.3,34,32.5,28.1,+1.5,303,868,244,60,1007,,,,,,,,
vs Wolves,26,23.0,9615,11760,81.8,165281,57710,4547,5069,89.7,4155,4758,87.3,749,1408,53.2,36,28.5,24.2,+7.5,246,770,211,45,963,,,,,,,,
