,Total,Short,Medium,Long,,Expected,,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,24,23.0,7717,9608,80.3,133476,44618,3634,4063,89.4,3272,3748,87.3,653,1368,47.7,15,13.6,13.5,+1.4,171,564,113,38,605,,,,,,,,
vs Aston Villa,23,22.0,8706,10387,83.8,147542,49676,4310,4691,91.9,3481,3936,88.4,732,1290,56.7,23,19.0,21.2,+4.0,185,698,156,35,781,,,,,,,,
vs Bournemouth,28,23.0,8980,11409,78.7,154104,60982,4320,4911,88.0,3662,4335,84.5,779,1570,49.6,20,22.1,22.7,-2.1,243,640,215,46,821,,,,,,,,
vs Brentford,26,22.0,9190,11317,81.2,156134,54569,4516,5005,90.2,3721,4287,86.8,779,1530,50.9,28,28.7,28.4,-0.7,323,821,289,55,1011,,,,,,,,
vs Brighton,30,23.0,8410,10516,80.0,149830,53545,3681,4124,89.3,3874,4378,88.5,718,1489,48.2,18,25.1,18.4,-7.1,199,603,148,28,729,,,,,,,,
vs Chelsea,27,23.0,7710,9685,79.6,133130,49261,3637,4091,88.9,3294,3759,87.6,633,1363,46.4,21,23.7,16.1,-2.7,182,557,153,32,705,,,,,,,,
vs Crystal Palace,25,22.0,10099,12383,81.6,178587,61565,4430,5033,88.0,4527,5125,88.3,931,1624,57.3,21,24.1,21.1,-3.1,225,788,162,36,891,,,,,,,,
vs Everton,24,22.0,10683,12811,83.4,180612,61102,5054,5590,90.4,4605,5192,88.7,793,1477,53.7,24,22.8,22.6,+1.2,218,793,213,54,968,,,,,,,,
vs Fulham,25,22.0,8504,10463,81.3,144252,49938,4033,4488,89.9,3554,4084,87.0,685,1350,50.7,25,20.1,16.9,+4.9,174,648,144,31,773,,,,,,,,
vs Ipswich Town,31,23.0,11575,13723,84.3,196202,59961,5540,6067,91.3,5058,5642,89.6,807,1541,52.4,30,34.7,30.6,-4.7,265,908,226,45,1017,,,,,,,,
vs Leicester City,27,22.0,10139,12189,83.2,174882,57970,4789,5308,90.2,4397,4984,88.2,807,1384,58.3,35,32.3,30.1,+2.7,290,841,246,60,1068,,,,,,,,
vs Liverpool,24,22.0,7364,9305,79.1,127528,47434,3470,3916,88.6,3052,3558,85.8,660,1295,51.0,17,14.8,13.8,+2.2,154,449,121,31,632,,,,,,,,
vs Manchester City,26,23.0,7909,9572,82.6,136998,47973,3771,4136,91.2,3240,3622,89.5,719,1356,53.0,23,26.0,20.6,-3.0,188,520,149,45,552,,,,,,,,
vs Manchester Utd,25,22.0,8452,10419,81.1,141371,49080,4095,4590,89.2,3444,3962,86.9,663,1305,50.8,22,24.5,19.2,-2.5,183,606,136,29,679,,,,,,,,
vs Newcastle Utd,24,23.0,8763,10925,80.2,147261,50898,4380,4844,90.4,3464,3993,86.8,713,1499,47.6,25,22.0,21.2,+3.0,229,708,182,41,816,,,,,,,,
vs Nott'ham Forest,23,23.0,10643,12863,82.7,180324,60291,4947,5519,89.6,4736,5390,87.9,756,1409,53.7,21,19.0,21.0,+2.0,238,967,240,48,1228,,,,,,,,
vs Southampton,31,23.0,9323,11204,83.2,156933,52806,4430,4915,90.1,3999,4488,89.1,685,1290,53.1,36,40.3,31.4,-4.3,316,722,253,47,911,,,,,,,,
vs Tottenham,28,22.0,7041,8987,78.3,124011,47549,3386,3825,88.5,2703,3153,85.7,757,1456,52.0,22,27.1,21.7,-5.1,209,562,184,51,715,,,,,,,,
vs West Ham,26,22.0,9417,11559,81.5,164632,56410,4360,4912,88.8,4033,4655,86.6,851,1519,56.0,33,31.8,27.5,+1.2,292,847,233,58,970,,,,,,,,
vs Wolves,26,23.0,9611,11756,81.8,165262,57727,4542,5064,89.7,4156,4759,87.3,749,1408,53.2,36,28.5,24.2,+7.5,246,770,211,45,963,,,,,,,,
