,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
31,Harrison Armstrong,eng ENG,MF,Everton,18-011,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-119,1994,16.0,545,425,537,8,0,0,545,0,0,,0,,306,1569,882,0,0,0,0,0,228,0,Matches,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-022,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-171,1997,2.8,111,3,11,49,52,18,111,4,1,25.0,3,75.0,58,272,132,5,4,2,15,10,73,13,Matches,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-116,2003,14.1,795,39,182,400,226,34,795,35,14,40.0,13,37.1,412,2042,895,19,12,5,26,18,513,51,Matches,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-141,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-141,1991,12.0,511,14,76,257,192,37,510,40,14,35.0,22,55.0,311,2015,906,24,22,3,38,28,349,55,Matches,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-310,2001,2.8,245,16,99,136,11,0,245,1,0,0.0,1,100.0,140,514,288,3,4,0,1,0,178,2,Matches,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-174,1997,11.0,460,14,65,132,272,58,460,46,18,39.1,19,41.3,297,2161,1118,48,21,27,29,22,331,96,Matches,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-027,2004,16.9,921,43,206,542,200,7,921,37,20,54.1,15,40.5,511,3015,1535,27,24,2,23,23,553,17,Matches,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-056,1993,6.2,429,16,68,255,112,17,429,10,8,80.0,2,20.0,254,1377,640,14,13,2,5,8,302,8,Matches,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-052,1997,8.7,374,8,49,128,197,57,374,28,12,42.9,11,39.3,274,2011,1088,42,21,23,16,10,305,82,Matches,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-030,1999,22.0,1611,222,796,742,87,11,1611,18,7,38.9,6,33.3,1023,4913,2656,18,12,3,21,5,1118,11,Matches,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-293,1996,18.8,1545,278,802,716,34,11,1545,3,3,100.0,0,0.0,811,2957,1426,4,4,1,8,2,1036,1,Matches,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-217,1998,9.6,379,13,71,154,161,25,379,37,6,16.2,20,54.1,241,1592,700,23,18,7,15,15,265,45,Matches,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-219,1997,8.6,647,29,146,389,118,10,647,8,3,37.5,4,50.0,383,1628,642,7,9,3,7,11,436,9,Matches,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-351,1998,12.6,712,52,205,419,92,6,712,10,5,50.0,4,40.0,394,2041,830,12,11,2,2,9,425,1,Matches,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-363,2006,6.2,485,23,108,259,127,6,485,19,10,52.6,6,31.6,287,1818,854,15,8,1,13,10,336,13,Matches,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-045,2002,19.5,1227,93,467,548,221,9,1227,15,6,40.0,8,53.3,634,2955,1378,29,15,4,8,11,679,46,Matches,,,,,,
50,Beto,gw GNB,FW,Everton,26-365,1998,3.5,104,4,11,43,51,21,104,16,9,56.3,6,37.5,54,368,149,5,4,2,16,6,77,20,Matches,,,,,,
