,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
130,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-022,2000,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7,Matches,,,,,,
131,Flynn Downes,eng ENG,MF,Southampton,26-010,1999,15.9,948,67,292,494,166,18,948,11,3,27.3,7,63.6,439,2379,1251,18,14,4,12,14,680,23,Matches,,,,,,
132,Tommy Doyle,eng ENG,MF,Wolves,23-105,2001,4.9,410,17,115,228,69,2,410,8,4,50.0,1,12.5,234,1277,538,6,3,0,6,3,276,2,Matches,,,,,,
133,Radu Drăgușin,ro ROU,DF,Tottenham,22-362,2002,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2,Matches,,,,,,
134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-015,1989,8.0,275,206,265,10,0,0,275,0,0,,0,,163,813,515,0,0,0,0,0,143,0,Matches,,,,,,
135,Lewis Dunk,eng ENG,DF,Brighton,33-070,1991,16.4,1510,195,735,704,81,15,1510,1,0,0.0,1,100.0,928,4394,2399,15,13,0,4,3,1092,2,Matches,,,,,,
136,Jhon Durán,co COL,FW,Aston Villa,21-048,2003,7.1,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44,Matches,,,,,,
137,Ederson,br BRA,GK,Manchester City,31-166,1993,15.0,594,406,585,9,0,0,594,0,0,,0,,386,1685,1035,0,0,0,1,0,386,0,Matches,,,,,,
138,George Edmundson,eng ENG,DF,Ipswich Town,27-152,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches,,,,,,
139,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-014,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches,,,,,,
140,Odsonne Édouard,fr FRA,FW,Leicester City,27-014,1998,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2,Matches,,,,,,
141,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-002,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches,,,,,,
142,Ronnie Edwards,eng ENG,DF,Southampton,21-308,2003,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0,Matches,,,,,,
143,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-278,2002,15.2,615,25,97,171,356,59,615,44,11,25.0,18,40.9,322,2416,1337,52,26,24,42,25,396,104,Matches,,,,,,
144,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-301,2003,0.9,110,1,11,37,62,5,110,2,0,0.0,2,100.0,63,307,154,3,2,2,1,1,78,8,Matches,,,,,,
145,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-020,2006,0.2,23,0,5,10,8,0,23,1,0,0.0,1,100.0,9,51,34,1,0,1,2,3,13,1,Matches,,,,,,
146,Julio Enciso,py PAR,MF,Ipswich Town,21-007,2004,0.1,8,0,1,4,3,0,8,0,0,,0,,2,12,0,0,0,0,0,0,5,1,Matches,,,,,,
147,Julio Enciso,py PAR,"MF,FW",Brighton,21-007,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17,Matches,,,,,,
148,Wataru Endo,jp JPN,MF,Liverpool,31-356,1993,0.9,70,2,11,44,16,2,70,1,1,100.0,0,0.0,37,144,44,0,0,1,3,1,48,1,Matches,,,,,,
149,Christian Eriksen,dk DEN,MF,Manchester Utd,32-351,1992,7.0,488,17,102,251,139,9,488,1,0,0.0,1,100.0,267,929,362,5,6,0,3,3,320,19,Matches,,,,,,
150,Romain Esse,eng ENG,MF,Crystal Palace,19-262,2005,0.1,6,0,1,2,3,2,6,0,0,,0,,3,17,1,0,0,0,0,0,4,2,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
151,Pervis Estupiñán,ec ECU,DF,Brighton,27-009,1998,15.7,1139,47,278,568,305,19,1139,21,10,47.6,10,47.6,611,3025,1651,39,29,7,21,20,698,76,Matches,,,,,,
152,Evanilson,br BRA,FW,Bournemouth,25-116,1999,15.2,336,13,23,131,184,79,335,19,6,31.6,7,36.8,206,1087,503,19,10,11,28,18,244,61,Matches,,,,,,
153,Jonny Evans,nir NIR,DF,Manchester Utd,37-027,1988,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches,,,,,,
154,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-215,1998,17.6,928,10,120,443,388,61,928,85,37,43.5,44,51.8,558,3299,1522,46,27,16,27,30,618,106,Matches,,,,,,
155,Łukasz Fabiański,pl POL,GK,West Ham,39-287,1985,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches,,,,,,
156,Wout Faes,be BEL,DF,Leicester City,26-302,1998,17.3,1045,181,499,507,43,16,1045,4,3,75.0,1,25.0,598,2840,1708,8,8,1,10,3,676,1,Matches,,,,,,
157,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-328,2004,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches,,,,,,
158,João Félix,pt POR,"FW,MF",Chelsea,25-081,1999,4.1,271,2,26,128,124,29,271,31,10,32.3,14,45.2,192,1240,710,21,13,5,6,4,217,29,Matches,,,,,,
159,Evan Ferguson,ie IRL,FW,Brighton,20-103,2004,2.5,75,7,12,42,21,8,75,1,1,100.0,0,0.0,35,144,41,2,1,1,3,6,45,8,Matches,,,,,,
160,Bruno Fernandes,pt POR,MF,Manchester Utd,30-144,1994,20.4,1503,31,204,727,589,57,1500,41,16,39.0,20,48.8,885,4197,2202,48,39,8,28,24,1095,97,Matches,,,,,,
161,Mateus Fernandes,pt POR,MF,Southampton,20-204,2004,18.3,1045,42,215,512,338,37,1045,67,31,46.3,31,46.3,532,3338,1754,51,40,8,31,20,656,61,Matches,,,,,,
162,Enzo Fernández,ar ARG,MF,Chelsea,24-013,2001,17.8,1283,21,211,650,425,44,1283,28,15,53.6,8,28.6,672,2765,1322,26,25,3,16,20,941,64,Matches,,,,,,
163,Mark Flekken,nl NED,GK,Brentford,31-231,1993,22.4,1180,921,1146,39,0,0,1180,1,1,100.0,0,0.0,734,3676,2022,0,0,0,2,0,679,0,Matches,,,,,,
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-247,2000,14.4,844,12,63,291,497,70,844,28,10,35.7,13,46.4,522,2650,1269,33,20,11,26,22,652,97,Matches,,,,,,
165,Wesley Fofana,fr FRA,DF,Chelsea,24-044,2000,11.3,821,76,341,451,43,9,821,13,7,53.8,3,23.1,502,2681,1353,14,10,1,15,4,581,4,Matches,,,,,,
166,Carlos Forbs,pt POR,"MF,FW",Wolves,20-317,2004,2.6,117,3,20,38,60,13,117,12,7,58.3,5,41.7,72,435,297,9,3,8,7,4,82,28,Matches,,,,,,
167,Fraser Forster,eng ENG,GK,Tottenham,36-319,1988,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,Matches,,,,,,
168,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-341,1994,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,Matches,,,,,,
169,Niclas Füllkrug,de GER,FW,West Ham,31-356,1993,4.1,111,7,8,60,43,20,111,3,0,0.0,3,100.0,40,146,74,3,2,2,10,2,78,8,Matches,,,,,,
170,Cody Gakpo,nl NED,FW,Liverpool,25-268,1999,13.7,603,18,54,171,391,72,603,41,24,58.5,13,31.7,410,2849,1422,36,21,17,25,13,461,195,Matches,,,,,,
171,Idrissa Gana Gueye,sn SEN,MF,Everton,35-126,1989,18.5,991,45,239,564,193,14,991,23,11,47.8,11,47.8,465,2203,981,15,17,3,18,23,583,13,Matches,,,,,,
172,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-213,2004,13.7,651,8,78,228,356,89,651,53,14,26.4,34,64.2,460,3361,1601,76,38,38,35,28,497,160,Matches,,,,,,
173,James Garner,eng ENG,"DF,MF",Everton,23-323,2001,3.0,136,13,47,63,27,1,136,6,3,50.0,3,50.0,57,218,68,1,1,0,2,1,63,4,Matches,,,,,,
174,Tyrique George,eng ENG,FW,Chelsea,18-361,2006,0.1,4,0,1,1,2,0,4,0,0,,0,,3,29,11,1,0,0,0,0,4,0,Matches,,,,,,
175,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-003,2000,16.7,906,19,108,432,381,60,906,53,22,41.5,24,45.3,528,2921,1526,43,30,8,36,27,691,77,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
176,Billy Gilmour,sct SCO,MF,Brighton,23-233,2001,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2,Matches,,,,,,
177,Ben Godfrey,eng ENG,DF,Ipswich Town,27-015,1998,0.7,49,2,19,24,6,1,49,0,0,,0,,29,170,53,1,2,0,2,1,34,0,Matches,,,,,,
178,Martial Godo,eng ENG,FW,Fulham,21-322,2003,0.2,11,0,1,4,6,3,11,2,0,0.0,2,100.0,8,48,18,0,0,0,0,0,6,3,Matches,,,,,,
179,João Gomes,br BRA,MF,Wolves,23-353,2001,20.6,1192,47,279,660,266,19,1192,27,14,51.9,10,37.0,608,3669,1796,35,31,4,22,33,772,43,Matches,,,,,,
180,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-207,2003,6.1,288,19,67,102,122,22,288,10,3,30.0,5,50.0,145,980,586,17,11,7,13,6,171,56,Matches,,,,,,
181,Toti Gomes,pt POR,DF,Wolves,26-014,1999,14.0,926,128,473,417,48,8,926,16,11,68.8,3,18.8,515,2600,1351,5,9,0,12,8,615,7,Matches,,,,,,
182,Diego Gómez,py PAR,MF,Brighton,21-309,2003,0.0,2,0,1,0,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,
183,Joe Gomez,eng ENG,DF,Liverpool,27-252,1997,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches,,,,,,
184,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-341,2001,19.6,928,15,101,338,506,105,926,82,33,40.2,34,41.5,617,4461,2396,90,44,45,22,29,655,164,Matches,,,,,,
185,Ryan Gravenberch,nl NED,MF,Liverpool,22-259,2002,21.1,1455,65,287,855,331,17,1455,42,21,50.0,14,33.3,892,4617,2409,43,48,5,29,12,1055,34,Matches,,,,,,
186,Archie Gray,eng ENG,DF,Tottenham,18-324,2006,9.7,755,96,372,342,50,1,755,7,4,57.1,2,28.6,516,2298,946,3,5,0,3,7,562,7,Matches,,,,,,
187,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-142,1995,6.8,438,12,34,132,276,65,438,25,13,52.0,8,32.0,323,2560,1591,66,18,45,8,12,358,111,Matches,,,,,,
188,Jacob Greaves,eng ENG,DF,Ipswich Town,24-140,2000,13.0,721,161,413,277,32,12,721,2,1,50.0,1,50.0,327,1179,484,2,1,0,6,2,445,4,Matches,,,,,,
189,Brajan Gruda,de GER,"FW,MF",Brighton,20-244,2004,4.1,192,4,26,64,103,22,192,17,6,35.3,7,41.2,115,808,399,14,16,8,6,16,125,39,Matches,,,,,,
190,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-062,1996,6.9,323,3,36,140,159,21,323,19,5,26.3,11,57.9,193,1461,721,25,17,2,32,13,218,46,Matches,,,,,,
191,Marc Guéhi,eng ENG,DF,Crystal Palace,24-201,2000,22.0,1418,228,766,582,79,18,1418,11,9,81.8,2,18.2,768,3791,1948,9,12,1,13,10,880,3,Matches,,,,,,
192,Luis Guilherme,br BRA,"MF,FW",West Ham,18-356,2006,0.6,31,3,9,9,13,1,31,3,0,0.0,1,33.3,12,73,20,0,1,0,1,0,19,4,Matches,,,,,,
193,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-075,1997,22.2,1398,49,302,735,375,37,1398,54,23,42.6,17,31.5,949,5146,2171,31,28,5,34,60,1054,53,Matches,,,,,,
194,Marc Guiu,es ESP,FW,Chelsea,19-026,2006,0.4,9,0,1,3,5,0,9,1,0,0.0,1,100.0,3,3,1,0,0,0,0,0,4,1,Matches,,,,,,
195,İlkay Gündoğan,de GER,MF,Manchester City,34-098,1990,14.9,1188,28,181,567,457,43,1188,23,13,56.5,6,26.1,702,3949,1861,37,37,7,18,15,932,59,Matches,,,,,,
196,Malo Gusto,fr FRA,DF,Chelsea,21-256,2003,14.1,1076,33,272,515,298,33,1076,10,3,30.0,7,70.0,572,2701,1376,31,25,3,8,11,718,62,Matches,,,,,,
197,Joško Gvardiol,hr CRO,DF,Manchester City,23-007,2002,21.5,1821,74,414,839,584,68,1821,29,18,62.1,9,31.0,1166,6093,3455,56,71,12,16,12,1342,74,Matches,,,,,,
198,Erling Haaland,no NOR,FW,Manchester City,24-193,2000,22.6,483,20,34,154,298,149,481,25,10,40.0,13,52.0,231,1149,439,16,13,15,36,19,369,92,Matches,,,,,,
199,Lewis Hall,eng ENG,DF,Newcastle Utd,20-144,2004,20.4,1556,78,539,670,364,44,1556,16,8,50.0,6,37.5,857,3955,2149,37,22,11,28,17,958,68,Matches,,,,,,
200,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-335,2002,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
201,Marcus Harness,eng ENG,MF,Ipswich Town,28-341,1996,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1,Matches,,,,,,
202,Jack Harrison,eng ENG,FW,Everton,28-071,1996,11.1,424,19,85,145,197,38,424,38,11,28.9,23,60.5,245,1307,641,24,10,8,26,26,293,59,Matches,,,,,,
203,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-000,2002,20.6,1734,235,812,800,128,28,1734,2,2,100.0,0,0.0,982,4355,2545,19,21,0,10,5,1272,7,Matches,,,,,,
204,Kai Havertz,de GER,"FW,MF",Arsenal,25-233,1999,19.4,733,30,84,267,387,99,733,38,9,23.7,24,63.2,389,1839,846,30,21,16,41,22,548,103,Matches,,,,,,
205,Jan Paul van Hecke,nl NED,DF,Brighton,24-236,2000,19.9,1654,165,700,845,122,21,1654,8,3,37.5,4,50.0,1119,6852,4680,34,35,0,9,4,1189,5,Matches,,,,,,
206,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-004,1996,6.8,243,9,38,93,114,22,243,11,1,9.1,10,90.9,138,874,414,14,5,7,12,7,158,37,Matches,,,,,,
207,Dean Henderson,eng ENG,GK,Crystal Palace,27-324,1997,23.0,812,655,810,1,1,1,812,0,0,,0,,474,2819,1263,0,0,0,1,0,364,0,Matches,,,,,,
208,Rico Henry,eng ENG,DF,Brentford,27-206,1997,0.0,6,0,4,1,1,0,6,0,0,,0,,2,5,0,0,0,0,0,0,2,1,Matches,,,,,,
209,Mads Hermansen,dk DEN,GK,Leicester City,24-203,2000,15.5,644,487,619,26,0,0,644,1,1,100.0,0,0.0,413,2064,1073,0,0,0,0,0,329,0,Matches,,,,,,
210,Son Heung-min,kr KOR,FW,Tottenham,32-206,1992,16.6,809,9,73,257,486,85,808,57,24,42.1,27,47.4,541,3251,1672,64,36,26,21,20,632,189,Matches,,,,,,
211,James Hill,eng ENG,"DF,MF",Bournemouth,23-020,2002,2.0,116,7,29,60,27,0,116,2,1,50.0,1,50.0,53,140,75,0,2,0,2,0,59,5,Matches,,,,,,
212,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-294,2005,9.5,585,27,173,278,139,12,585,6,1,16.7,5,83.3,277,1171,581,10,6,1,11,1,381,28,Matches,,,,,,
213,George Hirst,eng ENG,FW,Ipswich Town,25-350,1999,2.4,76,4,11,23,42,11,76,1,0,0.0,1,100.0,42,218,66,3,1,3,10,7,67,15,Matches,,,,,,
214,Mason Holgate,eng ENG,"FW,DF",Everton,28-100,1996,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches,,,,,,
215,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-084,2000,16.9,725,10,76,231,435,52,725,46,27,58.7,13,28.3,453,3718,2448,92,45,32,33,19,555,133,Matches,,,,,,
216,Will Hughes,eng ENG,MF,Crystal Palace,29-288,1995,14.7,772,24,160,410,212,12,772,10,3,30.0,5,50.0,356,1930,863,16,16,1,16,16,439,20,Matches,,,,,,
217,Dean Huijsen,es ESP,DF,Bournemouth,19-291,2005,12.8,883,122,411,426,54,19,883,2,1,50.0,1,50.0,481,2856,1861,21,8,0,5,0,533,3,Matches,,,,,,
218,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-092,2003,19.7,812,11,130,345,352,59,812,94,38,40.4,42,44.7,503,3865,1799,53,30,25,55,46,578,90,Matches,,,,,,
219,Rasmus Højlund,dk DEN,FW,Manchester Utd,21-361,2003,12.1,290,3,15,147,132,31,290,21,6,28.6,14,66.7,182,888,357,17,10,8,44,17,233,54,Matches,,,,,,
220,Igor,br BRA,DF,Brighton,26-358,1998,10.0,764,109,377,353,38,1,764,4,3,75.0,1,25.0,497,2837,1782,9,14,0,1,0,568,0,Matches,,,,,,
221,Danny Ings,eng ENG,"FW,MF",West Ham,32-191,1992,2.9,128,2,14,48,66,25,128,7,4,57.1,2,28.6,56,311,115,6,0,2,5,6,90,26,Matches,,,,,,
222,Tim Iroegbunam,eng ENG,MF,Everton,21-214,2003,4.3,158,9,43,79,41,11,158,12,5,41.7,5,41.7,80,470,232,5,7,2,6,9,72,7,Matches,,,,,,
223,Andy Irving,sct SCO,MF,West Ham,24-262,2000,1.0,113,2,23,74,16,0,113,1,1,100.0,0,0.0,61,223,105,0,1,0,1,3,83,2,Matches,,,,,,
224,Alexander Isak,se SWE,FW,Newcastle Utd,25-131,1999,19.0,675,13,38,253,393,122,674,68,33,48.5,34,50.0,414,2501,1304,58,29,32,43,34,474,135,Matches,,,,,,
225,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-272,1996,21.5,1210,23,167,478,585,81,1210,65,35,53.8,27,41.5,874,5203,2900,94,74,28,40,29,964,158,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
226,Nicolas Jackson,sn SEN,FW,Chelsea,23-224,2001,18.7,531,19,41,222,276,113,531,50,17,34.0,25,50.0,312,1992,1077,40,21,26,51,30,384,91,Matches,,,,,,
227,Reece James,eng ENG,DF,Chelsea,25-053,1999,4.7,405,18,135,208,64,2,405,8,5,62.5,2,25.0,198,760,333,0,0,0,4,1,240,2,Matches,,,,,,
228,Vitaly Janelt,de GER,MF,Brentford,26-265,1998,18.4,954,91,318,431,213,24,954,11,3,27.3,6,54.5,502,2338,954,11,14,2,15,10,612,29,Matches,,,,,,
229,Vitezslav Jaros,cz CZE,GK,Liverpool,23-191,2001,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Matches,,,,,,
230,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-170,2003,0.5,26,2,3,9,14,5,26,3,2,66.7,1,33.3,20,135,74,2,1,2,3,2,22,7,Matches,,,,,,
231,Mathias Jensen,dk DEN,MF,Brentford,29-029,1996,7.5,422,19,97,176,150,7,422,13,7,53.8,4,30.8,227,1006,488,6,7,0,6,6,260,20,Matches,,,,,,
232,Gabriel Jesus,br BRA,FW,Arsenal,27-302,1997,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,Matches,,,,,,
233,Raúl Jiménez,mx MEX,FW,Fulham,33-270,1991,16.1,568,18,61,252,262,98,565,30,10,33.3,17,56.7,316,1335,578,19,11,8,38,24,415,72,Matches,,,,,,
234,Kim Jisoo,kr KOR,DF,Brentford,20-037,2004,0.3,29,1,14,12,3,0,29,0,0,,0,,15,57,22,0,0,0,0,1,22,0,Matches,,,,,,
235,João Pedro,br BRA,"FW,MF",Brighton,23-126,2001,14.4,608,8,39,252,325,81,607,51,21,41.2,25,49.0,416,2648,1246,48,26,23,47,25,494,93,Matches,,,,,,
236,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-169,1996,20.6,1072,55,205,521,355,69,1072,40,12,30.0,25,62.5,584,2909,1395,32,18,7,31,44,729,94,Matches,,,,,,
237,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-006,2000,9.2,406,37,166,144,98,6,406,17,7,41.2,8,47.1,173,948,378,10,9,2,14,9,194,18,Matches,,,,,,
238,Brennan Johnson,wls WAL,FW,Tottenham,23-252,2001,16.6,606,10,56,188,369,100,606,28,14,50.0,11,39.3,371,2051,1048,46,14,27,18,9,437,153,Matches,,,,,,
239,Sam Johnstone,eng ENG,GK,Wolves,31-311,1993,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0,Matches,,,,,,
240,Curtis Jones,eng ENG,MF,Liverpool,24-000,2001,10.0,660,15,94,355,215,35,660,12,8,66.7,3,25.0,408,1928,850,11,8,3,15,25,518,48,Matches,,,,,,
241,Jorginho,it ITA,MF,Arsenal,33-041,1991,5.1,338,5,67,202,73,1,338,2,1,50.0,0,0.0,195,990,572,8,7,0,8,7,249,2,Matches,,,,,,
242,Diogo Jota,pt POR,FW,Liverpool,28-057,1996,7.0,273,4,22,109,148,53,273,21,8,38.1,12,57.1,147,993,498,24,17,13,22,13,191,54,Matches,,,,,,
243,James Justin,eng ENG,DF,Leicester City,26-342,1998,21.1,1264,101,456,548,267,32,1264,24,7,29.2,10,41.7,564,2357,1177,31,19,4,21,8,695,60,Matches,,,,,,
244,Filip Jørgensen,dk DEN,GK,Chelsea,22-289,2002,2.0,55,47,55,0,0,0,55,0,0,,0,,38,172,110,0,0,0,0,0,35,0,Matches,,,,,,
245,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-115,1999,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27,Matches,,,,,,
246,Daichi Kamada,jp JPN,MF,Crystal Palace,28-178,1996,9.7,534,13,100,291,146,17,534,8,4,50.0,4,50.0,265,1314,655,16,11,3,8,14,341,35,Matches,,,,,,
247,Boubacar Kamara,fr FRA,MF,Aston Villa,25-068,1999,10.5,619,49,182,358,84,6,619,19,7,36.8,7,36.8,308,1486,687,10,7,1,5,7,398,3,Matches,,,,,,
248,Michael Keane,eng ENG,DF,Everton,32-019,1993,9.0,409,78,226,167,18,14,409,1,0,0.0,1,100.0,187,736,234,1,1,0,0,2,236,3,Matches,,,,,,
249,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-068,1998,8.0,309,230,308,1,0,0,309,1,1,100.0,0,0.0,232,851,453,0,0,0,1,0,209,0,Matches,,,,,,
250,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-116,1998,3.3,203,26,103,90,13,2,203,3,2,66.7,1,33.3,116,465,201,0,1,0,3,2,121,2,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
251,Milos Kerkez,hu HUN,DF,Bournemouth,21-084,2003,22.2,1192,72,299,499,405,35,1192,25,12,48.0,7,28.0,602,3388,2014,54,34,8,29,11,642,107,Matches,,,,,,
252,Bilal El Khannouss,ma MAR,MF,Leicester City,20-265,2004,11.2,610,5,71,336,209,12,610,27,19,70.4,8,29.6,351,1913,866,26,18,3,17,15,404,34,Matches,,,,,,
253,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-336,2004,0.6,52,8,33,19,1,0,52,1,0,0.0,1,100.0,41,163,44,0,0,0,0,0,43,0,Matches,,,,,,
254,Max Kilman,eng ENG,DF,West Ham,27-252,1997,22.2,1412,276,787,574,63,21,1412,16,11,68.8,1,6.3,758,3359,1963,20,6,2,10,1,934,3,Matches,,,,,,
255,Joshua King,eng ENG,"MF,FW",Fulham,18-027,2007,0.9,54,2,8,19,28,7,54,7,4,57.1,3,42.9,22,176,70,1,3,0,1,3,36,9,Matches,,,,,,
256,Antonín Kinský,cz CZE,GK,Tottenham,21-323,2003,3.0,122,102,120,2,0,0,122,0,0,,0,,70,309,166,1,0,0,0,0,74,0,Matches,,,,,,
257,Jakub Kiwior,pl POL,DF,Arsenal,24-350,2000,3.6,202,31,91,103,8,0,202,2,1,50.0,1,50.0,94,333,153,1,0,0,0,0,138,0,Matches,,,,,,
258,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-270,1999,16.0,625,18,70,204,368,89,619,46,16,34.8,23,50.0,359,2365,1343,46,33,26,34,15,395,99,Matches,,,,,,
259,Ibrahima Konaté,fr FRA,DF,Liverpool,25-250,1999,14.5,1167,117,472,612,87,13,1167,2,1,50.0,1,50.0,701,3312,1946,16,8,0,4,1,832,1,Matches,,,,,,
260,Ezri Konsa,eng ENG,DF,Aston Villa,27-099,1997,20.1,1176,128,546,547,89,15,1176,13,7,53.8,5,38.5,681,3492,1705,14,8,2,11,5,810,11,Matches,,,,,,
261,Mateo Kovačić,hr CRO,MF,Manchester City,30-269,1994,16.2,1401,31,191,780,447,14,1401,30,17,56.7,9,30.0,937,5450,2593,41,50,2,13,18,1140,14,Matches,,,,,,
262,Caleb Kporha,eng ENG,DF,Crystal Palace,18-199,2006,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0,Matches,,,,,,
263,Emil Krafth,se SWE,DF,Newcastle Utd,30-181,1994,2.7,100,23,64,30,6,3,100,0,0,,0,,49,167,35,0,1,0,2,1,51,0,Matches,,,,,,
264,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-181,2000,16.4,736,8,96,302,359,79,736,123,57,46.3,53,43.1,482,3152,1494,61,34,30,42,54,573,139,Matches,,,,,,
