,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-154,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-154,1991,13.0,565,14,80,288,214,40,564,46,17,37.0,25,54.3,337,2209,934,25,25,4,42,29,382,61,Matches
Benoît Badiashile,frFRA,DF,Chelsea,23-323,2001,2.8,245,16,99,136,11,0,245,1,0,0.0,1,100.0,140,514,288,3,4,0,1,0,178,2,Matches
Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-187,1997,11.5,492,14,68,142,292,62,492,53,19,35.8,23,43.4,317,2340,1199,51,22,28,30,24,354,107,Matches
Carlos Baleba,cmCMR,MF,Brighton,21-040,2004,16.9,921,43,206,542,200,7,921,37,20,54.1,15,40.5,511,3015,1535,27,24,2,23,23,553,17,Matches
Ross Barkley,engENG,MF,Aston Villa,31-069,1993,6.2,429,16,68,255,112,17,429,10,8,80.0,2,20.0,254,1377,640,14,13,2,5,8,302,8,Matches
Harvey Barnes,engENG,FW,Newcastle Utd,27-065,1997,8.7,374,8,49,128,197,57,374,28,12,42.9,11,39.3,274,2011,1088,42,21,23,16,10,305,82,Matches
Calvin Bassey,ngNGA,DF,Fulham,25-043,1999,23.0,1680,231,829,776,91,12,1680,20,8,40.0,7,35.0,1066,5146,2767,19,13,3,22,6,1168,11,Matches
Jan Bednarek,plPOL,DF,Southampton,28-306,1996,19.8,1610,285,836,745,36,13,1610,3,3,100.0,0,0.0,834,3020,1445,4,4,1,8,2,1068,1,Matches
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-230,1998,10.5,420,17,82,177,170,27,420,38,7,18.4,20,52.6,264,1714,772,25,19,7,16,15,287,48,Matches
Rodrigo Bentancur,uyURU,MF,Tottenham,27-232,1997,9.6,714,37,167,431,122,10,714,10,5,50.0,4,40.0,420,1852,795,13,10,3,8,13,474,12,Matches
Sander Berge,noNOR,MF,Fulham,26-364,1998,13.6,777,55,216,456,109,7,777,10,5,50.0,4,40.0,428,2191,909,14,12,2,3,9,468,1,Matches
