,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-022,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches,,,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-266,2006,1.8,124,7,43,75,6,3,124,2,1,50.0,0,0.0,96,650,377,0,2,0,2,0,100,0,Matches,,,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-347,1999,8.6,476,21,125,269,85,8,476,5,0,0.0,3,60.0,228,1019,449,5,10,1,9,7,240,2,Matches,,,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-124,1997,8.1,715,93,361,347,8,6,715,2,2,100.0,0,0.0,445,1739,951,1,0,0,1,0,557,1,Matches,,,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-025,2002,6.1,289,5,48,89,157,33,289,29,12,41.4,17,58.6,190,1273,585,20,14,10,25,6,193,72,Matches,,,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-223,1997,3.0,208,32,113,91,7,0,208,5,4,80.0,1,20.0,110,580,269,1,2,0,2,1,112,0,Matches,,,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-120,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches,,,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-110,1996,22.1,1157,100,423,475,280,16,1157,45,21,46.7,15,33.3,509,3292,1950,45,29,8,26,15,548,40,Matches,,,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-234,2001,20.9,1253,64,351,553,366,49,1253,67,33,49.3,22,32.8,662,3806,2091,52,36,16,22,26,766,102,Matches,,,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-284,1998,8.0,410,30,159,189,67,14,410,9,4,44.4,5,55.6,222,1358,799,15,7,0,10,6,266,16,Matches,,,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-191,1995,18.0,1522,105,457,738,328,10,1522,2,2,100.0,0,0.0,986,5182,3109,36,49,0,4,5,1201,6,Matches,,,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-343,1995,6.7,519,47,186,277,57,4,519,1,1,100.0,0,0.0,344,1912,1263,11,11,1,2,3,383,2,Matches,,,,,,
