,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,32-133,1992,14.9,12,0,0,1,0,12.8,0.29,+0.8,+0.06,36,94,38.3,415,56,20.0,25.4,40,27.5,26.8,129,5,3.9,27,1.82,15.4,Matches,,,,,,,,,
2,Alphonse Areola,fr FRA,GK,West Ham,31-351,1993,12.1,26,0,0,2,3,17.2,0.28,-5.8,-0.48,77,187,41.2,367,49,33.5,31.4,113,56.6,42.3,180,9,5.0,14,1.16,14.1,Matches,,,,,,,,,
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-132,1994,17.0,21,2,0,2,0,24.2,0.27,+3.2,+0.19,86,212,40.6,411,64,35.3,33.7,124,54.0,41.6,213,12,5.6,28,1.65,15.3,Matches,,,,,,,,,
4,Brandon Austin,eng ENG,GK,Tottenham,26-035,1999,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.20,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.00,12.4,Matches,,,,,,,,,
5,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-028,1989,9.0,8,0,0,0,0,10.1,0.30,+2.1,+0.24,16,74,21.6,239,44,17.2,25.5,55,60.0,44.5,117,8,6.8,8,0.89,14.5,Matches,,,,,,,,,
6,Ederson,br BRA,GK,Manchester City,31-179,1993,15.0,20,2,0,1,1,21.5,0.38,+2.5,+0.16,51,114,44.7,516,54,19.8,28.2,43,27.9,33.0,119,9,7.6,28,1.87,17.4,Matches,,,,,,,,,
7,Łukasz Fabiański,pl POL,GK,West Ham,39-300,1985,11.9,20,3,1,3,0,22.3,0.30,+2.3,+0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7,Matches,,,,,,,,,
8,Mark Flekken,nl NED,GK,Brentford,31-244,1993,22.4,40,1,0,2,1,38.4,0.27,-0.6,-0.03,143,392,36.5,975,75,32.0,33.7,123,65.0,51.0,372,27,7.3,25,1.12,11.9,Matches,,,,,,,,,
9,Fraser Forster,eng ENG,GK,Tottenham,36-332,1988,7.0,15,2,0,1,0,16.5,0.36,+1.5,+0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,Matches,,,,,,,,,
10,Dean Henderson,eng ENG,GK,Crystal Palace,27-337,1997,24.0,30,1,0,2,2,31.0,0.33,+3.0,+0.13,97,386,25.1,597,73,48.1,38.4,180,55.0,44.4,358,19,5.3,31,1.29,15.0,Matches,,,,,,,,,
11,Mads Hermansen,dk DEN,GK,Leicester City,24-216,2000,16.5,35,1,0,2,2,37.3,0.37,+4.3,+0.26,70,263,26.6,539,93,36.7,33.7,96,67.7,47.0,277,18,6.5,14,0.85,12.9,Matches,,,,,,,,,
12,Vitezslav Jaros,cz CZE,GK,Liverpool,23-204,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,+0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.00,11.0,Matches,,,,,,,,,
13,Sam Johnstone,eng ENG,GK,Wolves,31-324,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4,Matches,,,,,,,,,
14,Filip Jørgensen,dk DEN,GK,Chelsea,22-302,2002,3.0,4,1,0,0,0,4.7,0.25,+0.7,+0.22,1,11,9.1,72,12,13.9,22.6,12,8.3,17.6,33,2,6.1,1,0.33,13.5,Matches,,,,,,,,,
15,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-081,1998,8.0,9,0,0,0,0,10.4,0.31,+1.4,+0.17,25,94,26.6,281,37,29.9,29.1,15,66.7,44.7,87,4,4.6,8,1.00,15.1,Matches,,,,,,,,,
16,Antonín Kinský,cz CZE,GK,Tottenham,21-336,2003,4.0,7,0,0,0,2,4.5,0.28,-0.5,-0.12,12,33,36.4,126,16,23.8,29.1,19,15.8,22.5,75,3,4.0,4,1.00,10.1,Matches,,,,,,,,,
17,Bernd Leno,de GER,GK,Fulham,32-345,1992,24.0,32,1,0,4,1,28.3,0.29,-2.7,-0.11,78,230,33.9,797,95,22.2,28.7,96,55.2,44.8,306,18,5.9,21,0.88,13.1,Matches,,,,,,,,,
18,Joe Lumley,eng ENG,GK,Southampton,29-363,1995,3.0,7,0,0,1,0,7.7,0.39,+0.7,+0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0,Matches,,,,,,,,,
19,Emiliano Martínez,ar ARG,GK,Aston Villa,32-163,1992,23.5,36,1,1,1,0,33.1,0.33,-2.9,-0.12,105,245,42.9,769,82,24.6,29.6,110,50.9,41.3,330,38,11.5,20,0.85,13.0,Matches,,,,,,,,,
20,Alex McCarthy,eng ENG,GK,Southampton,35-071,1989,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.00,6.5,Matches,,,,,,,,,
21,Arijanet Muric,xk KVX,GK,Ipswich Town,26-097,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2,Matches,,,,,,,,,
22,Neto,br BRA,GK,Bournemouth,35-208,1989,2.0,2,0,0,0,0,4.3,0.35,+2.3,+1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.50,12.6,Matches,,,,,,,,,
23,Robin Olsen,se SWE,GK,Aston Villa,35-035,1990,0.5,1,0,0,0,0,1.1,0.37,+0.1,+0.13,1,6,16.7,19,0,21.1,26.5,2,100.0,70.0,2,0,0.0,0,0.00,8.3,Matches,,,,,,,,,
24,André Onana,cm CMR,GK,Manchester Utd,28-316,1996,24.0,34,3,0,9,1,34.1,0.34,+1.1,+0.04,80,299,26.8,862,100,27.7,29.3,91,65.9,46.7,253,16,6.3,17,0.71,11.7,Matches,,,,,,,,,
25,Stefan Ortega,de GER,GK,Manchester City,32-098,1992,9.0,15,1,0,1,0,13.4,0.33,-1.6,-0.18,31,69,44.9,287,36,18.8,25.2,45,33.3,27.5,96,2,2.1,9,1.00,15.3,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,,,,,,,,,
26,Jordan Pickford,eng ENG,GK,Everton,30-342,1994,23.0,28,0,0,5,0,30.0,0.31,+2.0,+0.09,193,507,38.1,787,99,52.2,41.1,162,59.3,47.3,340,19,5.6,46,2.00,16.2,Matches,,,,,,,,,
27,Nick Pope,eng ENG,GK,Newcastle Utd,32-299,1992,15.0,21,0,0,1,1,21.6,0.30,+1.6,+0.11,38,153,24.8,329,100,28.6,31.7,112,52.7,42.8,218,21,9.6,31,2.07,14.9,Matches,,,,,,,,,
28,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-122,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.00,4.7,Matches,,,,,,,,,
29,Aaron Ramsdale,eng ENG,GK,Southampton,26-274,1998,16.0,34,2,0,7,0,31.8,0.32,-2.2,-0.14,103,307,33.6,600,75,41.7,34.9,85,67.1,49.1,216,17,7.9,13,0.81,12.1,Matches,,,,,,,,,
30,David Raya,es ESP,GK,Arsenal,29-150,1995,24.0,22,2,1,4,0,21.7,0.25,-0.3,-0.01,114,333,34.2,776,102,33.8,31.4,96,74.0,51.6,260,33,12.7,35,1.46,15.8,Matches,,,,,,,,,
31,José Sá,pt POR,GK,Wolves,32-026,1993,17.0,35,3,1,5,2,28.2,0.33,-4.8,-0.28,57,247,23.1,460,70,42.0,36.6,92,58.7,44.0,282,19,6.7,27,1.59,15.9,Matches,,,,,,,,,
