,Pass Types,Corner Kicks,Outcomes,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,24,24.0,12380,11343,984,276,44,51,489,383,155,142,3,2,10334,53,180,,,,
Aston Villa,25,24.0,11299,10190,1077,374,61,35,383,322,150,102,18,1,9353,32,220,,,,
Bournemouth,28,24.0,10194,9089,1060,255,38,49,519,421,147,108,11,3,7738,45,203,,,,
Brentford,27,24.0,11112,10057,1008,244,42,39,430,370,112,88,2,0,8718,47,188,,,,
Brighton,30,24.0,12352,11308,1019,323,50,52,454,365,126,80,27,1,10259,25,197,,,,
Chelsea,27,24.0,13686,12607,1039,337,58,65,398,378,141,94,9,2,11606,40,195,,,,
Crystal Palace,26,24.0,10244,9182,1022,290,38,36,394,376,112,65,16,0,7744,40,197,,,,
Everton,24,23.0,8970,7898,1013,256,23,49,389,436,94,52,22,9,6819,59,194,,,,
Fulham,25,24.0,12794,11678,1086,307,30,76,551,437,124,52,52,0,10495,30,217,,,,
Ipswich Town,31,24.0,9646,8634,978,273,32,39,318,352,97,75,11,1,7547,34,198,,,,
Leicester City,28,24.0,11240,10114,1086,285,43,30,384,429,86,57,15,2,8992,40,199,,,,
Liverpool,24,23.0,13342,12298,1015,276,39,84,460,412,153,99,31,1,11250,29,199,,,,
Manchester City,26,24.0,15443,14399,1015,281,55,57,430,377,178,83,22,2,13623,29,228,,,,
Manchester Utd,25,24.0,13210,12171,993,254,51,69,361,413,120,68,21,9,10951,46,230,,,,
Newcastle Utd,24,24.0,12057,10859,1147,341,57,62,428,444,139,90,13,2,9832,51,212,,,,
Nott'ham Forest,23,24.0,8921,7847,1011,280,36,32,366,368,105,55,44,0,6678,63,187,,,,
Southampton,33,24.0,12491,11470,987,312,36,37,372,304,104,70,20,0,10566,34,185,,,,
Tottenham,29,24.0,13237,11973,1222,358,44,44,507,441,180,82,35,0,10988,42,302,,,,
West Ham,26,24.0,10986,9920,1017,261,41,90,381,366,106,55,41,0,8734,49,207,,,,
Wolves,26,24.0,10723,9644,1032,298,33,85,341,419,79,49,21,2,8526,47,209,,,,
