,Playing Time,Performance,Penalty Kicks,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,24,24,"2,160",24.0,22,0.92,81,59,75.3,14,8,2,8,33.3,2,2,0,0,0.0,,,,
Aston Villa,2,24,24,"2,160",24.0,37,1.54,99,61,63.6,10,7,7,3,12.5,2,1,1,0,50.0,,,,
Bournemouth,3,24,24,"2,160",24.0,28,1.17,121,93,78.5,11,7,6,6,25.0,2,2,0,0,0.0,,,,
Brentford,2,24,24,"2,160",24.0,42,1.75,146,106,71.9,9,4,11,3,12.5,1,1,0,0,0.0,,,,
Brighton,2,24,24,"2,160",24.0,38,1.58,96,60,66.7,8,10,6,5,20.8,6,6,0,0,0.0,,,,
Chelsea,2,23,23,"2,070",23.0,30,1.30,107,76,76.6,11,7,5,4,17.4,6,5,1,0,16.7,,,,
Crystal Palace,1,24,24,"2,160",24.0,30,1.25,94,65,69.1,7,9,8,7,29.2,2,1,1,0,50.0,,,,
Everton,1,23,23,"2,070",23.0,28,1.22,95,65,70.5,6,8,9,9,39.1,2,0,2,0,100.0,,,,
Fulham,1,24,24,"2,160",24.0,32,1.33,96,65,67.7,9,9,6,4,16.7,1,1,0,0,0.0,,,,
Ipswich Town,2,24,24,"2,160",24.0,49,2.04,133,84,66.9,3,7,14,2,8.3,5,5,0,0,0.0,,,,
Leicester City,3,24,24,"2,160",24.0,53,2.21,139,88,62.6,4,5,15,1,4.2,1,1,0,0,0.0,,,,
Liverpool,3,23,23,"2,070",23.0,21,0.91,77,55,72.7,17,5,1,10,43.5,1,0,1,0,100.0,,,,
Manchester City,2,24,24,"2,160",24.0,35,1.46,95,61,66.3,12,5,7,5,20.8,3,3,0,0,0.0,,,,
Manchester Utd,1,24,24,"2,160",24.0,34,1.42,92,58,66.3,8,5,11,7,29.2,4,3,1,0,25.0,,,,
Newcastle Utd,2,24,24,"2,160",24.0,29,1.21,107,79,72.9,12,5,7,8,33.3,0,0,0,0,,,,,
Nott'ham Forest,1,24,24,"2,160",24.0,27,1.13,101,74,74.3,14,5,5,10,41.7,1,1,0,0,0.0,,,,
Southampton,3,24,24,"2,160",24.0,54,2.25,157,103,68.2,2,3,19,2,8.3,4,4,0,0,0.0,,,,
Tottenham,4,24,24,"2,160",24.0,37,1.54,103,68,66.0,8,3,13,5,20.8,2,2,0,0,0.0,,,,
West Ham,2,23,23,"2,070",23.0,44,1.91,125,83,67.2,7,6,10,4,17.4,3,3,0,0,0.0,,,,
Wolves,2,24,24,"2,160",24.0,52,2.17,118,68,60.2,5,4,15,4,16.7,6,5,1,0,16.7,,,,
