,Standard,Expected,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,24,23.0,21,238,75,31.5,10.35,3.26,0.08,0.25,18.7,9,2,2,20.2,18.6,0.08,+0.8,+0.4,,,
vs Aston Villa,23,22.0,34,260,89,34.2,11.82,4.05,0.13,0.37,16.9,4,1,2,26.9,25.3,0.10,+7.1,+7.7,,,
vs Bournemouth,28,23.0,26,315,113,35.9,13.70,4.91,0.08,0.22,16.9,7,1,1,28.6,27.9,0.09,-2.6,-2.9,,,
vs Brentford,26,22.0,38,412,138,33.5,18.73,6.27,0.09,0.27,17.0,5,1,1,37.5,36.7,0.09,+0.5,+0.3,,,
vs Brighton,30,23.0,30,254,82,32.3,11.04,3.57,0.10,0.30,15.5,4,5,5,33.1,29.1,0.12,-3.1,-4.1,,,
vs Chelsea,27,23.0,30,249,101,40.6,10.83,4.39,0.10,0.25,17.6,15,5,6,33.2,28.5,0.12,-3.2,-3.5,,,
vs Crystal Palace,25,22.0,26,284,85,29.9,12.91,3.86,0.09,0.31,16.2,5,0,1,30.1,29.3,0.11,-4.1,-3.3,,,
vs Everton,24,22.0,28,288,92,31.9,13.09,4.18,0.10,0.30,16.2,8,0,2,29.7,28.1,0.10,-1.7,-0.1,,,
vs Fulham,25,22.0,29,245,90,36.7,11.14,4.09,0.11,0.31,16.7,10,1,1,26.6,25.8,0.11,+2.4,+2.2,,,
vs Ipswich Town,31,23.0,47,347,124,35.7,15.09,5.39,0.12,0.34,16.5,10,5,5,47.0,43.1,0.13,0.0,-1.1,,,
vs Leicester City,27,22.0,46,377,125,33.2,17.14,5.68,0.12,0.36,15.7,12,1,1,43.1,42.3,0.12,+2.9,+2.7,,,
vs Liverpool,24,22.0,21,206,73,35.4,9.36,3.32,0.10,0.29,17.5,7,0,1,19.2,18.3,0.09,+1.8,+2.7,,,
vs Manchester City,26,23.0,29,227,85,37.4,9.87,3.70,0.11,0.31,15.5,2,3,3,32.9,30.6,0.14,-3.9,-4.6,,,
vs Manchester Utd,25,22.0,31,240,83,34.6,10.91,3.77,0.12,0.34,16.5,9,3,4,33.2,30.1,0.13,-2.2,-2.1,,,
vs Newcastle Utd,24,23.0,26,302,103,34.1,13.13,4.48,0.09,0.25,16.6,6,0,0,27.8,27.8,0.09,-1.8,-1.8,,,
vs Nott'ham Forest,23,23.0,27,307,95,30.9,13.35,4.13,0.08,0.27,17.5,7,1,1,25.9,25.1,0.08,+1.1,+0.9,,,
vs Southampton,31,23.0,53,417,147,35.3,18.13,6.39,0.12,0.33,16.1,8,4,4,54.0,51.0,0.13,-1.0,-2.0,,,
vs Tottenham,28,22.0,33,273,95,34.8,12.41,4.32,0.11,0.33,15.0,2,2,2,36.9,35.3,0.13,-3.9,-4.3,,,
vs West Ham,26,22.0,41,361,118,32.7,16.41,5.36,0.11,0.32,16.8,9,3,3,39.1,36.8,0.10,+1.9,+1.2,,,
vs Wolves,26,23.0,49,316,109,34.5,13.74,4.74,0.14,0.40,16.4,12,5,6,39.0,34.2,0.11,+10.0,+9.8,,,
