,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
27,Cameron Archer,eng ENG,FW,Southampton,23-189,2001,11.6,2,22,6,27.3,1.89,0.52,0.09,0.33,12.6,0,0,1,4.4,3.6,0.17,-2.4,-1.6,Matches,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-334,1993,10.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-189,1996,15.3,2,12,6,50.0,0.79,0.39,0.17,0.33,13.8,0,0,0,2.3,2.3,0.19,-0.3,-0.3,Matches,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-351,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-007,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-115,1994,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-018,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-167,1997,2.8,1,8,3,37.5,2.90,1.09,0.13,0.33,12.9,0,0,0,1.7,1.7,0.21,-0.7,-0.7,Matches,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-112,2003,14.1,0,16,5,31.3,1.14,0.36,0.00,0.00,19.9,1,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-137,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-137,1991,11.0,4,21,7,33.3,1.90,0.63,0.14,0.43,17.6,2,1,1,2.6,1.9,0.09,+1.4,+1.1,Matches,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-306,2001,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-170,1997,10.3,1,20,4,20.0,1.95,0.39,0.05,0.25,17.4,1,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-023,2004,16.9,2,28,7,25.0,1.66,0.41,0.07,0.29,25.5,0,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-052,1993,6.2,3,14,4,28.6,2.27,0.65,0.21,0.75,13.8,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-048,1997,8.7,5,28,10,35.7,3.22,1.15,0.18,0.50,14.6,0,0,0,3.0,3.0,0.11,+2.0,+2.0,Matches,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-026,1999,21.0,0,10,3,30.0,0.48,0.14,0.00,0.00,17.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-289,1996,18.8,2,4,2,50.0,0.21,0.11,0.50,1.00,17.7,0,0,0,0.6,0.6,0.15,+1.4,+1.4,Matches,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-213,1998,9.6,1,12,2,16.7,1.26,0.21,0.08,0.50,22.1,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-215,1997,7.6,2,13,3,23.1,1.70,0.39,0.15,0.67,20.3,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches,,,,
47,Sander Berge,no NOR,MF,Fulham,26-347,1998,11.6,0,1,0,0.0,0.09,0.00,0.00,,6.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-359,2006,5.2,0,3,0,0.0,0.57,0.00,0.00,,25.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-041,2002,18.5,0,1,0,0.0,0.05,0.00,0.00,,16.7,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches,,,,
50,Beto,gw GNB,FW,Everton,26-361,1998,3.5,1,12,4,33.3,3.41,1.14,0.08,0.25,11.4,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-229,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-149,1996,10.8,2,5,2,40.0,0.46,0.19,0.40,1.00,22.7,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-021,2004,3.0,0,1,1,100.0,0.34,0.34,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-358,1991,1.3,0,1,1,100.0,0.78,0.78,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-014,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-037,1996,18.4,5,49,20,40.8,2.66,1.09,0.08,0.20,18.8,0,1,1,4.7,3.9,0.08,+0.3,+0.1,Matches,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-201,2003,2.7,0,6,3,50.0,2.24,1.12,0.00,0.00,14.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-213,2002,13.1,0,4,1,25.0,0.31,0.08,0.00,0.00,10.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,,,,
59,James Bree,eng ENG,DF,Southampton,27-107,1997,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,18.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-283,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-296,1998,3.5,0,6,4,66.7,1.70,1.13,0.00,0.00,18.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,,,,
62,Armando Broja,al ALB,FW,Everton,23-138,2001,1.8,0,4,0,0.0,2.26,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-202,1997,5.6,2,18,9,50.0,3.20,1.60,0.11,0.22,16.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-032,1996,0.9,0,4,0,0.0,4.50,0.00,0.00,,17.0,1,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-078,1998,14.8,0,6,3,50.0,0.41,0.20,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-034,2004,12.6,4,24,10,41.7,1.91,0.80,0.17,0.40,17.4,0,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-097,1995,10.0,0,9,1,11.1,0.90,0.10,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-262,1992,22.0,0,13,3,23.1,0.59,0.14,0.00,0.00,11.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-064,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-085,2001,22.6,1,12,2,16.7,0.53,0.09,0.08,0.50,24.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-006,1991,4.3,1,4,1,25.0,0.93,0.23,0.25,1.00,23.5,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-169,1999,10.7,0,3,0,0.0,0.28,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-252,2002,8.4,2,7,5,71.4,0.84,0.60,0.29,0.40,13.0,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-316,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-317,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-149,2002,4.8,1,10,4,40.0,2.10,0.84,0.10,0.25,16.1,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-338,1992,9.3,1,18,5,27.8,1.94,0.54,0.06,0.20,19.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-090,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-172,1997,13.0,1,6,3,50.0,0.46,0.23,0.17,0.33,16.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-052,1995,8.0,0,4,2,50.0,0.50,0.25,0.00,0.00,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-205,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-205,1999,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-345,1997,6.8,1,12,3,25.0,1.76,0.44,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-093,1997,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,,,,
85,Chiquinho,pt POR,MF,Wolves,24-356,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-117,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-339,1995,18.6,1,22,8,36.4,1.18,0.43,0.05,0.13,20.0,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-330,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-064,2000,6.7,0,11,1,9.1,1.64,0.15,0.00,0.00,19.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-296,1991,4.4,0,1,0,0.0,0.23,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-336,1993,7.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-107,1988,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-271,2001,22.0,2,12,5,41.7,0.55,0.23,0.17,0.40,8.6,0,0,0,2.2,2.2,0.18,-0.2,-0.2,Matches,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-023,2004,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-335,2003,21.0,0,6,1,16.7,0.29,0.05,0.00,0.00,7.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-358,1997,20.6,1,10,2,20.0,0.49,0.10,0.10,0.50,24.1,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-121,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-157,1992,6.4,0,4,1,25.0,0.63,0.16,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,,,,
99,Aaron Cresswell,eng ENG,DF,West Ham,35-042,1989,1.3,0,1,0,0.0,0.75,0.00,0.00,,31.6,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
100,Marc Cucurella,es ESP,DF,Chelsea,26-188,1998,19.0,2,11,3,27.3,0.58,0.16,0.18,0.67,16.7,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
101,Jorge Cuenca,es ESP,DF,Fulham,25-070,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
102,Matheus Cunha,br BRA,"MF,FW",Wolves,25-244,1999,19.8,10,67,26,38.8,3.38,1.31,0.15,0.38,20.4,5,0,0,4.8,4.8,0.07,+5.2,+5.2,Matches,,,,
103,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-109,1998,2.9,1,7,1,14.3,2.40,0.34,0.14,1.00,16.0,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,,,,
104,Diogo Dalot,pt POR,DF,Manchester Utd,25-314,1999,20.6,0,15,4,26.7,0.73,0.19,0.00,0.00,19.2,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches,,,,
105,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-207,2000,17.9,2,20,7,35.0,1.12,0.39,0.10,0.29,15.8,2,0,0,1.9,1.9,0.09,+0.1,+0.1,Matches,,,,
106,Danilo,br BRA,MF,Nott'ham Forest,23-272,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
107,Jayden Danns,eng ENG,MF,Liverpool,19-010,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
108,Ben Davies,wls WAL,DF,Tottenham,31-277,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
109,Leif Davis,eng ENG,DF,Ipswich Town,25-014,2000,22.5,1,11,2,18.2,0.49,0.09,0.09,0.50,18.8,1,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,,,,
110,Craig Dawson,eng ENG,DF,Wolves,34-265,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,,,,
111,Kevin De Bruyne,be BEL,MF,Manchester City,33-212,1991,11.0,2,33,8,24.2,2.99,0.73,0.06,0.25,22.5,4,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches,,,,
112,Liam Delap,eng ENG,FW,Ipswich Town,21-353,2003,18.6,8,35,17,48.6,1.88,0.91,0.17,0.35,16.1,0,2,2,6.4,4.8,0.14,+1.6,+1.2,Matches,,,,
113,Sepp van den Berg,nl NED,DF,Brentford,23-037,2001,16.9,0,10,3,30.0,0.59,0.18,0.00,0.00,12.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,
114,Justin Devenny,nir NIR,MF,Crystal Palace,21-107,2003,3.0,1,5,2,40.0,1.69,0.67,0.20,0.50,21.0,1,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,,,,
115,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-142,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,,,,
116,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-199,2002,15.7,6,39,13,33.3,2.48,0.83,0.15,0.46,17.6,0,0,0,4.0,4.0,0.10,+2.0,+2.0,Matches,,,,
117,Rúben Dias,pt POR,DF,Manchester City,27-257,1997,13.1,0,13,3,23.1,0.99,0.23,0.00,0.00,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,,,,
118,Luis Díaz,co COL,FW,Liverpool,28-013,1997,14.9,8,44,19,43.2,2.96,1.28,0.18,0.42,14.3,0,0,0,6.1,6.1,0.14,+1.9,+1.9,Matches,,,,
119,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-320,2006,13.7,2,23,9,39.1,1.68,0.66,0.09,0.22,20.5,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches,,,,
120,Lucas Digne,fr FRA,DF,Aston Villa,31-190,1993,18.2,0,10,3,30.0,0.55,0.16,0.00,0.00,21.8,4,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,
121,Issa Diop,fr FRA,DF,Fulham,28-017,1997,11.9,0,5,2,40.0,0.42,0.17,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,,,,
122,Axel Disasi,fr FRA,DF,Chelsea,26-321,1998,4.0,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches,,,,
123,Roman Dixon,eng ENG,DF,Everton,20-031,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
124,Matt Doherty,ie IRL,DF,Wolves,33-010,1992,11.9,2,8,3,37.5,0.67,0.25,0.25,0.67,10.9,0,0,0,0.9,0.9,0.12,+1.1,+1.1,Matches,,,,
125,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-244,2002,8.8,3,17,6,35.3,1.94,0.68,0.18,0.50,18.1,0,0,0,0.8,0.8,0.04,+2.2,+2.2,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
126,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-212,1998,12.2,0,13,4,30.8,1.07,0.33,0.00,0.00,18.0,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches,,,,
127,Alfie Dorrington,eng ENG,DF,Tottenham,19-281,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
128,Abdoulaye Doucouré,ml MLI,MF,Everton,32-025,1993,17.7,0,11,2,18.2,0.62,0.11,0.00,0.00,15.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,,,,
129,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-018,2000,5.0,0,7,0,0.0,1.39,0.00,0.00,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,,,,
130,Flynn Downes,eng ENG,MF,Southampton,26-006,1999,15.9,1,9,3,33.3,0.57,0.19,0.11,0.33,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches,,,,
