,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
Lucas Bergvall,seSWE,MF,Tottenham,19-010,2006,6.7,0,5,0,0.0,0.74,0.00,0.00,,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-058,2002,20.5,0,2,0,0.0,0.10,0.00,0.00,,16.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
Beto,gwGNB,FW,Everton,27-012,1998,4.5,3,14,6,42.9,3.12,1.34,0.21,0.50,11.9,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Matches
Philip Billing,dkDEN,MF,Bournemouth,28-246,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Yves Bissouma,mlMLI,MF,Tottenham,28-166,1996,11.5,2,7,3,42.9,0.61,0.26,0.29,0.67,23.4,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-038,2004,3.9,0,1,1,100.0,0.26,0.26,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Willy Boly,ciCIV,DF,Nott'ham Forest,34-009,1991,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Sven Botman,nlNED,DF,Newcastle Utd,25-031,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Jarrod Bowen,engENG,"FW,MF",West Ham,28-054,1996,19.4,6,52,22,42.3,2.68,1.13,0.10,0.23,18.5,0,1,1,4.9,4.1,0.08,+1.1,+0.9,Matches
Conor Bradley,nirNIR,DF,Liverpool,21-218,2003,2.9,0,7,3,42.9,2.40,1.03,0.00,0.00,14.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Jarrad Branthwaite,engENG,DF,Everton,22-230,2002,14.1,0,5,1,20.0,0.35,0.07,0.00,0.00,9.1,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
James Bree,engENG,DF,Southampton,27-124,1997,7.4,0,3,1,33.3,0.41,0.14,0.00,0.00,19.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ben Brereton,clCHI,FW,Southampton,25-300,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Nathan Broadhead,wlsWAL,"FW,MF",Ipswich Town,26-313,1998,4.2,0,8,5,62.5,1.89,1.18,0.00,0.00,16.8,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Armando Broja,alALB,FW,Everton,23-155,2001,1.8,0,4,0,0.0,2.26,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
David Brooks,wlsWAL,FW,Bournemouth,27-219,1997,6.4,2,18,9,50.0,2.83,1.42,0.11,0.22,16.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
Emi Buendía,arARG,"MF,FW",Aston Villa,28-049,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Santiago Bueno,uyURU,DF,Wolves,26-095,1998,14.8,0,6,3,50.0,0.40,0.20,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-051,2004,12.7,4,24,10,41.7,1.88,0.79,0.17,0.40,17.4,0,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches
Cameron Burgess,auAUS,DF,Ipswich Town,29-114,1995,10.0,0,9,1,11.1,0.90,0.10,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Dan Burn,engENG,DF,Newcastle Utd,32-279,1992,23.0,0,14,4,28.6,0.61,0.17,0.00,0.00,10.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-081,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Moisés Caicedo,ecECU,MF,Chelsea,23-102,2001,23.6,1,12,2,16.7,0.51,0.08,0.08,0.50,24.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
Tom Cairney,sctSCO,MF,Fulham,34-023,1991,4.4,1,4,1,25.0,0.91,0.23,0.25,1.00,23.5,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Jens Cajuste,seSWE,MF,Ipswich Town,25-186,1999,11.6,0,4,0,0.0,0.35,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Riccardo Calafiori,itITA,DF,Arsenal,22-269,2002,8.4,2,7,5,71.4,0.84,0.60,0.29,0.40,13.0,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches
Dominic Calvert-Lewin,engENG,FW,Everton,27-333,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches
Diego Carlos,brBRA,DF,Aston Villa,31-334,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-166,2002,4.8,1,11,4,36.4,2.28,0.83,0.09,0.25,15.1,0,0,0,2.4,2.4,0.22,-1.4,-1.4,Matches
Casemiro,brBRA,MF,Manchester Utd,32-355,1992,9.3,1,18,5,27.8,1.94,0.54,0.06,0.20,19.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
Kaelan Casey,engENG,DF,West Ham,20-107,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
