,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-026,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-270,2006,1.8,0,2,0,0.0,1.13,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-351,1999,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1,Matches,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-128,1997,8.1,1,6,2,33.3,0.74,0.25,0.17,0.50,10.6,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-029,2002,6.1,2,13,4,30.8,2.12,0.65,0.15,0.50,14.8,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-227,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-124,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-114,1996,22.1,2,7,2,28.6,0.32,0.09,0.29,1.00,22.8,0,0,0,0.6,0.6,0.08,+1.4,+1.4,Matches,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-238,2001,20.9,3,19,5,26.3,0.91,0.24,0.16,0.60,14.9,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-288,1998,8.0,0,3,2,66.7,0.38,0.25,0.00,0.00,7.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-195,1995,18.0,0,9,1,11.1,0.50,0.06,0.00,0.00,17.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-347,1995,6.7,0,3,0,0.0,0.45,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-061,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-115,1998,18.5,1,27,4,14.8,1.46,0.22,0.04,0.25,25.1,2,0,0,1.0,1.0,0.04,0.0,0.0,Matches,,,,
15,Alisson,br BRA,GK,Liverpool,32-120,1992,13.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-355,1994,1.7,0,6,2,33.3,3.44,1.15,0.00,0.00,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-098,1997,13.7,0,11,1,9.1,0.81,0.07,0.00,0.00,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-362,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-196,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-244,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-244,1996,13.7,0,9,2,22.2,0.66,0.15,0.00,0.00,16.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-085,2002,16.3,1,24,5,20.8,1.47,0.31,0.04,0.20,19.9,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,,,,
23,André,br BRA,MF,Wolves,23-198,2001,13.6,0,2,1,50.0,0.15,0.07,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-308,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-341,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-170,2001,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-193,2001,11.6,2,22,6,27.3,1.89,0.52,0.09,0.33,12.6,0,0,1,4.4,3.6,0.17,-2.4,-1.6,Matches,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-338,1993,11.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-193,1996,15.3,2,12,6,50.0,0.79,0.39,0.17,0.33,13.8,0,0,0,2.3,2.3,0.19,-0.3,-0.3,Matches,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-355,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-011,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-119,1994,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-022,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-171,1997,2.8,1,8,3,37.5,2.90,1.09,0.13,0.33,12.9,0,0,0,1.7,1.7,0.21,-0.7,-0.7,Matches,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-116,2003,14.1,0,16,5,31.3,1.14,0.36,0.00,0.00,19.9,1,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-141,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-141,1991,12.0,4,23,7,30.4,1.92,0.58,0.13,0.43,17.8,2,1,1,2.8,2.0,0.09,+1.2,+1.0,Matches,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-310,2001,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-174,1997,11.0,1,22,5,22.7,2.00,0.45,0.05,0.20,17.3,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-027,2004,16.9,2,28,7,25.0,1.66,0.41,0.07,0.29,25.6,0,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-056,1993,6.2,3,14,4,28.6,2.27,0.65,0.21,0.75,13.8,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-052,1997,8.7,5,28,10,35.7,3.22,1.15,0.18,0.50,14.6,0,0,0,3.0,3.0,0.11,+2.0,+2.0,Matches,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-030,1999,22.0,0,10,3,30.0,0.45,0.14,0.00,0.00,17.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-293,1996,18.8,2,4,2,50.0,0.21,0.11,0.50,1.00,17.7,0,0,0,0.6,0.6,0.15,+1.4,+1.4,Matches,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-217,1998,9.6,1,12,2,16.7,1.26,0.21,0.08,0.50,22.1,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-219,1997,8.6,2,15,3,20.0,1.74,0.35,0.13,0.67,20.1,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches,,,,
47,Sander Berge,no NOR,MF,Fulham,26-351,1998,12.6,0,1,0,0.0,0.08,0.00,0.00,,6.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-363,2006,6.2,0,4,0,0.0,0.64,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-045,2002,19.5,0,1,0,0.0,0.05,0.00,0.00,,16.7,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches,,,,
50,Beto,gw GNB,FW,Everton,26-365,1998,3.5,1,12,4,33.3,3.41,1.14,0.08,0.25,11.4,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-233,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-153,1996,10.8,2,5,2,40.0,0.46,0.19,0.40,1.00,22.7,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-025,2004,3.0,0,1,1,100.0,0.34,0.34,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-362,1991,1.3,0,1,1,100.0,0.78,0.78,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-018,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-041,1996,18.4,5,49,20,40.8,2.66,1.09,0.08,0.20,18.8,0,1,1,4.7,3.9,0.08,+0.3,+0.1,Matches,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-205,2003,2.7,0,6,3,50.0,2.24,1.12,0.00,0.00,14.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-217,2002,13.1,0,4,1,25.0,0.31,0.08,0.00,0.00,10.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,,,,
59,James Bree,eng ENG,DF,Southampton,27-111,1997,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-287,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-300,1998,3.5,0,6,4,66.7,1.70,1.13,0.00,0.00,18.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,,,,
62,Armando Broja,al ALB,FW,Everton,23-142,2001,1.8,0,4,0,0.0,2.26,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-206,1997,5.6,2,18,9,50.0,3.20,1.60,0.11,0.22,16.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-036,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-082,1998,14.8,0,6,3,50.0,0.41,0.20,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-038,2004,12.7,4,24,10,41.7,1.88,0.79,0.17,0.40,17.4,0,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-101,1995,10.0,0,9,1,11.1,0.90,0.10,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-266,1992,22.0,0,13,3,23.1,0.59,0.14,0.00,0.00,11.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-068,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,
