,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-089,2001,22.6,1,12,2,16.7,0.53,0.09,0.08,0.50,24.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-010,1991,4.4,1,4,1,25.0,0.91,0.23,0.25,1.00,23.5,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-173,1999,10.7,0,3,0,0.0,0.28,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-256,2002,8.4,2,7,5,71.4,0.84,0.60,0.29,0.40,13.0,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-320,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-321,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-153,2002,4.8,1,10,4,40.0,2.10,0.84,0.10,0.25,16.1,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-342,1992,9.3,1,18,5,27.8,1.94,0.54,0.06,0.20,19.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-094,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-176,1997,14.0,1,6,3,50.0,0.43,0.21,0.17,0.33,16.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-056,1995,9.0,0,4,2,50.0,0.44,0.22,0.00,0.00,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-209,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-209,1999,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-349,1997,6.8,1,12,3,25.0,1.76,0.44,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-097,1997,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,,,,
85,Chiquinho,pt POR,MF,Wolves,24-360,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-121,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-343,1995,18.6,1,22,8,36.4,1.18,0.43,0.05,0.13,20.0,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-334,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-068,2000,6.7,0,11,1,9.1,1.64,0.15,0.00,0.00,19.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-300,1991,4.4,0,1,0,0.0,0.23,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-340,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-111,1988,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-275,2001,23.0,2,12,5,41.7,0.52,0.22,0.17,0.40,8.6,0,0,0,2.2,2.2,0.18,-0.2,-0.2,Matches,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-027,2004,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-339,2003,21.0,0,6,1,16.7,0.29,0.05,0.00,0.00,7.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-362,1997,20.6,1,10,2,20.0,0.49,0.10,0.10,0.50,24.1,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-125,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-161,1992,7.4,0,4,1,25.0,0.54,0.14,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,,,,
99,Woyo Coulibaly,fr FRA,DF,Leicester City,25-255,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
100,Aaron Cresswell,eng ENG,DF,West Ham,35-046,1989,2.3,0,1,0,0.0,0.43,0.00,0.00,,31.6,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
101,Marc Cucurella,es ESP,DF,Chelsea,26-192,1998,19.0,2,11,3,27.3,0.58,0.16,0.18,0.67,16.7,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches,,,,
102,Jorge Cuenca,es ESP,DF,Fulham,25-074,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-248,1999,19.8,10,67,26,38.8,3.38,1.31,0.15,0.38,20.4,5,0,0,4.8,4.8,0.07,+5.2,+5.2,Matches,,,,
104,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-113,1998,3.1,1,7,1,14.3,2.28,0.33,0.14,1.00,16.0,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,,,,
105,Diogo Dalot,pt POR,DF,Manchester Utd,25-318,1999,21.6,0,15,4,26.7,0.69,0.18,0.00,0.00,19.2,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches,,,,
106,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-211,2000,18.9,2,20,7,35.0,1.06,0.37,0.10,0.29,15.8,2,0,0,1.9,1.9,0.09,+0.1,+0.1,Matches,,,,
107,Danilo,br BRA,MF,Nott'ham Forest,23-276,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
108,Jayden Danns,eng ENG,MF,Liverpool,19-014,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
109,Ben Davies,wls WAL,DF,Tottenham,31-281,1993,5.0,0,1,0,0.0,0.20,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
110,Leif Davis,eng ENG,DF,Ipswich Town,25-018,2000,22.5,1,11,2,18.2,0.49,0.09,0.09,0.50,18.8,1,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,,,,
111,Craig Dawson,eng ENG,DF,Wolves,34-269,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,,,,
112,Kevin De Bruyne,be BEL,MF,Manchester City,33-216,1991,11.0,2,33,8,24.2,2.99,0.73,0.06,0.25,22.5,4,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches,,,,
113,Liam Delap,eng ENG,FW,Ipswich Town,21-357,2003,18.6,8,35,17,48.6,1.88,0.91,0.17,0.35,16.1,0,2,2,6.4,4.8,0.14,+1.6,+1.2,Matches,,,,
114,Sepp van den Berg,nl NED,DF,Brentford,23-041,2001,17.9,0,11,3,27.3,0.62,0.17,0.00,0.00,11.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,,,,
115,Justin Devenny,nir NIR,MF,Crystal Palace,21-111,2003,3.0,1,5,2,40.0,1.69,0.67,0.20,0.50,21.0,1,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,,,,
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-146,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,,,,
117,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-203,2002,16.7,6,39,13,33.3,2.33,0.78,0.15,0.46,17.6,0,0,0,4.0,4.0,0.10,+2.0,+2.0,Matches,,,,
118,Rúben Dias,pt POR,DF,Manchester City,27-261,1997,13.1,0,13,3,23.1,0.99,0.23,0.00,0.00,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,,,,
119,Luis Díaz,co COL,FW,Liverpool,28-017,1997,14.9,8,44,19,43.2,2.96,1.28,0.18,0.42,14.3,0,0,0,6.1,6.1,0.14,+1.9,+1.9,Matches,,,,
120,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-324,2006,13.7,2,23,9,39.1,1.68,0.66,0.09,0.22,20.5,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches,,,,
121,Lucas Digne,fr FRA,DF,Aston Villa,31-194,1993,19.2,0,12,3,25.0,0.63,0.16,0.00,0.00,22.6,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,,,,
122,Issa Diop,fr FRA,DF,Fulham,28-021,1997,11.9,0,5,2,40.0,0.42,0.17,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,,,,
123,Axel Disasi,fr FRA,DF,Chelsea,26-325,1998,4.0,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches,,,,
124,Roman Dixon,eng ENG,DF,Everton,20-035,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
125,Matt Doherty,ie IRL,DF,Wolves,33-014,1992,11.9,2,8,3,37.5,0.67,0.25,0.25,0.67,10.9,0,0,0,0.9,0.9,0.12,+1.1,+1.1,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
126,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-248,2002,8.8,3,17,6,35.3,1.94,0.68,0.18,0.50,18.1,0,0,0,0.8,0.8,0.04,+2.2,+2.2,Matches,,,,
127,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-216,1998,12.2,0,13,4,30.8,1.07,0.33,0.00,0.00,18.0,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches,,,,
128,Alfie Dorrington,eng ENG,DF,Tottenham,19-285,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
129,Abdoulaye Doucouré,ml MLI,MF,Everton,32-029,1993,17.7,0,11,2,18.2,0.62,0.11,0.00,0.00,15.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,,,,
130,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-022,2000,5.0,0,7,0,0.0,1.39,0.00,0.00,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,,,,
