,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-058,2002,20.5,0,2,0,0.0,0.10,0.00,0.00,,16.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,,,,
50,Beto,gw GNB,FW,Everton,27-012,1998,4.5,3,14,6,42.9,3.12,1.34,0.21,0.50,11.9,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-246,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-166,1996,11.5,2,7,3,42.9,0.61,0.26,0.29,0.67,23.4,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-038,2004,3.9,0,1,1,100.0,0.26,0.26,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,34-009,1991,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-031,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-054,1996,19.4,6,52,22,42.3,2.68,1.13,0.10,0.23,18.5,0,1,1,4.9,4.1,0.08,+1.1,+0.9,Matches,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-218,2003,2.9,0,7,3,42.9,2.40,1.03,0.00,0.00,14.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-230,2002,14.1,0,5,1,20.0,0.35,0.07,0.00,0.00,9.1,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,,,,
59,James Bree,eng ENG,DF,Southampton,27-124,1997,7.4,0,3,1,33.3,0.41,0.14,0.00,0.00,19.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-300,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,,,,
61,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-313,1998,4.2,0,8,5,62.5,1.89,1.18,0.00,0.00,16.8,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches,,,,
62,Armando Broja,al ALB,FW,Everton,23-155,2001,1.8,0,4,0,0.0,2.26,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-219,1997,6.4,2,18,9,50.0,2.83,1.42,0.11,0.22,16.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-049,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-095,1998,14.8,0,6,3,50.0,0.40,0.20,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-051,2004,12.7,4,24,10,41.7,1.88,0.79,0.17,0.40,17.4,0,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-114,1995,10.0,0,9,1,11.1,0.90,0.10,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-279,1992,23.0,0,14,4,28.6,0.61,0.17,0.00,0.00,10.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-081,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-102,2001,23.6,1,12,2,16.7,0.51,0.08,0.08,0.50,24.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-023,1991,4.4,1,4,1,25.0,0.91,0.23,0.25,1.00,23.5,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-186,1999,11.6,0,4,0,0.0,0.35,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-269,2002,8.4,2,7,5,71.4,0.84,0.60,0.29,0.40,13.0,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-333,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-334,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-166,2002,4.8,1,11,4,36.4,2.28,0.83,0.09,0.25,15.1,0,0,0,2.4,2.4,0.22,-1.4,-1.4,Matches,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-355,1992,9.3,1,18,5,27.8,1.94,0.54,0.06,0.20,19.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-107,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-189,1997,14.0,1,6,3,50.0,0.43,0.21,0.17,0.33,16.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-069,1995,10.0,0,4,2,50.0,0.40,0.20,0.00,0.00,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-222,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-222,1999,2.0,0,2,0,0.0,0.99,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-362,1997,6.8,1,12,3,25.0,1.76,0.44,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-110,1997,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,,,,
85,Chiquinho,pt POR,MF,Wolves,25-007,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-134,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-356,1995,19.5,1,23,8,34.8,1.18,0.41,0.04,0.13,20.2,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-347,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-081,2000,6.8,0,11,1,9.1,1.63,0.15,0.00,0.00,19.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-313,1991,4.4,0,1,0,0.0,0.23,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-353,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-124,1988,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-288,2001,24.0,2,12,5,41.7,0.50,0.21,0.17,0.40,8.6,0,0,0,2.2,2.2,0.18,-0.2,-0.2,Matches,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-040,2004,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-352,2003,22.0,0,7,1,14.3,0.32,0.05,0.00,0.00,8.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-009,1997,21.6,1,10,2,20.0,0.46,0.09,0.10,0.50,24.1,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-138,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-174,1992,8.2,0,4,1,25.0,0.49,0.12,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,,,,
99,Woyo Coulibaly,fr FRA,DF,Leicester City,25-268,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
100,Aaron Cresswell,eng ENG,DF,West Ham,35-059,1989,3.3,0,3,0,0.0,0.91,0.00,0.00,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
101,Marc Cucurella,es ESP,DF,Chelsea,26-205,1998,20.0,2,12,3,25.0,0.60,0.15,0.17,0.67,16.3,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches,,,,
102,Jorge Cuenca,es ESP,DF,Fulham,25-087,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-261,1999,20.8,11,71,29,40.8,3.41,1.39,0.15,0.38,20.4,6,0,0,5.2,5.2,0.07,+5.8,+5.8,Matches,,,,
104,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-126,1998,3.4,1,8,2,25.0,2.35,0.59,0.13,0.50,15.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,,,,
105,Diogo Dalot,pt POR,DF,Manchester Utd,25-331,1999,22.6,0,18,4,22.2,0.80,0.18,0.00,0.00,17.2,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches,,,,
106,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-224,2000,19.9,2,22,7,31.8,1.10,0.35,0.09,0.29,15.9,2,0,0,2.0,2.0,0.09,0.0,0.0,Matches,,,,
107,Danilo,br BRA,MF,Nott'ham Forest,23-289,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
108,Jayden Danns,eng ENG,MF,Liverpool,19-027,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
109,Ben Davies,wls WAL,DF,Tottenham,31-294,1993,6.0,0,1,0,0.0,0.17,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
110,Leif Davis,eng ENG,DF,Ipswich Town,25-031,2000,23.5,1,12,2,16.7,0.51,0.09,0.08,0.50,19.6,2,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches,,,,
111,Craig Dawson,eng ENG,DF,Wolves,34-282,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,,,,
112,Kevin De Bruyne,be BEL,MF,Manchester City,33-229,1991,11.2,2,33,8,24.2,2.94,0.71,0.06,0.25,22.5,4,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches,,,,
113,Liam Delap,eng ENG,FW,Ipswich Town,22-004,2003,19.6,9,39,19,48.7,1.99,0.97,0.18,0.37,16.0,0,2,2,7.2,5.6,0.14,+1.8,+1.4,Matches,,,,
114,Sepp van den Berg,nl NED,DF,Brentford,23-054,2001,18.9,0,12,4,33.3,0.64,0.21,0.00,0.00,11.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,,,,
115,Justin Devenny,nir NIR,MF,Crystal Palace,21-124,2003,3.0,1,5,2,40.0,1.68,0.67,0.20,0.50,21.0,1,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,,,,
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-159,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,,,,
117,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-216,2002,17.7,6,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0,0,4.1,4.1,0.10,+1.9,+1.9,Matches,,,,
118,Rúben Dias,pt POR,DF,Manchester City,27-274,1997,13.1,0,13,3,23.1,0.99,0.23,0.00,0.00,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,,,,
119,Luis Díaz,co COL,FW,Liverpool,28-030,1997,15.9,8,46,20,43.5,2.90,1.26,0.17,0.40,13.9,0,0,0,6.8,6.8,0.15,+1.2,+1.2,Matches,,,,
120,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-337,2006,13.7,2,23,9,39.1,1.68,0.66,0.09,0.22,20.5,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches,,,,
121,Lucas Digne,fr FRA,DF,Aston Villa,31-207,1993,19.7,0,12,3,25.0,0.61,0.15,0.00,0.00,22.6,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,,,,
122,Issa Diop,fr FRA,DF,Fulham,28-034,1997,11.9,0,5,2,40.0,0.42,0.17,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,,,,
123,Axel Disasi,fr FRA,DF,Chelsea,26-338,1998,4.0,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches,,,,
124,Roman Dixon,eng ENG,DF,Everton,20-048,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
125,Matt Doherty,ie IRL,DF,Wolves,33-027,1992,12.9,2,8,3,37.5,0.62,0.23,0.25,0.67,10.9,0,0,0,0.9,0.9,0.12,+1.1,+1.1,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
126,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-261,2002,8.8,3,17,6,35.3,1.94,0.68,0.18,0.50,18.1,0,0,0,0.8,0.8,0.04,+2.2,+2.2,Matches,,,,
127,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-229,1998,12.5,0,13,4,30.8,1.04,0.32,0.00,0.00,18.0,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches,,,,
128,Alfie Dorrington,eng ENG,DF,Tottenham,19-298,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
129,Abdoulaye Doucouré,ml MLI,MF,Everton,32-042,1993,18.7,1,14,3,21.4,0.75,0.16,0.07,0.33,14.3,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches,,,,
