,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,24,26.6,44.7,23,253,"2,070",23.0,21,15,36,19,2,2,59,1,20.2,18.6,13.6,32.3,398,605,0.91,0.65,1.57,0.83,1.48,0.88,0.59,1.47,0.81,1.40,,,,,,
vs Aston Villa,23,26.9,50.3,22,242,"1,980",22.0,34,23,57,33,1,2,60,1,26.9,25.3,19.0,44.2,397,781,1.55,1.05,2.59,1.50,2.55,1.22,0.86,2.08,1.15,2.01,,,,,,
vs Bournemouth,28,27.0,53.9,23,253,"2,070",23.0,26,20,46,25,1,1,61,2,28.6,27.9,22.1,49.9,417,821,1.13,0.87,2.00,1.09,1.96,1.25,0.96,2.21,1.21,2.17,,,,,,
vs Brentford,26,27.2,52.6,22,242,"1,980",22.0,38,28,66,37,1,1,47,2,37.5,36.7,28.7,65.4,521,1011,1.73,1.27,3.00,1.68,2.95,1.70,1.31,3.01,1.67,2.97,,,,,,
vs Brighton,30,26.9,46.9,23,253,"2,070",23.0,30,18,48,25,5,5,62,3,33.1,29.1,25.1,54.3,351,729,1.30,0.78,2.09,1.09,1.87,1.44,1.09,2.53,1.27,2.36,,,,,,
vs Chelsea,27,27.1,42.3,23,253,"2,070",23.0,30,21,51,25,5,6,67,2,33.2,28.5,23.7,52.1,360,705,1.30,0.91,2.22,1.09,2.00,1.44,1.03,2.47,1.24,2.27,,,,,,
vs Crystal Palace,25,26.7,56.3,22,242,"1,980",22.0,26,21,47,26,0,1,46,2,30.1,29.3,24.1,53.3,408,891,1.18,0.95,2.14,1.18,2.14,1.37,1.09,2.46,1.33,2.42,,,,,,
vs Everton,24,26.7,59.9,22,242,"1,980",22.0,28,24,52,28,0,2,25,1,29.7,28.1,22.8,50.8,423,968,1.27,1.09,2.36,1.27,2.36,1.35,1.03,2.38,1.28,2.31,,,,,,
vs Fulham,25,27.1,47.1,22,242,"1,980",22.0,29,25,54,28,1,1,46,3,26.6,25.8,20.1,45.9,348,773,1.32,1.14,2.45,1.27,2.41,1.21,0.91,2.12,1.17,2.08,,,,,,
vs Ipswich Town,31,27.1,59.9,23,253,"2,070",23.0,47,30,77,42,5,5,36,1,47.0,43.1,34.7,77.8,502,1017,2.04,1.30,3.35,1.83,3.13,2.04,1.51,3.55,1.87,3.38,,,,,,
vs Leicester City,27,27.0,53.9,22,242,"1,980",22.0,46,35,81,45,1,1,43,2,43.1,42.3,32.3,74.7,429,1068,2.09,1.59,3.68,2.05,3.64,1.96,1.47,3.43,1.92,3.39,,,,,,
vs Liverpool,24,26.7,42.0,22,242,"1,980",22.0,21,17,38,21,0,1,58,0,19.2,18.3,14.8,33.1,355,632,0.95,0.77,1.73,0.95,1.73,0.87,0.67,1.55,0.83,1.51,,,,,,
vs Manchester City,26,26.9,38.9,23,253,"2,070",23.0,29,23,52,26,3,3,52,1,32.9,30.6,26.0,56.6,360,552,1.26,1.00,2.26,1.13,2.13,1.43,1.13,2.56,1.33,2.46,,,,,,
vs Manchester Utd,25,27.0,46.3,22,242,"1,980",22.0,31,22,53,28,3,4,44,1,33.2,30.1,24.5,54.6,386,679,1.41,1.00,2.41,1.27,2.27,1.51,1.11,2.62,1.37,2.48,,,,,,
vs Newcastle Utd,24,26.8,48.9,23,253,"2,070",23.0,26,25,51,26,0,0,65,1,27.8,27.8,22.0,49.9,418,816,1.13,1.09,2.22,1.13,2.22,1.21,0.96,2.17,1.21,2.17,,,,,,
vs Nott'ham Forest,23,26.9,59.9,23,253,"2,070",23.0,27,21,48,26,1,1,68,2,25.9,25.1,19.0,44.1,606,1228,1.17,0.91,2.09,1.13,2.04,1.13,0.83,1.95,1.09,1.92,,,,,,
vs Southampton,31,26.8,48.0,23,253,"2,070",23.0,53,36,89,49,4,4,40,1,54.0,51.0,40.3,91.3,484,911,2.30,1.57,3.87,2.13,3.70,2.35,1.75,4.10,2.22,3.97,,,,,,
vs Tottenham,28,26.9,42.4,22,242,"1,980",22.0,33,22,55,31,2,2,55,3,36.9,35.3,27.1,62.5,367,715,1.50,1.00,2.50,1.41,2.41,1.68,1.23,2.91,1.61,2.84,,,,,,
vs West Ham,26,26.9,53.1,22,242,"1,980",22.0,41,33,74,38,3,3,33,0,39.1,36.8,31.8,68.6,481,970,1.86,1.50,3.36,1.73,3.23,1.78,1.45,3.22,1.67,3.12,,,,,,
vs Wolves,26,26.9,52.9,23,253,"2,070",23.0,49,36,85,44,5,6,56,2,39.0,34.2,28.5,62.8,508,963,2.13,1.57,3.70,1.91,3.48,1.69,1.24,2.93,1.49,2.73,,,,,,
