,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,24,26.7,45.2,24,264,"2,160",24.0,22,16,38,20,2,2,59,1,21.2,19.6,14.6,34.2,417,645,0.92,0.67,1.58,0.83,1.50,0.88,0.61,1.49,0.82,1.42,,,,,,
vs Aston Villa,25,27.1,49.7,24,264,"2,160",24.0,37,25,62,36,1,2,65,1,29.8,28.2,20.9,49.1,426,836,1.54,1.04,2.58,1.50,2.54,1.24,0.87,2.11,1.18,2.05,,,,,,
vs Bournemouth,28,27.1,53.8,24,264,"2,160",24.0,28,21,49,26,2,2,64,2,31.2,29.6,23.7,53.3,443,857,1.17,0.87,2.04,1.08,1.96,1.30,0.99,2.29,1.24,2.22,,,,,,
vs Brentford,27,27.1,52.1,24,264,"2,160",24.0,40,30,70,39,1,1,50,2,39.4,38.6,30.2,68.8,550,1069,1.67,1.25,2.92,1.62,2.87,1.64,1.26,2.90,1.61,2.87,,,,,,
vs Brighton,30,26.9,46.5,24,264,"2,160",24.0,36,22,58,30,6,6,63,3,36.3,31.6,27.5,59.2,368,766,1.50,0.92,2.42,1.25,2.17,1.51,1.15,2.66,1.32,2.47,,,,,,
vs Chelsea,27,27.1,42.3,23,253,"2,070",23.0,30,21,51,25,5,6,67,2,33.0,28.3,23.6,51.8,357,705,1.30,0.91,2.22,1.09,2.00,1.43,1.02,2.46,1.23,2.25,,,,,,
vs Crystal Palace,26,26.6,56.5,24,264,"2,160",24.0,28,22,50,27,1,2,51,2,32.4,30.8,25.4,56.2,443,983,1.17,0.92,2.08,1.13,2.04,1.35,1.06,2.41,1.28,2.34,,,,,,
vs Everton,24,26.8,59.6,23,253,"2,070",23.0,28,24,52,28,0,2,25,1,30.0,28.4,23.0,51.4,432,1001,1.22,1.04,2.26,1.22,2.26,1.30,1.00,2.31,1.23,2.24,,,,,,
vs Fulham,25,27.1,47.3,24,264,"2,160",24.0,31,25,56,30,1,1,51,3,27.6,26.8,20.8,47.6,379,864,1.29,1.04,2.33,1.25,2.29,1.15,0.87,2.02,1.12,1.98,,,,,,
vs Ipswich Town,31,27.1,59.2,24,264,"2,160",24.0,49,30,79,44,5,5,39,1,47.9,44.0,35.0,78.9,516,1036,2.04,1.25,3.29,1.83,3.08,2.00,1.46,3.45,1.83,3.29,,,,,,
vs Leicester City,28,27.0,54.0,24,264,"2,160",24.0,51,39,90,50,1,1,44,2,46.6,45.8,35.2,81.1,459,1133,2.12,1.62,3.75,2.08,3.71,1.94,1.47,3.41,1.91,3.38,,,,,,
vs Liverpool,24,26.7,42.3,23,253,"2,070",23.0,21,17,38,21,0,1,60,0,20.8,19.9,15.8,35.6,381,673,0.91,0.74,1.65,0.91,1.65,0.91,0.69,1.59,0.86,1.55,,,,,,
vs Manchester City,26,26.9,39.2,24,264,"2,160",24.0,34,27,61,31,3,3,54,1,34.1,31.8,27.1,58.8,377,587,1.42,1.13,2.54,1.29,2.42,1.42,1.13,2.55,1.32,2.45,,,,,,
vs Manchester Utd,25,27.0,46.0,24,264,"2,160",24.0,33,23,56,30,3,4,45,1,36.4,33.4,26.6,59.9,421,733,1.37,0.96,2.33,1.25,2.21,1.52,1.11,2.62,1.39,2.50,,,,,,
vs Newcastle Utd,24,26.9,49.0,24,264,"2,160",24.0,28,27,55,28,0,0,69,1,29.4,29.4,23.5,52.9,449,861,1.17,1.13,2.29,1.17,2.29,1.22,0.98,2.20,1.22,2.20,,,,,,
vs Nott'ham Forest,23,26.9,60.0,24,264,"2,160",24.0,27,21,48,26,1,1,71,2,26.7,25.9,19.8,45.7,639,1282,1.13,0.87,2.00,1.08,1.96,1.11,0.83,1.94,1.08,1.90,,,,,,
vs Southampton,33,26.7,48.4,24,264,"2,160",24.0,54,36,90,50,4,4,40,1,55.9,52.9,41.0,93.9,502,959,2.25,1.50,3.75,2.08,3.58,2.33,1.71,4.04,2.20,3.91,,,,,,
vs Tottenham,29,26.9,42.7,24,264,"2,160",24.0,35,24,59,33,2,2,60,3,40.5,38.9,29.9,68.9,405,784,1.46,1.00,2.46,1.37,2.37,1.69,1.25,2.94,1.62,2.87,,,,,,
vs West Ham,26,26.9,52.8,23,253,"2,070",23.0,42,34,76,39,3,3,35,0,39.9,37.6,32.5,70.2,506,1007,1.83,1.48,3.30,1.70,3.17,1.74,1.42,3.15,1.64,3.05,,,,,,
vs Wolves,26,26.9,53.5,24,264,"2,160",24.0,49,36,85,44,5,6,59,2,39.4,34.7,28.9,63.6,529,1006,2.04,1.50,3.54,1.83,3.33,1.64,1.20,2.85,1.45,2.65,,,,,,
