,Total,Short,Medium,Long,,Expected,,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,23.0,9971,11950,83.4,165261,52532,4996,5474,91.3,4118,4658,88.4,681,1303,52.3,32,28.3,27.9,+3.7,250,809,249,44,1052,,,,,,,,
Aston Villa,24,23.0,8836,10695,82.6,152409,53347,4004,4454,89.9,4012,4512,88.9,659,1227,53.7,26,24.5,22.5,+1.5,216,659,190,33,770,,,,,,,,
Bournemouth,28,23.0,7392,9745,75.9,136496,52769,3154,3671,85.9,3302,3919,84.3,814,1705,47.7,30,29.7,23.1,+0.3,285,730,198,52,919,,,,,,,,
Brentford,26,23.0,8301,10577,78.5,150168,56802,3701,4252,87.0,3640,4281,85.0,823,1591,51.7,27,27.2,23.4,-0.2,200,657,181,46,833,,,,,,,,
Brighton,30,23.0,9782,11777,83.1,167520,57458,4669,5154,90.6,4069,4627,87.9,836,1466,57.0,22,22.1,22.5,-0.1,226,727,199,54,969,,,,,,,,
Chelsea,27,23.0,11061,13043,84.8,190471,60665,4984,5445,91.5,5006,5538,90.4,848,1511,56.1,34,35.6,27.1,-1.6,278,885,205,38,949,,,,,,,,
Crystal Palace,26,23.0,7541,9928,76.0,137408,51215,3230,3757,86.0,3453,4086,84.5,731,1614,45.3,20,24.1,19.5,-4.1,231,582,166,40,752,,,,,,,,
Everton,24,22.0,6434,8484,75.8,121852,48914,2884,3325,86.7,2571,3044,84.5,870,1678,51.8,9,16.4,15.5,-7.4,175,602,144,47,601,,,,,,,,
Fulham,25,23.0,10102,12298,82.1,178068,59604,4564,5083,89.8,4414,5007,88.2,930,1652,56.3,29,24.9,22.4,+4.1,253,818,209,64,946,,,,,,,,
Ipswich Town,31,23.0,7064,9068,77.9,124044,46808,3287,3707,88.7,3008,3530,85.2,631,1352,46.7,14,14.7,13.6,-0.7,161,519,99,29,548,,,,,,,,
Leicester City,28,23.0,8568,10704,80.0,142305,52471,4225,4711,89.7,3442,3978,86.5,667,1413,47.2,20,18.4,18.1,+1.6,166,624,139,42,667,,,,,,,,
Liverpool,24,22.0,10881,12878,84.5,182003,61501,5299,5755,92.1,4552,5141,88.5,785,1428,55.0,42,38.4,33.5,+3.6,306,940,281,57,1145,,,,,,,,
Manchester City,26,23.0,13181,14938,88.2,212783,60250,6869,7405,92.8,5364,5855,91.6,766,1204,63.6,34,36.2,35.6,-2.2,321,984,287,45,1209,,,,,,,,
Manchester Utd,25,23.0,10456,12589,83.1,171808,56036,5175,5707,90.7,4248,4769,89.1,741,1445,51.3,19,25.2,21.0,-6.2,238,709,178,36,846,,,,,,,,
Newcastle Utd,24,23.0,9466,11603,81.6,157682,56807,4694,5261,89.2,3913,4440,88.1,677,1369,49.5,31,31.5,27.2,-0.5,254,702,219,39,947,,,,,,,,
Nott'ham Forest,23,23.0,6404,8569,74.7,107871,44534,3331,3823,87.1,2210,2782,79.4,618,1384,44.7,24,20.3,19.2,+3.7,209,527,137,30,648,,,,,,,,
Southampton,31,23.0,10239,12061,84.9,171111,54385,4912,5362,91.6,4408,4893,90.1,696,1302,53.5,11,17.5,16.6,-6.5,175,663,148,37,744,,,,,,,,
Tottenham,28,23.0,10610,12770,83.1,175060,59715,4991,5548,90.0,4654,5236,88.9,670,1246,53.8,35,30.3,25.5,+4.7,247,849,261,52,1091,,,,,,,,
West Ham,26,23.0,8509,10676,79.7,152125,54793,3895,4438,87.8,3598,4164,86.4,877,1600,54.8,16,21.3,20.2,-5.3,218,643,170,47,749,,,,,,,,
Wolves,26,23.0,8312,10439,79.6,146232,50356,3830,4321,88.6,3449,3947,87.4,822,1600,51.4,27,20.1,14.3,+6.9,187,627,176,44,718,,,,,,,,
