,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,24,45.2,24.0,12680,1852,4843,4970,3019,401,12678,406,174,42.9,172,42.4,6971,38535,20367,417,292,107,287,229,8084,638,,,,,
vs Aston Villa,25,49.7,24.0,13816,1442,4237,6272,3436,534,13814,401,154,38.4,194,48.4,7876,42136,21642,426,301,126,315,224,9218,822,,,,,
vs Bournemouth,28,53.8,24.0,14804,1796,5329,6035,3594,621,14802,460,212,46.1,194,42.2,8024,43579,21036,443,301,129,419,271,9244,848,,,,,
vs Brentford,27,52.1,24.0,14902,1608,4405,5821,4794,831,14901,411,174,42.3,200,48.7,8259,43705,23376,550,374,214,316,204,9692,1059,,,,,
vs Brighton,30,46.5,24.0,13608,1858,5491,5602,2651,558,13602,481,226,47.0,205,42.6,7449,38795,19066,368,194,152,321,218,8602,756,,,,,
vs Chelsea,27,41.9,24.0,12542,1859,5046,5032,2624,489,12536,426,183,43.0,179,42.0,6784,37292,18662,363,238,108,271,194,7860,716,,,,,
vs Crystal Palace,26,56.5,24.0,16095,1564,4916,7354,3981,610,16093,491,219,44.6,219,44.6,8899,47956,24631,443,307,127,357,292,10749,975,,,,,
vs Everton,24,59.6,23.0,15892,1425,5113,7055,3854,589,15890,447,185,41.4,215,48.1,9651,49520,26335,432,330,126,333,247,11002,995,,,,,
vs Fulham,25,47.3,24.0,14084,1665,4734,6219,3265,486,14083,404,173,42.8,174,43.1,7736,42430,21441,379,284,101,338,248,9225,854,,,,,
vs Ipswich Town,31,59.2,24.0,16641,1483,5091,7111,4583,717,16636,450,224,49.8,178,39.6,10076,51689,26095,516,353,191,301,207,11799,1020,,,,,
vs Leicester City,28,54.0,24.0,15987,1345,4488,7067,4582,774,15986,495,228,46.1,207,41.8,9190,47701,24190,459,322,155,318,269,10916,1120,,,,,
vs Liverpool,24,42.3,23.0,12381,2002,5053,4870,2601,438,12380,449,183,40.8,209,46.5,6346,37468,19389,381,236,136,326,181,7646,661,,,,,
vs Manchester City,26,39.2,24.0,12502,2012,5325,4782,2510,444,12499,334,150,44.9,140,41.9,7148,36870,18175,377,227,110,282,175,8211,580,,,,,
vs Manchester Utd,25,46.0,24.0,13985,1599,4663,6241,3228,503,13980,476,205,43.1,233,48.9,7798,40668,20854,421,320,127,304,266,8996,727,,,,,
vs Newcastle Utd,24,49.0,24.0,14192,1658,4510,6024,3806,587,14192,434,189,43.5,186,42.9,8180,42784,22252,449,318,149,322,192,9065,856,,,,,
vs Nott'ham Forest,23,60.0,24.0,16099,1333,4385,7233,4634,683,16098,461,199,43.2,210,45.6,9429,56093,32143,639,427,165,373,233,10933,1267,,,,,
vs Southampton,33,48.4,24.0,14338,1385,4215,5980,4298,803,14334,425,199,46.8,172,40.5,8153,42591,22218,502,317,196,259,241,9716,954,,,,,
vs Tottenham,29,42.7,24.0,12825,1721,4672,4937,3364,612,12823,465,202,43.4,208,44.7,6978,36328,17861,405,257,144,305,231,7686,776,,,,,
vs West Ham,26,53.5,24.0,15356,1607,4806,6539,4165,723,15353,404,167,41.3,183,45.3,8972,48334,25831,541,325,165,324,232,10191,1051,,,,,
vs Wolves,26,53.5,24.0,15033,1424,4339,6584,4256,701,15027,510,200,39.2,235,46.1,8219,45201,23818,529,329,171,324,283,10028,999,,,,,
