,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,24,44.8,23.0,12090,1795,4676,4728,2831,387,12088,398,172,43.2,168,42.2,6586,36310,19245,398,275,105,278,217,7650,600,,,,,
vs Aston Villa,24,50.5,23.0,13398,1378,4046,6106,3364,525,13396,384,147,38.3,186,48.4,7662,40999,21104,413,293,125,303,219,9006,802,,,,,
vs Bournemouth,28,53.9,23.0,14202,1733,5134,5769,3447,590,14201,445,206,46.3,188,42.2,7730,42024,20336,420,288,119,397,258,8878,813,,,,,
vs Brentford,26,52.3,23.0,14291,1505,4141,5559,4703,814,14290,387,164,42.4,188,48.6,7900,41737,22273,528,363,206,303,192,9325,1028,,,,,
vs Brighton,30,46.9,23.0,13107,1785,5298,5391,2547,532,13102,458,211,46.1,197,43.0,7260,37481,18361,351,187,144,298,205,8329,718,,,,,
vs Chelsea,27,42.3,23.0,12099,1775,4836,4900,2518,465,12093,407,178,43.7,166,40.8,6607,36450,18300,357,233,106,260,184,7641,698,,,,,
vs Crystal Palace,26,56.1,23.0,15375,1503,4703,7053,3772,557,15373,474,214,45.1,208,43.9,8447,45953,23626,425,299,114,347,282,10268,912,,,,,
vs Everton,24,60.0,22.0,15257,1368,4910,6725,3746,572,15255,437,181,41.4,209,47.8,9330,47801,25465,424,323,125,320,240,10584,960,,,,,
vs Fulham,25,47.2,23.0,13524,1599,4546,5975,3132,455,13523,391,170,43.5,167,42.7,7459,40725,20528,362,273,95,321,235,8862,805,,,,,
vs Ipswich Town,31,59.9,23.0,16072,1410,4868,6864,4479,701,16067,432,217,50.2,170,39.4,9817,50439,25532,503,343,187,284,199,11476,1001,,,,,
vs Leicester City,28,54.2,23.0,15393,1287,4280,6798,4463,742,15392,477,219,45.9,202,42.3,8853,46201,23560,448,318,152,307,259,10533,1097,,,,,
vs Liverpool,24,42.0,22.0,11801,1951,4896,4604,2433,414,11800,422,171,40.5,197,46.7,6048,35589,18267,355,223,132,306,175,7304,622,,,,,
vs Manchester City,26,38.9,23.0,11993,1975,5166,4564,2371,428,11990,322,141,43.8,138,42.9,6812,35198,17401,360,215,105,273,163,7857,545,,,,,
vs Manchester Utd,25,46.5,23.0,13535,1511,4472,6068,3136,482,13530,466,201,43.1,228,48.9,7645,39983,20613,413,313,125,295,256,8793,707,,,,,
vs Newcastle Utd,24,48.9,23.0,13599,1588,4330,5781,3627,558,13599,420,180,42.9,184,43.8,7858,41033,21205,419,302,139,305,187,8689,811,,,,,
vs Nott'ham Forest,23,59.9,23.0,15398,1279,4201,6899,4446,655,15397,431,185,42.9,195,45.2,8969,53423,30593,611,407,157,354,227,10462,1214,,,,,
vs Southampton,31,48.0,23.0,13630,1310,3990,5645,4141,777,13626,391,182,46.5,157,40.2,7825,40434,21212,483,297,189,234,222,9238,906,,,,,
vs Tottenham,28,42.2,23.0,12175,1658,4494,4707,3116,567,12173,440,192,43.6,198,45.0,6608,34387,16942,382,246,135,286,219,7270,729,,,,,
vs West Ham,26,52.8,23.0,14607,1546,4633,6178,3941,689,14604,389,162,41.6,176,45.2,8436,45468,24167,506,306,156,314,225,9653,1001,,,,,
vs Wolves,26,52.9,23.0,14335,1367,4194,6194,4090,683,14329,482,192,39.8,222,46.1,7869,43032,22674,507,318,166,310,271,9526,957,,,,,
