,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,24,44.8,23.0,12090,1795,4676,4728,2831,387,12088,398,172,43.2,168,42.2,6586,36310,19245,398,275,105,278,217,7650,600,,,,,
vs Aston Villa,24,50.5,23.0,13388,1378,4044,6101,3363,525,13386,380,147,38.7,186,48.9,7658,40974,21099,413,293,124,303,219,9003,801,,,,,
vs Bournemouth,28,53.9,23.0,14202,1733,5134,5769,3447,590,14201,445,206,46.3,188,42.2,7730,42024,20336,420,288,119,397,258,8878,813,,,,,
vs Brentford,26,52.3,23.0,14293,1505,4144,5558,4703,814,14292,385,164,42.6,188,48.8,7902,41743,22262,528,363,206,303,192,9326,1028,,,,,
vs Brighton,30,46.9,23.0,13107,1785,5298,5391,2547,532,13102,458,211,46.1,197,43.0,7260,37481,18361,351,187,144,298,205,8329,718,,,,,
vs Chelsea,27,42.3,23.0,12100,1775,4837,4900,2518,465,12094,408,178,43.6,166,40.7,6607,36457,18300,357,233,106,260,184,7641,698,,,,,
vs Crystal Palace,26,56.1,23.0,15373,1504,4702,7054,3770,556,15371,471,213,45.2,208,44.2,8437,45840,23582,421,299,111,347,282,10269,913,,,,,
vs Everton,24,60.0,22.0,15257,1368,4910,6725,3746,572,15255,437,181,41.4,209,47.8,9330,47801,25465,424,323,125,320,240,10584,960,,,,,
vs Fulham,25,47.2,23.0,13511,1597,4542,5970,3128,453,13510,390,170,43.6,168,43.1,7448,40697,20496,361,274,95,322,234,8851,805,,,,,
vs Ipswich Town,31,59.9,23.0,16072,1410,4868,6864,4479,701,16067,432,217,50.2,170,39.4,9817,50439,25532,503,343,187,284,199,11476,1001,,,,,
vs Leicester City,28,54.2,23.0,15375,1282,4277,6791,4459,740,15374,475,219,46.1,200,42.1,8828,46145,23514,445,318,152,310,259,10524,1100,,,,,
vs Liverpool,24,42.0,22.0,11801,1951,4896,4604,2433,414,11800,422,171,40.5,197,46.7,6048,35589,18267,355,223,132,306,175,7304,622,,,,,
vs Manchester City,26,38.9,23.0,11993,1975,5166,4564,2371,428,11990,322,141,43.8,138,42.9,6812,35198,17401,360,215,105,273,163,7857,545,,,,,
vs Manchester Utd,25,46.5,23.0,13520,1509,4467,6060,3134,482,13515,464,201,43.3,228,49.1,7624,39810,20569,415,312,124,295,256,8782,709,,,,,
vs Newcastle Utd,24,48.9,23.0,13599,1588,4330,5781,3627,558,13599,420,180,42.9,184,43.8,7858,41033,21205,419,302,139,305,187,8689,811,,,,,
vs Nott'ham Forest,23,59.9,23.0,15398,1279,4201,6899,4446,655,15397,431,185,42.9,195,45.2,8969,53423,30593,611,407,157,354,227,10462,1214,,,,,
vs Southampton,31,48.0,23.0,13630,1310,3990,5645,4141,777,13626,391,182,46.5,157,40.2,7825,40434,21212,483,297,189,234,222,9238,906,,,,,
vs Tottenham,28,42.2,23.0,12165,1649,4480,4708,3117,567,12163,437,190,43.5,197,45.1,6589,34273,16900,382,244,135,290,217,7263,730,,,,,
vs West Ham,26,52.8,23.0,14592,1545,4630,6170,3936,689,14589,382,162,42.4,175,45.8,8429,45433,24145,505,307,156,313,226,9649,1002,,,,,
vs Wolves,26,52.9,23.0,14335,1367,4194,6194,4090,683,14329,482,192,39.8,222,46.1,7869,43032,22674,507,318,166,310,271,9526,957,,,,,
