,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,23.0,21,2,1,4,0,20.7,0.25,-0.3,-0.01,109,319,34.2,712,99,35.4,31.6,120,55.8,41.7,251,33,13.1,35,1.52,15.9,,,,,,,,
Aston Villa,2,23.0,35,1,1,1,0,32.5,0.33,-2.5,-0.11,106,249,42.6,709,78,26.8,29.9,162,36.4,32.0,321,36,11.2,19,0.83,12.9,,,,,,,,
Bournemouth,3,23.0,26,1,1,3,0,35.7,0.31,+9.7,+0.42,124,302,41.1,533,95,37.3,33.7,178,57.9,43.9,299,14,4.7,33,1.43,15.1,,,,,,,,
Brentford,2,23.0,40,1,0,2,1,38.5,0.27,-0.5,-0.02,149,412,36.2,920,78,35.0,33.7,209,43.1,36.6,381,29,7.6,25,1.09,11.9,,,,,,,,
Brighton,2,23.0,31,5,1,3,1,29.1,0.29,-0.9,-0.04,84,233,36.1,773,89,25.4,25.1,139,26.6,24.9,271,20,7.4,37,1.61,15.4,,,,,,,,
Chelsea,2,23.0,30,5,0,2,0,32.0,0.26,+2.0,+0.09,60,258,23.3,780,135,30.6,31.4,122,15.6,19.6,231,30,13.0,45,1.96,15.3,,,,,,,,
Crystal Palace,1,23.0,30,1,0,2,2,30.5,0.33,+2.5,+0.11,96,370,25.9,568,72,48.8,38.3,183,50.8,42.2,336,17,5.1,30,1.30,15.5,,,,,,,,
Everton,1,22.0,28,0,0,5,0,30.0,0.31,+2.0,+0.09,185,495,37.4,748,96,53.5,41.3,169,56.2,45.2,324,18,5.6,45,2.05,16.2,,,,,,,,
Fulham,1,23.0,31,1,0,4,1,26.6,0.28,-3.4,-0.15,70,212,33.0,706,90,22.8,28.3,155,32.9,29.6,292,18,6.2,20,0.87,13.1,,,,,,,,
Ipswich Town,2,23.0,47,5,0,2,0,46.0,0.33,-1.0,-0.04,113,328,34.5,636,120,36.0,35.2,180,55.0,42.1,344,48,14.0,20,0.87,7.6,,,,,,,,
Leicester City,3,23.0,49,1,0,3,2,48.5,0.37,+1.5,+0.07,126,384,32.8,666,119,44.3,32.0,204,43.6,33.5,391,24,6.1,22,0.96,20.7,,,,,,,,
Liverpool,3,22.0,21,0,0,1,0,22.5,0.30,+1.5,+0.07,58,179,32.4,604,92,26.0,25.0,120,18.3,22.6,205,8,3.9,31,1.41,15.8,,,,,,,,
Manchester City,2,23.0,30,3,0,2,1,31.8,0.35,+2.8,+0.12,80,172,46.5,745,88,19.9,28.2,114,21.1,24.3,205,11,5.4,37,1.61,17.4,,,,,,,,
Manchester Utd,1,23.0,32,3,0,9,1,33.2,0.34,+2.2,+0.10,78,290,26.9,777,96,29.7,29.3,141,41.8,32.8,248,15,6.0,16,0.70,11.5,,,,,,,,
Newcastle Utd,2,23.0,27,0,0,1,1,30.2,0.30,+4.2,+0.18,52,216,24.1,541,135,24.4,25.6,160,52.5,42.3,314,28,8.9,39,1.70,15.4,,,,,,,,
Nott'ham Forest,1,23.0,27,1,1,3,0,27.7,0.29,+0.7,+0.03,161,432,37.3,390,45,77.9,45.6,200,64.0,45.9,411,16,3.9,4,0.17,7.0,,,,,,,,
Southampton,3,23.0,53,4,0,9,0,50.7,0.32,-2.3,-0.10,125,368,34.0,759,117,40.4,30.0,181,33.7,29.7,333,25,7.5,18,0.78,18.0,,,,,,,,
Tottenham,4,23.0,37,2,0,3,2,38.4,0.37,+3.4,+0.15,32,91,35.2,633,119,13.3,27.2,169,4.1,15.4,289,30,10.4,28,1.22,11.1,,,,,,,,
West Ham,2,23.0,44,3,1,5,2,39.2,0.30,-2.8,-0.12,140,367,38.1,696,100,37.2,35.4,200,54.0,40.9,361,16,4.4,25,1.09,13.7,,,,,,,,
Wolves,2,23.0,52,5,1,10,3,40.5,0.32,-8.5,-0.37,107,366,29.2,649,94,45.9,36.6,157,43.3,35.3,368,25,6.8,38,1.65,13.4,,,,,,,,
