,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,23.0,21,2,1,4,0,20.7,0.25,-0.3,-0.02,109,318,34.3,711,99,35.2,31.6,120,56.7,42.4,250,33,13.2,35,1.52,15.9,,,,,,,,
Aston Villa,2,22.0,34,1,1,1,0,31.0,0.33,-3.0,-0.14,104,237,43.9,682,76,26.7,29.9,151,36.4,32.1,307,35,11.4,19,0.86,12.8,,,,,,,,
Bournemouth,3,23.0,26,1,1,3,0,35.5,0.31,+9.5,+0.41,126,304,41.4,533,94,37.5,33.8,178,58.4,44.3,300,14,4.7,33,1.43,15.1,,,,,,,,
Brentford,2,22.0,39,1,0,2,1,37.2,0.27,-0.8,-0.03,146,392,37.2,884,75,35.1,33.7,200,41.0,35.5,365,27,7.4,23,1.05,11.8,,,,,,,,
Brighton,2,23.0,31,5,1,3,1,29.1,0.29,-0.9,-0.04,84,233,36.1,774,89,25.3,25.1,139,26.6,25.0,270,20,7.4,37,1.61,15.4,,,,,,,,
Chelsea,2,23.0,30,5,0,2,0,32.0,0.26,+2.0,+0.09,59,258,22.9,780,135,30.5,31.4,122,16.4,20.2,231,30,13.0,45,1.96,15.3,,,,,,,,
Crystal Palace,1,22.0,28,0,0,2,2,28.8,0.34,+2.8,+0.13,90,352,25.6,545,69,48.6,38.3,174,50.0,41.6,321,17,5.3,27,1.23,15.3,,,,,,,,
Everton,1,22.0,28,0,0,5,0,29.8,0.31,+1.8,+0.08,185,495,37.4,748,96,53.5,41.3,169,56.2,45.3,324,18,5.6,45,2.05,16.2,,,,,,,,
Fulham,1,22.0,30,1,0,4,1,26.5,0.28,-2.5,-0.11,69,204,33.8,684,89,22.4,28.2,151,33.8,30.2,288,18,6.3,20,0.91,13.1,,,,,,,,
Ipswich Town,2,23.0,47,5,0,2,0,46.0,0.33,-1.0,-0.04,113,328,34.5,636,120,36.0,35.2,180,55.0,42.1,344,48,14.0,20,0.87,7.6,,,,,,,,
Leicester City,3,22.0,48,1,0,3,2,46.8,0.37,+0.8,+0.03,113,351,32.2,633,116,42.5,32.0,197,41.6,32.5,365,23,6.3,21,0.95,20.7,,,,,,,,
Liverpool,3,22.0,21,0,0,1,0,22.5,0.30,+1.5,+0.07,58,179,32.4,604,92,26.0,25.0,120,18.3,22.6,205,8,3.9,31,1.41,15.8,,,,,,,,
Manchester City,2,23.0,30,3,0,2,1,31.7,0.35,+2.7,+0.12,81,173,46.8,744,87,20.0,28.3,114,21.1,24.5,205,11,5.4,36,1.57,17.2,,,,,,,,
Manchester Utd,1,22.0,32,3,0,9,1,33.1,0.35,+2.1,+0.09,75,268,28.0,743,93,29.2,29.0,132,38.6,31.3,232,13,5.6,16,0.73,11.7,,,,,,,,
Newcastle Utd,2,23.0,27,0,0,1,1,30.3,0.30,+4.3,+0.19,52,216,24.1,541,135,24.4,25.6,160,52.5,42.3,314,28,8.9,39,1.70,15.4,,,,,,,,
Nott'ham Forest,1,23.0,27,1,1,3,0,27.6,0.28,+0.6,+0.03,161,433,37.2,390,45,77.9,45.6,200,64.5,46.2,411,15,3.6,4,0.17,7.0,,,,,,,,
Southampton,3,23.0,53,4,0,9,0,50.8,0.32,-2.2,-0.10,124,369,33.6,760,118,40.5,30.0,181,33.7,29.7,334,25,7.5,18,0.78,18.0,,,,,,,,
Tottenham,4,22.0,35,2,0,3,2,36.8,0.37,+3.8,+0.17,31,88,35.2,606,114,13.4,27.2,165,4.2,15.5,278,30,10.8,26,1.18,11.1,,,,,,,,
West Ham,2,22.0,43,3,1,5,2,38.4,0.30,-2.6,-0.12,135,351,38.5,666,95,37.7,35.4,190,52.6,40.4,350,16,4.6,24,1.09,13.7,,,,,,,,
Wolves,2,23.0,52,5,1,10,3,40.5,0.32,-8.5,-0.37,107,366,29.2,649,93,45.9,36.6,157,43.3,35.5,368,25,6.8,38,1.65,13.4,,,,,,,,
