,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,24,55.2,23.0,14295,1164,3760,6110,4528,783,14293,453,190,41.9,204,45.0,8235,42636,22289,475,284,170,283,240,9884,1034,,,,,
Aston Villa,24,49.5,23.0,13035,1552,4569,5529,3072,573,13032,422,196,46.4,176,41.7,7339,40545,21275,402,266,122,294,235,8690,764,,,,,
Bournemouth,28,46.1,23.0,12676,1383,3833,5366,3646,628,12669,412,176,42.7,185,44.9,6854,39610,20950,443,301,147,360,226,7321,911,,,,,
Brentford,26,47.7,23.0,13223,2139,5360,4868,3113,545,13219,367,151,41.1,173,47.1,7102,38430,19496,359,233,118,314,189,8189,824,,,,,
Brighton,30,53.1,23.0,14475,1634,4693,6300,3651,634,14474,504,210,41.7,247,49.0,8535,47791,26207,507,361,160,346,217,9671,959,,,,,
Chelsea,27,57.7,23.0,15407,1420,4703,6957,3872,696,15404,498,211,42.4,216,43.4,8977,47658,25725,530,307,193,284,183,10981,939,,,,,
Crystal Palace,26,43.9,23.0,12681,1561,4676,5344,2790,474,12679,296,123,41.6,146,49.3,6467,32759,15848,314,219,83,290,219,7486,742,,,,,
Everton,24,40.0,22.0,11037,1414,3989,4424,2767,409,11036,417,187,44.8,200,48.0,5258,29093,14300,290,215,81,302,238,6381,594,,,,,
Fulham,25,52.8,23.0,14730,1563,4865,6118,3901,583,14726,407,186,45.7,155,38.1,8838,44965,23217,505,346,146,289,174,10013,937,,,,,
Ipswich Town,31,40.1,23.0,11598,1838,4787,4519,2411,364,11596,362,163,45.0,157,43.4,5928,32545,15527,301,203,91,334,210,7003,540,,,,,
Leicester City,28,45.8,23.0,13373,1754,4886,6067,2557,408,13371,437,179,41.0,210,48.1,7648,37854,18837,364,223,89,306,206,8495,662,,,,,
Liverpool,24,58.0,22.0,15224,1317,4060,6820,4474,789,15219,378,183,48.4,165,43.7,8935,45836,24548,494,330,197,291,209,10761,1134,,,,,
Manchester City,26,61.1,23.0,17095,1271,3909,7082,6232,890,17093,453,220,48.6,165,36.4,10881,62753,34293,716,532,261,268,231,12998,1194,,,,,
Manchester Utd,25,53.5,23.0,15113,1496,5228,6608,3418,550,15110,392,165,42.1,199,50.8,9331,46288,22702,392,280,140,297,215,10344,835,,,,,
Newcastle Utd,24,51.1,23.0,14111,1462,4753,5879,3616,640,14108,419,181,43.2,181,43.2,8452,44339,21996,448,280,163,281,304,9398,941,,,,,
Nott'ham Forest,23,40.1,23.0,11352,1481,3905,4423,3174,500,11350,380,170,44.7,143,37.6,5355,30416,16336,401,262,117,335,195,6346,644,,,,,
Southampton,31,52.0,23.0,14550,1891,5293,6260,3103,458,14548,433,180,41.6,197,45.5,8119,42651,22273,421,297,111,277,221,10143,738,,,,,
Tottenham,28,57.8,23.0,15357,1534,4834,6372,4313,681,15356,484,198,40.9,238,49.2,9529,52649,26715,549,375,166,320,258,10516,1083,,,,,
West Ham,26,47.2,23.0,13404,1766,4894,5718,2929,543,13401,494,223,45.1,214,43.3,6791,35238,17931,386,236,122,296,251,8436,745,,,,,
Wolves,26,47.1,23.0,13065,1665,4789,5712,2719,440,13064,422,190,45.0,170,40.3,7052,40080,20693,361,271,100,335,212,8245,713,,,,,
