,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,24.0,49,2,0,8,2,42.9,0.36,-4.1,-0.17,119,372,32.0,702,76,41.5,36.3,187,43.3,34.4,384,28,7.3,17,0.71,10.1,,,,,,,,
vs Aston Villa,2,24.0,34,2,0,6,1,33.9,0.34,+0.9,+0.04,95,238,39.9,565,101,31.2,32.1,157,39.5,32.8,287,24,8.4,32,1.33,13.5,,,,,,,,
vs Bournemouth,3,24.0,41,6,1,3,0,46.4,0.30,+5.4,+0.22,161,407,39.6,793,97,39.2,35.6,213,45.1,35.5,391,29,7.4,35,1.46,14.3,,,,,,,,
vs Brentford,2,24.0,42,4,0,2,0,43.3,0.35,+1.3,+0.05,124,371,33.4,729,114,40.6,35.6,162,46.3,36.6,341,27,7.9,47,1.96,16.3,,,,,,,,
vs Brighton,2,24.0,35,1,1,2,1,37.5,0.34,+3.5,+0.15,136,407,33.4,868,123,36.2,33.4,196,47.4,37.9,353,21,5.9,38,1.58,15.4,,,,,,,,
vs Chelsea,2,24.0,47,3,2,4,1,48.2,0.34,+2.2,+0.09,117,372,31.5,737,112,38.3,34.6,199,45.2,36.8,302,22,7.3,28,1.17,13.4,,,,,,,,
vs Crystal Palace,1,24.0,28,2,0,6,1,31.6,0.27,+4.6,+0.19,119,313,38.0,801,135,30.3,30.9,160,43.8,36.5,313,25,8.0,31,1.29,13.8,,,,,,,,
vs Everton,1,23.0,23,1,1,1,3,20.2,0.25,+0.2,+0.01,65,187,34.8,676,115,19.8,27.7,146,36.3,31.8,307,20,6.5,18,0.78,12.8,,,,,,,,
vs Fulham,1,24.0,36,3,0,1,1,35.6,0.30,+0.6,+0.03,83,305,27.2,625,97,36.5,34.7,193,39.9,34.7,405,21,5.2,33,1.38,15.3,,,,,,,,
vs Ipswich Town,2,24.0,22,2,0,4,1,24.4,0.30,+3.4,+0.14,66,271,24.4,783,70,27.2,30.7,121,47.9,38.8,240,26,10.8,25,1.04,13.3,,,,,,,,
vs Leicester City,3,24.0,25,2,0,3,0,25.2,0.33,+0.2,+0.01,88,226,38.9,631,93,27.3,31.1,149,36.2,32.4,294,25,8.5,29,1.21,14.1,,,,,,,,
vs Liverpool,3,23.0,56,6,0,3,0,55.1,0.33,-0.9,-0.04,120,322,37.3,656,112,35.8,33.7,215,40.5,33.3,386,24,6.2,30,1.30,12.7,,,,,,,,
vs Manchester City,2,24.0,48,1,0,5,1,45.6,0.31,-1.4,-0.06,114,351,32.5,764,88,36.5,33.9,192,37.5,33.5,313,23,7.3,19,0.79,12.4,,,,,,,,
vs Manchester Utd,1,24.0,28,3,0,4,1,28.8,0.26,+1.8,+0.08,83,300,27.7,725,88,31.9,32.1,154,44.8,36.9,294,21,7.1,46,1.92,15.7,,,,,,,,
vs Newcastle Utd,2,24.0,42,2,0,3,1,40.3,0.35,-0.7,-0.03,154,439,35.1,713,112,47.7,37.7,190,52.1,40.0,337,27,8.0,30,1.25,13.4,,,,,,,,
vs Nott'ham Forest,1,24.0,40,3,0,5,1,36.3,0.30,-2.7,-0.11,53,183,29.0,633,110,25.0,29.0,154,16.2,21.5,287,17,5.9,33,1.38,14.8,,,,,,,,
vs Southampton,3,24.0,18,0,0,1,1,19.2,0.25,+2.2,+0.09,74,251,29.5,638,83,32.0,32.9,114,41.2,34.5,293,25,8.5,20,0.83,13.3,,,,,,,,
vs Tottenham,4,24.0,48,0,1,7,3,39.2,0.31,-5.8,-0.24,164,439,37.4,630,99,50.5,39.5,192,63.0,45.8,379,29,7.7,23,0.96,12.3,,,,,,,,
vs West Ham,2,24.0,29,3,1,4,1,28.3,0.28,+0.3,+0.01,114,314,36.3,716,94,36.0,33.8,159,35.2,31.3,283,26,9.2,20,0.83,13.3,,,,,,,,
vs Wolves,2,24.0,34,0,0,3,0,28.4,0.28,-5.6,-0.23,92,258,35.7,688,108,30.2,32.2,155,32.3,30.2,259,18,6.9,33,1.38,15.1,,,,,,,,
