,Playing Time,Performance,Penalty Kicks,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,1,24,24,"2,160",24.0,49,2.04,119,72,60.5,2,8,14,3,12.5,2,2,0,0,0.0,,,,
vs Aston Villa,2,24,24,"2,160",24.0,34,1.42,95,61,66.3,7,7,10,6,25.0,3,2,1,0,33.3,,,,
vs Bournemouth,3,24,24,"2,160",24.0,41,1.71,138,96,74.6,6,7,11,5,20.8,7,6,1,0,14.3,,,,
vs Brentford,2,24,24,"2,160",24.0,42,1.75,117,75,67.5,11,4,9,6,25.0,4,4,0,0,0.0,,,,
vs Brighton,2,24,24,"2,160",24.0,35,1.46,110,76,69.1,6,10,8,4,16.7,1,1,0,0,0.0,,,,
vs Chelsea,2,24,24,"2,160",24.0,47,1.96,136,90,67.6,5,7,12,3,12.5,3,3,0,0,0.0,,,,
vs Crystal Palace,1,24,24,"2,160",24.0,28,1.17,115,88,77.4,8,9,7,6,25.0,2,2,0,0,0.0,,,,
vs Everton,1,23,23,"2,070",23.0,23,1.00,79,59,72.2,9,8,6,12,52.2,1,1,0,0,0.0,,,,
vs Fulham,1,24,24,"2,160",24.0,36,1.50,110,74,70.0,6,9,9,3,12.5,4,3,1,0,25.0,,,,
vs Ipswich Town,2,24,24,"2,160",24.0,22,0.92,78,57,74.4,14,7,3,9,37.5,2,2,0,0,0.0,,,,
vs Leicester City,3,24,24,"2,160",24.0,25,1.04,72,47,68.1,15,5,4,7,29.2,2,2,0,0,0.0,,,,
vs Liverpool,3,23,23,"2,070",23.0,56,2.43,156,100,67.9,1,5,17,1,4.3,6,6,0,0,0.0,,,,
vs Manchester City,2,24,24,"2,160",24.0,48,2.00,143,95,67.1,7,5,12,2,8.3,2,1,1,0,50.0,,,,
vs Manchester Utd,1,24,24,"2,160",24.0,28,1.17,105,78,76.2,11,5,8,9,37.5,3,3,0,0,0.0,,,,
vs Newcastle Utd,2,24,24,"2,160",24.0,42,1.75,109,67,63.3,7,5,12,3,12.5,3,2,1,0,33.3,,,,
vs Nott'ham Forest,1,24,24,"2,160",24.0,40,1.67,113,74,67.3,5,5,14,4,16.7,3,3,0,0,0.0,,,,
vs Southampton,3,24,24,"2,160",24.0,18,0.75,73,54,75.3,19,3,2,10,41.7,2,0,2,0,100.0,,,,
vs Tottenham,4,24,24,"2,160",24.0,48,2.00,126,80,61.9,13,3,8,4,16.7,1,0,1,0,100.0,,,,
vs West Ham,2,24,24,"2,160",24.0,29,1.21,92,64,71.7,11,6,7,5,20.8,3,3,0,0,0.0,,,,
vs Wolves,2,24,24,"2,160",24.0,34,1.42,103,69,67.0,15,4,5,5,20.8,0,0,0,0,,,,,
