,Tackles,Challenges,Blocks,,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,24,23.0,444,273,267,132,45,203,392,51.8,189,237,93,144,151,595,597,15,,,,,
vs Aston Villa,23,22.0,380,216,175,151,54,160,348,46.0,188,241,83,158,205,585,440,17,,,,,
vs Bournemouth,28,23.0,412,244,205,168,39,185,361,51.2,176,246,99,147,161,573,566,29,,,,,
vs Brentford,26,22.0,347,205,144,134,69,163,305,53.4,142,196,56,140,181,528,536,20,,,,,
vs Brighton,30,23.0,464,264,235,172,57,247,456,54.2,209,264,105,159,201,665,524,21,,,,,
vs Chelsea,27,23.0,399,223,198,157,44,216,426,50.7,210,269,108,161,183,582,487,24,,,,,
vs Crystal Palace,25,22.0,349,199,114,178,57,138,257,53.7,119,251,90,161,219,568,440,21,,,,,
vs Everton,24,22.0,438,276,210,169,59,200,387,51.7,187,219,58,161,127,565,455,14,,,,,
vs Fulham,25,22.0,311,190,144,124,43,145,327,44.3,182,251,84,167,215,526,559,11,,,,,
vs Ipswich Town,31,23.0,367,214,160,144,63,157,320,49.1,163,221,60,161,154,521,417,10,,,,,
vs Leicester City,27,22.0,409,253,149,185,75,207,378,54.8,171,209,51,158,167,576,438,16,,,,,
vs Liverpool,24,22.0,374,233,210,126,38,165,348,47.4,183,265,103,162,184,558,591,26,,,,,
vs Manchester City,26,23.0,396,233,244,113,39,166,386,43.0,220,298,108,190,188,584,564,23,,,,,
vs Manchester Utd,25,22.0,398,254,206,151,41,191,353,54.1,162,286,94,192,196,594,455,13,,,,,
vs Newcastle Utd,24,23.0,485,284,206,204,75,181,362,50.0,181,285,99,186,190,675,523,20,,,,,
vs Nott'ham Forest,23,23.0,338,211,152,124,62,144,313,46.0,169,226,77,149,178,516,507,21,,,,,
vs Southampton,31,23.0,419,253,159,187,73,197,376,52.4,179,226,74,152,203,622,432,5,,,,,
vs Tottenham,28,22.0,472,295,232,173,67,230,422,54.5,192,318,83,235,253,725,555,27,,,,,
vs West Ham,26,22.0,438,257,187,180,71,197,405,48.6,208,252,95,157,179,617,447,13,,,,,
vs Wolves,26,23.0,381,236,141,178,62,170,359,47.4,189,241,63,178,192,573,441,21,,,,,
