,Playing Time,Starts,Subs,Team Success,Team Success (xG),Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,24,26.6,23,"2,070",90,100,23.0,253,83,155,97,22,110,0.61,21,44,-23,-1.00,20.4,37.6,-17.2,-0.75,,,,,,
vs Aston Villa,24,27.1,23,"2,070",90,100,23.0,253,80,156,97,18,110,1.09,35,34,+1,+0.04,28.2,33.7,-5.6,-0.24,,,,,,
vs Bournemouth,28,27.1,23,"2,070",90,100,23.0,253,83,161,91,22,116,0.96,26,41,-15,-0.65,28.7,44.0,-15.3,-0.67,,,,,,
vs Brentford,26,27.2,23,"2,070",90,100,23.0,253,84,152,99,18,108,1.48,40,42,-2,-0.09,38.6,36.4,+2.1,+0.09,,,,,,
vs Brighton,30,26.9,23,"2,070",90,100,23.0,253,81,154,97,20,110,1.09,31,35,-4,-0.17,33.1,31.4,+1.6,+0.07,,,,,,
vs Chelsea,27,27.1,23,"2,070",90,100,23.0,253,84,161,90,21,117,0.96,30,45,-15,-0.65,33.0,47.0,-14.0,-0.61,,,,,,
vs Crystal Palace,26,26.7,23,"2,070",90,100,23.0,253,84,160,91,19,116,1.43,30,26,+4,+0.17,31.3,31.2,+0.2,+0.01,,,,,,
vs Everton,24,26.7,22,"1,980",90,100,22.0,242,84,153,88,18,109,1.59,28,19,+9,+0.41,29.7,21.9,+7.8,+0.35,,,,,,
vs Fulham,25,27.1,23,"2,070",90,100,23.0,253,83,153,99,17,107,1.17,31,34,-3,-0.13,26.8,32.4,-5.5,-0.24,,,,,,
vs Ipswich Town,31,27.1,23,"2,070",90,100,23.0,253,83,156,96,18,111,2.00,47,21,+26,+1.13,47.0,20.5,+26.5,+1.15,,,,,,
vs Leicester City,28,26.9,23,"2,070",90,100,23.0,253,83,154,99,19,106,2.04,49,25,+24,+1.04,44.2,23.1,+21.1,+0.92,,,,,,
vs Liverpool,24,26.7,22,"1,980",90,100,22.0,242,82,150,92,22,106,0.36,21,54,-33,-1.50,19.2,51.4,-32.2,-1.46,,,,,,
vs Manchester City,26,26.9,23,"2,070",90,100,23.0,253,85,161,91,18,115,1.00,30,47,-17,-0.74,33.1,43.4,-10.2,-0.45,,,,,,
vs Manchester Utd,25,27.0,23,"2,070",90,100,23.0,253,81,156,96,18,111,1.52,32,28,+4,+0.17,33.9,32.8,+1.1,+0.05,,,,,,
vs Newcastle Utd,24,26.9,23,"2,070",90,100,23.0,253,83,153,99,20,107,1.00,27,41,-14,-0.61,27.8,40.5,-12.7,-0.55,,,,,,
vs Nott'ham Forest,23,26.9,23,"2,070",90,100,23.0,253,82,153,99,18,108,0.87,27,33,-6,-0.26,25.8,28.5,-2.7,-0.12,,,,,,
vs Southampton,31,26.8,23,"2,070",90,100,23.0,253,80,157,95,20,110,2.61,53,16,+37,+1.61,54.0,22.8,+31.3,+1.36,,,,,,
vs Tottenham,28,27.0,23,"2,070",90,100,23.0,253,83,158,94,18,113,1.83,37,46,-9,-0.39,38.5,38.8,-0.4,-0.02,,,,,,
vs West Ham,26,26.9,23,"2,070",90,100,23.0,253,80,153,100,19,107,1.57,44,28,+16,+0.70,39.9,30.7,+9.3,+0.40,,,,,,
vs Wolves,26,26.9,23,"2,070",90,100,23.0,253,83,153,98,19,109,2.13,52,32,+20,+0.87,39.0,24.1,+14.9,+0.65,,,,,,
