,Playing Time,Starts,Subs,Team Success,Team Success (xG),Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,24,26.7,24,"2,160",90,100,24.0,264,83,164,99,22,117,0.58,22,49,-27,-1.13,21.2,38.6,-17.4,-0.73,,,,,,
vs Aston Villa,25,27.1,24,"2,160",90,100,24.0,264,80,163,101,18,115,1.17,37,34,+3,+0.12,29.8,34.2,-4.4,-0.18,,,,,,
vs Bournemouth,28,27.1,24,"2,160",90,100,24.0,264,83,168,95,22,121,1.04,28,41,-13,-0.54,31.2,45.6,-14.4,-0.60,,,,,,
vs Brentford,27,27.1,24,"2,160",90,100,24.0,264,85,160,102,19,114,1.54,42,42,0,0.00,39.4,38.5,+0.9,+0.04,,,,,,
vs Brighton,30,26.9,24,"2,160",90,100,24.0,264,81,160,102,20,114,1.17,38,35,+3,+0.12,36.3,32.3,+4.0,+0.17,,,,,,
vs Chelsea,27,27.1,23,"2,070",90,100,23.0,253,84,161,90,21,117,0.96,30,45,-15,-0.65,33.0,47.0,-14.0,-0.61,,,,,,
vs Crystal Palace,26,26.6,24,"2,160",90,100,24.0,264,84,167,95,19,121,1.38,30,28,+2,+0.08,32.4,33.7,-1.4,-0.06,,,,,,
vs Everton,24,26.8,23,"2,070",90,100,23.0,253,84,160,92,19,114,1.52,28,23,+5,+0.22,30.0,24.4,+5.6,+0.24,,,,,,
vs Fulham,25,27.1,24,"2,160",90,100,24.0,264,83,159,104,17,111,1.13,32,36,-4,-0.17,27.6,33.9,-6.3,-0.26,,,,,,
vs Ipswich Town,31,27.1,24,"2,160",90,100,24.0,264,83,163,101,18,115,2.04,49,22,+27,+1.13,47.9,22.3,+25.6,+1.07,,,,,,
vs Leicester City,28,27.0,24,"2,160",90,100,24.0,264,83,161,103,18,111,2.08,53,25,+28,+1.17,46.6,23.4,+23.2,+0.97,,,,,,
vs Liverpool,24,26.7,23,"2,070",90,100,23.0,253,83,159,94,22,113,0.35,21,56,-35,-1.52,20.8,53.9,-33.1,-1.44,,,,,,
vs Manchester City,26,26.9,24,"2,160",90,100,24.0,264,85,168,95,17,120,1.08,35,48,-13,-0.54,34.1,44.2,-10.0,-0.42,,,,,,
vs Manchester Utd,25,27.0,24,"2,160",90,100,24.0,264,81,163,100,17,116,1.58,34,28,+6,+0.25,36.4,33.8,+2.6,+0.11,,,,,,
vs Newcastle Utd,24,26.9,24,"2,160",90,100,24.0,264,83,160,103,20,112,1.08,29,42,-13,-0.54,29.4,41.3,-11.9,-0.49,,,,,,
vs Nott'ham Forest,23,26.9,24,"2,160",90,100,24.0,264,82,160,103,19,113,0.83,27,40,-13,-0.54,26.7,31.7,-5.0,-0.21,,,,,,
vs Southampton,33,26.7,24,"2,160",90,100,24.0,264,80,164,99,20,115,2.50,54,18,+36,+1.50,55.9,23.7,+32.2,+1.34,,,,,,
vs Tottenham,29,26.9,24,"2,160",90,100,24.0,264,83,166,97,18,119,1.75,37,48,-11,-0.46,40.5,39.7,+0.8,+0.03,,,,,,
vs West Ham,26,26.9,23,"2,070",90,100,23.0,253,80,153,100,19,107,1.57,44,28,+16,+0.70,39.9,30.7,+9.3,+0.40,,,,,,
vs Wolves,26,26.9,24,"2,160",90,100,24.0,264,83,159,103,19,113,2.04,52,34,+18,+0.75,39.4,25.7,+13.7,+0.57,,,,,,
