Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Liverpool,23,17,5,1,56,21,+35,56,2.43,53.9,20.8,+33.1,+1.44,D,"60,289",Mohamed Salah,Alisson,
2,Arsenal,24,14,8,2,49,22,+27,50,2.08,38.6,21.2,+17.4,+0.73,D,"60,276",Kai Havertz,David Raya,
3,Nott'ham Forest,24,14,5,5,40,27,+13,47,1.96,31.7,26.7,+5.0,+0.21,W,"30,056",Chris Wood,Matz Sels,
4,Chelsea,24,12,7,5,47,31,+16,43,1.79,48.6,34.2,+14.4,+0.60,D,"39,608",Cole Palmer,Robert Sánchez,
5,Manchester City,24,12,5,7,48,35,+13,41,1.71,44.2,34.1,+10.0,+0.42,W,"52,944",Erling Haaland,Ederson,
6,Newcastle Utd,24,12,5,7,42,29,+13,41,1.71,41.3,29.4,+11.9,+0.49,W,"52,186",Alexander Isak,Nick Pope,
7,Bournemouth,24,11,7,6,41,28,+13,40,1.67,45.6,31.2,+14.4,+0.60,W,"11,213",Justin Kluivert,Kepa Arrizabalaga,
8,Aston Villa,24,10,7,7,34,37,-3,37,1.54,34.2,29.8,+4.4,+0.18,W,"41,878",Ollie Watkins,Emiliano Martínez,
9,Fulham,24,9,9,6,36,32,+4,36,1.50,33.9,27.6,+6.3,+0.26,D,"26,480",Raúl Jiménez,Bernd Leno,
10,Brighton,24,8,10,6,35,38,-3,34,1.42,32.3,36.3,-4.0,-0.17,D,"32,398",Danny Welbeck,Bart Verbruggen,
11,Brentford,24,9,4,11,42,42,0,31,1.29,38.5,39.4,-0.9,-0.04,W,"19,349",Bryan Mbeumo,Mark Flekken,
12,Crystal Palace,24,7,9,8,28,30,-2,30,1.25,33.7,32.4,+1.4,+0.06,D,"25,137",Jean-Philippe Mateta,Dean Henderson,
13,Manchester Utd,24,8,5,11,28,34,-6,29,1.21,33.8,36.4,-2.6,-0.11,D,"73,720",Amad Diallo,André Onana,
14,Tottenham,24,8,3,13,48,37,+11,27,1.13,39.7,40.5,-0.8,-0.03,L,"61,335",James Maddison,Guglielmo Vicario,
15,West Ham,24,7,6,11,29,46,-17,27,1.13,31.9,41.5,-9.7,-0.40,L,"62,468",Jarrod Bowen,Alphonse Areola,
16,Everton,23,6,8,9,23,28,-5,26,1.13,24.4,30.0,-5.6,-0.24,L,"37,940",Iliman Ndiaye,Jordan Pickford,
17,Wolves,24,5,4,15,34,52,-18,19,0.79,25.7,39.4,-13.7,-0.57,L,"30,711",Matheus Cunha,José Sá,
18,Leicester City,24,4,5,15,25,53,-28,17,0.71,23.4,46.6,-23.2,-0.97,L,"31,556",Jamie Vardy,Mads Hermansen,
19,Ipswich Town,24,3,7,14,22,49,-27,16,0.67,22.3,47.9,-25.6,-1.07,D,"29,756",Liam Delap,Arijanet Muric,
20,Southampton,24,2,3,19,18,54,-36,9,0.38,23.7,55.9,-32.2,-1.34,L,"31,133",Joe Aribo,Aaron Ramsdale,
