,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-022,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-266,2006,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-347,1999,8.6,19,2.20,15,0,0,0,0,4,4,0.46,3,0,0,0,0,1,Matches,,,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-124,1997,8.1,7,0.86,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-025,2002,6.1,20,3.25,15,0,3,2,0,0,3,0.49,2,0,1,0,0,0,Matches,,,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-223,1997,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-120,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-110,1996,22.1,40,1.81,32,5,1,1,0,1,2,0.09,1,0,0,0,0,1,Matches,,,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-234,2001,20.9,42,2.01,28,5,4,3,1,1,7,0.33,5,1,0,0,0,1,Matches,,,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-284,1998,8.0,9,1.13,9,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches,,,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-191,1995,18.0,33,1.84,33,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches,,,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-343,1995,6.7,6,0.90,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-057,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-111,1998,18.5,74,4.00,58,13,1,2,0,0,10,0.54,9,1,0,0,0,0,Matches,,,,,,
15,Alisson,br BRA,GK,Liverpool,32-116,1992,13.9,5,0.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-351,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-094,1997,12.7,21,1.66,18,0,2,1,0,0,1,0.08,1,0,0,0,0,0,Matches,,,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-358,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-192,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-240,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-240,1996,12.7,9,0.72,5,1,0,3,0,0,1,0.08,0,1,0,0,0,0,Matches,,,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-081,2002,16.3,62,3.80,28,16,7,6,2,3,9,0.55,3,3,0,1,1,1,Matches,,,,,,
23,André,br BRA,MF,Wolves,23-194,2001,13.6,23,1.69,18,3,0,0,0,2,2,0.15,1,1,0,0,0,0,Matches,,,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-304,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches,,,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-337,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-166,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-189,2001,11.6,13,1.12,6,0,3,3,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-334,1993,10.1,1,0.10,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-189,1996,15.3,31,2.03,27,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-351,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-007,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-115,1994,16.0,3,0.19,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-018,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-167,1997,2.8,6,2.17,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-112,2003,14.1,40,2.84,20,10,3,3,3,1,4,0.28,3,1,0,0,0,0,Matches,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-137,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-137,1991,11.0,16,1.45,11,4,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-306,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-170,1997,10.3,31,3.02,21,1,5,2,2,0,4,0.39,4,0,0,0,0,0,Matches,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-023,2004,16.9,41,2.43,38,0,1,1,0,1,3,0.18,2,0,0,0,0,1,Matches,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-052,1993,6.2,16,2.60,13,1,2,0,0,0,3,0.49,3,0,0,0,0,0,Matches,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-048,1997,8.7,31,3.55,20,1,3,3,4,0,4,0.46,2,0,1,0,1,0,Matches,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-026,1999,21.0,12,0.57,8,1,2,0,0,1,2,0.10,1,0,0,0,0,1,Matches,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-289,1996,18.8,13,0.69,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-213,1998,9.6,28,2.93,16,1,3,3,3,2,4,0.42,3,0,0,0,0,1,Matches,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-215,1997,7.6,17,2.22,12,0,1,3,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-347,1998,11.6,18,1.55,16,0,0,0,0,2,1,0.09,1,0,0,0,0,0,Matches,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-359,2006,5.2,7,1.33,5,2,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-041,2002,18.5,30,1.62,22,5,1,0,2,0,3,0.16,3,0,0,0,0,0,Matches,,,,,,
50,Beto,gw GNB,FW,Everton,26-361,1998,3.5,5,1.42,1,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-229,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-149,1996,10.8,12,1.12,11,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-021,2004,3.0,9,3.03,7,1,0,0,0,1,1,0.34,1,0,0,0,0,0,Matches,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-358,1991,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
