,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-026,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-270,2006,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-351,1999,8.6,19,2.20,15,0,0,0,0,4,4,0.46,3,0,0,0,0,1,Matches,,,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-128,1997,8.1,7,0.86,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-029,2002,6.1,20,3.25,15,0,3,2,0,0,3,0.49,2,0,1,0,0,0,Matches,,,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-227,1997,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-124,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-114,1996,22.1,40,1.81,32,5,1,1,0,1,2,0.09,1,0,0,0,0,1,Matches,,,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-238,2001,20.9,42,2.01,28,5,4,3,1,1,7,0.33,5,1,0,0,0,1,Matches,,,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-288,1998,8.0,9,1.13,9,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches,,,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-195,1995,18.0,33,1.84,33,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches,,,,,,
