,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-081,1998,8.0,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Lloyd Kelly,engENG,DF,Newcastle Utd,26-129,1998,3.4,2,0.59,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
Milos Kerkez,huHUN,DF,Bournemouth,21-097,2003,23.2,53,2.29,45,3,1,1,1,2,6,0.26,5,0,1,0,0,0,Matches
Bilal El Khannouss,maMAR,MF,Leicester City,20-278,2004,12.2,30,2.47,24,2,3,1,0,0,2,0.16,2,0,0,0,0,0,Matches
Abdukodir Khusanov,uzUZB,DF,Manchester City,20-349,2004,0.6,1,1.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Max Kilman,engENG,DF,West Ham,27-265,1997,23.2,18,0.78,16,0,2,0,0,0,3,0.13,2,0,1,0,0,0,Matches
Joshua King,engENG,"MF,FW",Fulham,18-040,2007,0.9,4,4.50,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Antonín Kinský,czCZE,GK,Tottenham,21-336,2003,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jakub Kiwior,plPOL,DF,Arsenal,24-363,2000,3.6,1,0.28,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-283,1999,17.0,62,3.64,51,1,5,2,2,1,9,0.53,8,0,0,0,1,0,Matches
Ibrahima Konaté,frFRA,DF,Liverpool,25-263,1999,15.5,18,1.16,16,0,0,2,0,0,4,0.26,4,0,0,0,0,0,Matches
Ezri Konsa,engENG,DF,Aston Villa,27-112,1997,21.1,16,0.76,12,2,1,1,0,0,3,0.14,3,0,0,0,0,0,Matches
Mateo Kovačić,hrCRO,MF,Manchester City,30-282,1994,17.2,52,3.03,42,0,3,4,2,1,5,0.29,3,0,1,1,0,0,Matches
Caleb Kporha,engENG,DF,Crystal Palace,18-212,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
