,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
Wilson Odobert,frFRA,FW,Tottenham,20-076,2004,1.8,4,2.24,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-287,1997,2.6,3,1.13,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Caleb Okoli,itITA,DF,Leicester City,23-214,2001,9.2,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robin Olsen,seSWE,GK,Aston Villa,35-035,1990,0.5,1,2.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Amadou Onana,beBEL,MF,Aston Villa,23-180,2001,12.0,17,1.42,12,1,0,4,0,0,2,0.17,1,0,0,1,0,0,Matches
André Onana,cmCMR,GK,Manchester Utd,28-316,1996,24.0,4,0.17,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paul Onuachu,ngNGA,FW,Southampton,30-260,1994,6.0,6,0.99,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Frank Onyeka,ngNGA,MF,Brentford,27-042,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lewis Orford,engENG,MF,West Ham,18-360,2006,0.5,2,3.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Stefan Ortega,deGER,GK,Manchester City,32-098,1992,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
William Osula,dkDEN,"FW,MF",Newcastle Utd,21-192,2003,0.5,1,1.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dango Ouattara,bfBFA,FW,Bournemouth,23-001,2002,13.8,43,3.12,36,0,1,5,0,1,6,0.44,4,0,1,1,0,0,Matches
Nico O’Reilly,engENG,MF,Manchester City,19-328,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cole Palmer,engENG,MF,Chelsea,22-282,2002,23.3,137,5.88,89,19,9,12,6,2,11,0.47,7,0,2,1,1,0,Matches
Emerson Palmieri,itITA,DF,West Ham,30-193,1994,18.1,32,1.77,19,10,0,2,1,0,1,0.06,0,1,0,0,0,0,Matches
Lucas Paquetá,brBRA,"MF,FW",West Ham,27-169,1997,17.9,54,3.02,44,2,1,3,4,0,5,0.28,2,0,0,2,1,0,Matches
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-244,1993,20.6,39,1.89,31,2,0,2,1,3,12,0.58,7,2,0,1,1,1,Matches
Nathan Patterson,sctSCO,"DF,FW",Everton,23-119,2001,1.4,6,4.19,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andreas Pereira,brBRA,MF,Fulham,29-042,1996,14.2,73,5.16,39,29,0,2,3,0,5,0.35,1,2,0,0,2,0,Matches
Ricardo Pereira,ptPOR,DF,Leicester City,31-129,1993,1.6,2,1.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kalvin Phillips,engENG,MF,Ipswich Town,29-072,1995,9.6,12,1.26,10,1,0,1,0,0,2,0.21,2,0,0,0,0,0,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-004,2002,3.7,5,1.36,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Ipswich Town,23-004,2002,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Pickford,engENG,GK,Everton,30-342,1994,23.0,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Ethan Pinnock,jmJAM,DF,Brentford,31-259,1993,16.0,19,1.19,12,4,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Podence,ptPOR,"MF,FW",Wolves,29-114,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alfie Pond,engENG,DF,Wolves,20-348,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nick Pope,engENG,GK,Newcastle Utd,32-299,1992,15.0,3,0.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Porro,esESP,DF,Tottenham,25-152,1999,22.1,74,3.35,52,11,3,5,3,0,7,0.32,3,3,1,0,0,0,Matches
Jarell Quansah,engENG,DF,Liverpool,22-014,2003,2.5,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-122,2001,1.6,2,1.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Ramsdale,engENG,GK,Southampton,26-274,1998,16.0,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-260,2001,11.1,36,3.24,26,0,4,1,5,0,5,0.45,5,0,0,0,0,0,Matches
Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-104,1997,10.9,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0,Matches
David Raya,esESP,GK,Arsenal,29-150,1995,24.0,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harrison Reed,engENG,MF,Fulham,30-016,1995,0.7,1,1.48,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Remy Rees-Dottin,engENG,FW,Bournemouth,18-343,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sergio Reguilón,esESP,DF,Tottenham,28-058,1996,1.4,1,0.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-010,1993,4.9,11,2.23,7,0,0,2,2,0,3,0.61,1,0,0,1,1,0,Matches
Chadi Riad,maMAR,DF,Crystal Palace,21-240,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Declan Rice,engENG,MF,Arsenal,26-029,1999,19.3,69,3.57,37,21,3,2,5,1,7,0.36,4,2,0,1,0,0,Matches
Chris Richards,usUSA,DF,Crystal Palace,24-321,2000,10.9,3,0.28,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Richarlison,brBRA,FW,Tottenham,27-278,1997,3.1,8,2.57,5,0,0,2,1,0,1,0.32,1,0,0,0,0,0,Matches
Andrew Robertson,sctSCO,DF,Liverpool,30-338,1994,18.3,56,3.05,46,9,0,0,0,1,2,0.11,2,0,0,0,0,0,Matches
Antonee Robinson,usUSA,DF,Fulham,27-188,1997,24.0,64,2.67,59,1,1,2,0,1,11,0.46,11,0,0,0,0,0,Matches
Rodri,esESP,MF,Manchester City,28-235,1996,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Guido Rodríguez,arARG,MF,West Ham,30-306,1994,11.3,10,0.88,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Mads Roerslev,dkDEN,DF,Brentford,25-233,1999,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0,Matches
Morgan Rogers,engENG,"MF,FW",Aston Villa,22-201,2002,21.1,67,3.18,50,0,7,7,3,0,9,0.43,7,0,1,0,1,0,Matches
Cristian Romero,arARG,DF,Tottenham,26-291,1998,10.8,16,1.48,13,0,0,3,0,0,2,0.18,2,0,0,0,0,0,Matches
Georginio Rutter,frFRA,"FW,MF",Brighton,22-298,2002,14.1,48,3.40,26,0,6,7,7,2,4,0.28,2,0,1,1,0,0,Matches
José Sá,ptPOR,GK,Wolves,32-026,1993,17.0,4,0.24,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bukayo Saka,engENG,"FW,MF",Arsenal,23-160,2001,14.1,89,6.32,52,17,9,8,3,0,21,1.49,12,5,2,1,1,0,Matches
Mohamed Salah,egEGY,FW,Liverpool,32-242,1992,22.5,109,4.83,77,1,15,10,4,2,16,0.71,13,0,2,1,0,0,Matches
William Saliba,frFRA,DF,Arsenal,23-325,2001,21.3,17,0.80,16,0,0,0,0,1,1,0.05,1,0,0,0,0,0,Matches
Robert Sánchez,esESP,GK,Chelsea,27-086,1997,21.0,4,0.19,3,1,0,0,0,0,2,0.10,1,1,0,0,0,0,Matches
Jadon Sancho,engENG,FW,Chelsea,24-324,2000,12.4,45,3.64,41,0,2,0,2,0,9,0.73,8,0,0,0,1,0,Matches
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-072,1997,2.5,4,1.63,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Sarabia,esESP,"MF,FW",Wolves,32-277,1992,4.7,13,2.74,9,3,1,0,0,0,2,0.42,1,0,1,0,0,0,Matches
Jeremy Sarmiento,ecECU,MF,Brighton,22-241,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,26-353,1998,17.7,69,3.90,49,0,5,5,10,0,8,0.45,5,0,1,0,2,0,Matches
Sávio,brBRA,"FW,MF",Manchester City,20-308,2004,13.0,78,6.00,53,2,12,4,6,1,12,0.92,7,0,2,1,1,1,Matches
Oliver Scarles,engENG,DF,West Ham,19-062,2005,1.3,1,0.77,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dane Scarlett,engENG,FW,Tottenham,20-325,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Schade,deGER,FW,Brentford,23-077,2001,12.9,27,2.09,17,0,3,3,3,1,6,0.46,4,0,0,2,0,0,Matches
Fabian Schär,chSUI,DF,Newcastle Utd,33-054,1991,18.8,18,0.96,13,0,1,0,2,2,2,0.11,2,0,0,0,0,0,Matches
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-051,1992,1.1,7,6.06,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Scott,engENG,MF,Bournemouth,21-175,2003,2.9,11,3.75,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
Matz Sels,beBEL,GK,Nott'ham Forest,32-352,1992,24.0,4,0.17,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nélson Semedo,ptPOR,DF,Wolves,31-088,1993,18.9,36,1.91,27,1,4,0,2,2,5,0.27,5,0,0,0,0,0,Matches
Antoine Semenyo,ghGHA,FW,Bournemouth,25-036,2000,22.4,81,3.62,53,1,12,10,4,1,8,0.36,5,0,1,0,2,0,Matches
Marcos Senesi,arARG,DF,Bournemouth,27-278,1997,10.2,16,1.57,16,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Ryan Sessegnon,engENG,"MF,FW",Fulham,24-270,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luke Shaw,engENG,DF,Manchester Utd,29-215,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-218,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-186,1994,21.3,69,3.24,63,1,4,0,1,0,7,0.33,7,0,0,0,0,0,Matches
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-195,1999,7.9,27,3.43,20,0,1,3,3,0,3,0.38,2,0,0,0,1,0,Matches
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-285,2006,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-100,2005,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-240,1999,2.3,13,5.57,10,0,1,2,0,0,1,0.43,1,0,0,0,0,0,Matches
Oliver Skipp,engENG,MF,Leicester City,24-149,2000,8.5,10,1.18,8,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
William Smallbone,ieIRL,MF,Southampton,24-357,2000,3.6,9,2.52,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Adam Smith,engENG,DF,Bournemouth,33-289,1991,11.5,12,1.04,8,1,1,0,1,1,1,0.09,0,0,0,0,1,0,Matches
Emile Smith Rowe,engENG,MF,Fulham,24-199,2000,15.9,55,3.45,42,0,3,6,1,3,11,0.69,9,0,1,0,0,1,Matches
Dominic Solanke,engENG,FW,Tottenham,27-151,1997,17.8,33,1.86,22,0,0,8,2,1,7,0.39,5,0,0,1,1,0,Matches
Carlos Soler,esESP,"MF,FW",West Ham,28-041,1997,11.0,40,3.64,24,7,2,4,2,1,2,0.18,2,0,0,0,0,0,Matches
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-165,1999,2.7,12,4.46,9,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Tomáš Souček,czCZE,MF,West Ham,29-351,1995,18.9,38,2.01,30,0,0,5,2,1,3,0.16,2,0,0,0,1,0,Matches
Boubakary Soumaré,frFRA,MF,Leicester City,25-351,1999,13.3,25,1.88,19,0,3,1,2,0,3,0.23,3,0,0,0,0,0,Matches
Djed Spence,engENG,DF,Tottenham,24-187,2000,7.6,12,1.59,9,0,2,1,0,0,3,0.40,2,0,1,0,0,0,Matches
Jay Stansfield,engENG,MF,Fulham,22-080,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jason Steele,engENG,GK,Brighton,34-178,1990,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jack Stephens,engENG,DF,Southampton,31-016,1994,8.9,10,1.12,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Raheem Sterling,engENG,"FW,MF",Arsenal,30-066,1994,2.4,9,3.72,6,0,2,1,0,0,1,0.41,1,0,0,0,0,0,Matches
Ross Stewart,sctSCO,"FW,MF",Southampton,28-216,1996,1.5,2,1.36,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jakub Stolarczyk,plPOL,GK,Leicester City,24-055,2000,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
John Stones,engENG,"DF,MF",Manchester City,30-260,1994,5.1,8,1.57,8,0,0,0,0,0,2,0.39,2,0,0,0,0,0,Matches
Jørgen Strand Larsen,noNOR,FW,Wolves,25-006,2000,20.4,26,1.28,21,1,0,2,2,0,3,0.15,3,0,0,0,0,0,Matches
Yukinari Sugawara,jpJPN,DF,Southampton,24-229,2000,13.0,36,2.78,28,5,1,2,0,0,1,0.08,1,0,0,0,0,0,Matches
Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,22-363,2002,3.4,10,2.94,3,1,5,1,0,0,2,0.59,0,0,1,1,0,0,Matches
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-105,2001,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-141,1995,10.9,9,0.83,7,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Dominik Szoboszlai,huHUN,MF,Liverpool,24-110,2000,16.2,78,4.82,61,4,3,8,1,1,11,0.68,8,0,0,3,0,0,Matches
Matt Targett,engENG,DF,Newcastle Utd,29-147,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Tarkowski,engENG,DF,Everton,32-085,1992,22.9,29,1.27,24,2,0,3,0,0,3,0.13,3,0,0,0,0,0,Matches
Marcus Tavernier,engENG,"FW,MF",Bournemouth,25-327,1999,13.1,66,5.05,45,10,3,4,4,0,10,0.77,5,3,0,1,1,0,Matches
Charlie Taylor,engENG,DF,Southampton,31-147,1993,3.0,2,0.68,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
Jack Taylor,ieIRL,MF,Ipswich Town,26-234,1998,4.6,17,3.66,12,1,1,2,0,1,1,0.22,1,0,0,0,0,0,Matches
Kenny Tete,nlNED,DF,Fulham,29-126,1995,14.0,23,1.64,16,0,2,3,2,0,3,0.21,3,0,0,0,0,0,Matches
Thiago,brBRA,FW,Brentford,23-231,2001,1.5,2,1.36,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Luke Thomas,engENG,DF,Leicester City,23-247,2001,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Youri Tielemans,beBEL,MF,Aston Villa,27-281,1997,22.7,78,3.44,46,26,2,2,1,1,7,0.31,4,3,0,0,0,0,Matches
Kieran Tierney,sctSCO,"FW,DF",Arsenal,27-252,1997,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jurriën Timber,nlNED,DF,Arsenal,23-240,2001,19.5,39,2.00,34,1,2,0,1,1,4,0.21,4,0,0,0,0,0,Matches
Jean-Clair Todibo,frFRA,DF,West Ham,25-044,1999,9.6,4,0.42,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Harry Toffolo,engENG,DF,Nott'ham Forest,29-177,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-099,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sandro Tonali,itITA,MF,Newcastle Utd,24-280,2000,16.2,39,2.40,26,1,2,3,4,3,5,0.31,5,0,0,0,0,0,Matches
Pau Torres,esESP,DF,Aston Villa,28-027,1997,17.2,11,0.64,8,0,0,3,0,0,2,0.12,1,0,0,1,0,0,Matches
Conor Townsend,engENG,"DF,MF",Ipswich Town,31-345,1993,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Adama Traoré,esESP,FW,Fulham,29-018,1996,12.6,53,4.21,43,0,5,3,0,2,4,0.32,4,0,0,0,0,0,Matches
Mark Travers,ieIRL,GK,Bournemouth,25-270,1999,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Trevitt,engENG,MF,Brentford,21-337,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kieran Trippier,engENG,DF,Newcastle Utd,34-146,1990,6.0,21,3.49,13,7,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Leandro Trossard,beBEL,FW,Arsenal,30-070,1994,16.1,56,3.48,45,1,3,4,2,1,5,0.31,5,0,0,0,0,0,Matches
Kostas Tsimikas,grGRE,DF,Liverpool,28-276,1996,3.8,13,3.40,8,5,0,0,0,0,2,0.52,1,1,0,0,0,0,Matches
Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-090,1997,10.9,8,0.74,6,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Destiny Udogie,itITA,DF,Tottenham,22-076,2002,15.9,28,1.76,25,0,0,1,0,2,3,0.19,2,0,0,0,0,1,Matches
Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,23-307,2001,12.0,20,1.67,15,0,0,1,2,2,0,0.00,0,0,0,0,0,0,Matches
Lesley Ugochukwu,frFRA,MF,Southampton,20-323,2004,8.3,12,1.45,8,0,1,1,2,0,1,0.12,0,0,0,1,0,0,Matches
Enes Ünal,trTUR,"FW,MF",Bournemouth,27-278,1997,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0,Matches
Virgil van Dijk,nlNED,DF,Liverpool,33-219,1991,23.0,27,1.17,22,0,1,1,1,2,4,0.17,4,0,0,0,0,0,Matches
Jamie Vardy,engENG,FW,Leicester City,38-032,1987,19.7,29,1.47,21,0,3,2,3,0,9,0.46,4,0,2,1,2,0,Matches
Renato Veiga,ptPOR,"DF,MF",Chelsea,21-198,2003,2.0,1,0.49,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Joël Veltman,nlNED,DF,Brighton,33-028,1992,17.3,22,1.27,15,2,2,1,2,0,1,0.06,0,1,0,0,0,0,Matches
Micky van de Ven,nlNED,DF,Tottenham,23-299,2001,8.8,9,1.03,6,0,0,2,1,0,2,0.23,2,0,0,0,0,0,Matches
Bart Verbruggen,nlNED,GK,Brighton,22-178,2002,22.0,2,0.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jannik Vestergaard,dkDEN,DF,Leicester City,32-193,1992,14.0,6,0.43,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Guglielmo Vicario,itITA,GK,Tottenham,28-128,1996,12.0,3,0.25,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Vinícius,brBRA,MF,Fulham,29-324,1995,0.0,1,22.50,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kyle Walker,engENG,DF,Manchester City,34-260,1990,10.8,17,1.58,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kyle Walker-Peters,engENG,DF,Southampton,27-305,1997,21.8,40,1.84,25,2,6,3,2,2,6,0.28,5,0,1,0,0,0,Matches
Christian Walton,engENG,GK,Ipswich Town,29-095,1995,6.0,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,engENG,DF,West Ham,27-078,1997,22.0,60,2.72,48,3,5,2,0,2,4,0.18,3,0,0,1,0,0,Matches
Danny Ward,wlsWAL,GK,Leicester City,31-235,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Ward-Prowse,engENG,MF,West Ham,30-103,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Ward-Prowse,engENG,MF,Nott'ham Forest,30-103,1994,4.4,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0,Matches
Ollie Watkins,engENG,FW,Aston Villa,29-044,1995,18.2,39,2.14,25,0,3,6,5,0,8,0.44,4,0,1,1,2,0,Matches
Adam Webster,engENG,DF,Brighton,30-039,1995,1.9,1,0.54,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Danny Welbeck,engENG,FW,Brighton,34-078,1990,15.1,34,2.26,23,1,3,1,6,0,4,0.27,4,0,0,0,0,0,Matches
Welington,brBRA,DF,Southampton,23-359,2001,0.9,3,3.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Timo Werner,deGER,"FW,MF",Tottenham,28-343,1996,5.6,18,3.18,14,0,2,1,1,0,3,0.53,3,0,0,0,0,0,Matches
Adam Wharton,engENG,MF,Crystal Palace,20-255,2004,6.9,26,3.75,20,4,0,1,0,1,1,0.14,1,0,0,0,0,0,Matches
Ben White,engENG,DF,Arsenal,27-127,1997,7.7,8,1.04,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Mats Wieffer,nlNED,MF,Brighton,25-088,1999,5.2,13,2.48,13,0,0,0,0,0,2,0.38,2,0,0,0,0,0,Matches
Neco Williams,wlsWAL,DF,Nott'ham Forest,23-305,2001,14.8,25,1.69,18,2,0,4,1,0,3,0.20,2,1,0,0,0,0,Matches
Joe Willock,engENG,"MF,FW",Newcastle Utd,25-176,1999,6.9,29,4.18,24,0,2,2,1,0,2,0.29,2,0,0,0,0,0,Matches
Callum Wilson,engENG,"FW,MF",Newcastle Utd,32-351,1992,0.7,1,1.48,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Harry Wilson,wlsWAL,"FW,MF",Fulham,27-327,1997,9.3,30,3.22,21,6,0,1,2,0,3,0.32,2,0,0,0,1,0,Matches
Harry Winks,engENG,MF,Leicester City,29-010,1996,16.2,35,2.16,27,7,0,1,0,0,3,0.19,2,1,0,0,0,0,Matches
Ben Winterburn,engENG,MF,Bournemouth,20-161,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yoane Wissa,cdCOD,FW,Brentford,28-162,1996,18.5,40,2.17,27,0,3,4,5,1,6,0.33,6,0,0,0,0,0,Matches
Chris Wood,nzNZL,FW,Nott'ham Forest,33-067,1991,21.3,29,1.36,22,0,2,3,0,2,4,0.19,3,0,0,0,0,1,Matches
Nathan Wood-Gordon,engENG,DF,Southampton,22-257,2002,6.4,3,0.47,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luke Woolfenden,engENG,DF,Ipswich Town,26-114,1998,8.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yehor Yarmoliuk,uaUKR,"MF,FW",Brentford,20-348,2004,6.9,11,1.59,10,0,1,0,0,0,2,0.29,2,0,0,0,0,0,Matches
Ryan Yates,engENG,MF,Nott'ham Forest,27-083,1997,16.2,28,1.73,20,0,0,6,1,1,2,0.12,1,0,0,1,0,0,Matches
Leny Yoro,frFRA,DF,Manchester Utd,19-091,2005,6.1,3,0.50,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Ashley Young,engENG,DF,Everton,39-218,1985,16.5,34,2.06,26,6,0,0,1,1,5,0.30,4,0,0,0,0,1,Matches
Illia Zabarnyi,uaUKR,DF,Bournemouth,22-164,2002,24.0,26,1.08,23,1,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-059,1996,2.7,6,2.22,5,0,0,1,0,0,1,0.37,1,0,0,0,0,0,Matches
Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-266,2001,9.8,24,2.45,22,0,0,1,1,0,3,0.31,1,0,0,1,1,0,Matches
Martin Ødegaard,noNOR,MF,Arsenal,26-057,1998,14.3,66,4.64,56,6,2,2,0,0,9,0.63,9,0,0,0,0,0,Matches
