,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-183,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-206,2001,11.6,13,1.12,6,0,3,3,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-351,1993,12.1,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-206,1996,16.3,31,1.91,27,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-002,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-024,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-132,1994,17.0,3,0.18,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-035,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-184,1997,2.9,8,2.79,5,0,1,1,1,0,1,0.35,0,0,0,1,0,0,Matches,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-129,2003,14.1,40,2.84,20,10,3,3,3,1,4,0.28,3,1,0,0,0,0,Matches,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-154,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-154,1991,13.0,25,1.92,15,6,1,2,0,1,1,0.08,1,0,0,0,0,0,Matches,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-323,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-187,1997,11.5,36,3.14,23,1,6,3,3,0,4,0.35,4,0,0,0,0,0,Matches,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-040,2004,16.9,41,2.43,38,0,1,1,0,1,3,0.18,2,0,0,0,0,1,Matches,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-069,1993,6.2,16,2.60,13,1,2,0,0,0,3,0.49,3,0,0,0,0,0,Matches,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-065,1997,8.7,31,3.55,20,1,3,3,4,0,4,0.46,2,0,1,0,1,0,Matches,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-043,1999,23.0,14,0.61,10,1,2,0,0,1,2,0.09,1,0,0,0,0,1,Matches,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-306,1996,19.8,14,0.71,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-230,1998,10.5,31,2.95,18,1,3,3,4,2,4,0.38,3,0,0,0,0,1,Matches,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-232,1997,9.6,23,2.38,18,0,1,3,0,1,1,0.10,1,0,0,0,0,0,Matches,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-364,1998,13.6,24,1.76,22,0,0,0,0,2,1,0.07,1,0,0,0,0,0,Matches,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,19-010,2006,6.7,9,1.33,7,2,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-058,2002,20.5,32,1.56,24,5,1,0,2,0,3,0.15,3,0,0,0,0,0,Matches,,,,,,
50,Beto,gw GNB,FW,Everton,27-012,1998,4.5,5,1.11,1,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-246,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-166,1996,11.5,13,1.13,12,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-038,2004,3.9,9,2.32,7,1,0,0,0,1,1,0.26,1,0,0,0,0,0,Matches,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,34-009,1991,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-031,2000,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-054,1996,19.4,82,4.23,48,12,5,10,5,2,9,0.46,5,2,1,1,0,0,Matches,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-218,2003,2.9,7,2.41,4,0,2,0,1,0,1,0.34,1,0,0,0,0,0,Matches,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-230,2002,14.1,11,0.78,10,0,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-124,1997,7.4,12,1.63,9,2,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-300,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
61,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-313,1998,4.2,12,2.85,10,0,2,0,0,0,1,0.24,1,0,0,0,0,0,Matches,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-155,2001,1.8,4,2.26,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
