,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
154,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-228,1998,17.9,85,4.75,45,20,6,8,6,0,7,0.39,6,1,0,0,0,0,Matches,,,,,,
155,Łukasz Fabiański,pl POL,GK,West Ham,39-300,1985,11.9,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
156,Wout Faes,be BEL,DF,Leicester City,26-315,1998,18.3,7,0.38,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
157,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-341,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches,,,,,,
158,João Félix,pt POR,"FW,MF",Chelsea,25-094,1999,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0,Matches,,,,,,
159,Evan Ferguson,ie IRL,FW,Brighton,20-116,2004,2.7,4,1.47,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
160,Bruno Fernandes,pt POR,MF,Manchester Utd,30-157,1994,21.4,109,5.10,78,17,3,4,6,1,8,0.37,7,1,0,0,0,0,Matches,,,,,,
161,Mateus Fernandes,pt POR,MF,Southampton,20-217,2004,19.3,48,2.48,28,11,3,4,1,1,5,0.26,3,1,0,0,0,1,Matches,,,,,,
162,Enzo Fernández,ar ARG,MF,Chelsea,24-026,2001,18.8,87,4.63,68,9,1,3,1,5,12,0.64,9,2,0,1,0,0,Matches,,,,,,
163,Mark Flekken,nl NED,GK,Brentford,31-244,1993,22.4,4,0.18,1,3,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches,,,,,,
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-260,2000,15.2,70,4.62,46,15,2,5,2,0,8,0.53,4,1,0,3,0,0,Matches,,,,,,
165,Wesley Fofana,fr FRA,DF,Chelsea,24-057,2000,11.3,11,0.98,9,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
166,Carlos Forbs,pt POR,"MF,FW",Wolves,20-330,2004,2.6,5,1.91,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Matches,,,,,,
167,Fraser Forster,eng ENG,GK,Tottenham,36-332,1988,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
168,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-354,1994,3.4,5,1.47,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
169,Niclas Füllkrug,de GER,FW,West Ham,32-003,1993,4.1,11,2.67,10,0,0,1,0,0,1,0.24,0,0,0,1,0,0,Matches,,,,,,
170,Cody Gakpo,nl NED,FW,Liverpool,25-281,1999,14.5,59,4.08,45,0,6,4,3,1,6,0.42,3,0,2,0,1,0,Matches,,,,,,
171,Idrissa Gana Gueye,sn SEN,MF,Everton,35-139,1989,19.5,36,1.84,31,0,0,2,2,1,2,0.10,2,0,0,0,0,0,Matches,,,,,,
172,Andrés García,es ESP,DF,Aston Villa,22-005,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
173,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-226,2004,14.7,42,2.86,32,1,3,4,2,0,2,0.14,1,0,0,1,0,0,Matches,,,,,,
174,James Garner,eng ENG,"DF,MF",Everton,23-336,2001,3.9,10,2.59,6,4,0,0,0,0,3,0.78,2,1,0,0,0,0,Matches,,,,,,
175,Tyrique George,eng ENG,FW,Chelsea,19-008,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
176,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-016,2000,17.4,70,4.01,58,0,2,5,4,1,11,0.63,8,0,0,2,1,0,Matches,,,,,,
177,Billy Gilmour,sct SCO,MF,Brighton,23-246,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
178,Ben Godfrey,eng ENG,DF,Ipswich Town,27-028,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
179,Martial Godo,eng ENG,FW,Fulham,21-335,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
180,João Gomes,br BRA,MF,Wolves,24-000,2001,20.6,35,1.70,31,1,2,0,0,1,2,0.10,2,0,0,0,0,0,Matches,,,,,,
181,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-220,2003,6.3,14,2.22,12,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
182,Toti Gomes,pt POR,DF,Wolves,26-027,1999,15.0,10,0.66,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
183,Diego Gómez,py PAR,MF,Brighton,21-322,2003,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
184,Joe Gomez,eng ENG,DF,Liverpool,27-265,1997,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches,,,,,,
185,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-354,2001,20.6,92,4.46,66,10,7,3,6,0,11,0.53,8,1,1,0,1,0,Matches,,,,,,
186,Ryan Gravenberch,nl NED,MF,Liverpool,22-272,2002,22.1,47,2.13,42,0,2,2,0,1,6,0.27,6,0,0,0,0,0,Matches,,,,,,
187,Archie Gray,eng ENG,DF,Tottenham,18-337,2006,10.7,2,0.19,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
188,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-155,1995,6.8,40,5.91,35,1,3,0,0,1,2,0.30,1,0,0,0,0,1,Matches,,,,,,
189,Jacob Greaves,eng ENG,DF,Ipswich Town,24-153,2000,14.0,7,0.50,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
190,Brajan Gruda,de GER,"FW,MF",Brighton,20-257,2004,4.1,16,3.91,12,1,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
191,Albert Grønbaek,dk DEN,MF,Southampton,23-265,2001,0.8,1,1.30,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
192,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-075,1996,7.7,20,2.59,18,0,1,0,1,0,8,1.04,7,0,1,0,0,0,Matches,,,,,,
193,Marc Guéhi,eng ENG,DF,Crystal Palace,24-214,2000,23.0,21,0.91,16,0,0,3,2,0,2,0.09,2,0,0,0,0,0,Matches,,,,,,
194,Luis Guilherme,br BRA,"MF,FW",West Ham,19-003,2006,0.6,6,10.00,3,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
195,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-088,1997,23.2,85,3.67,76,2,2,0,3,2,14,0.60,13,1,0,0,0,0,Matches,,,,,,
196,Marc Guiu,es ESP,FW,Chelsea,19-039,2006,0.8,1,1.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
197,İlkay Gündoğan,de GER,MF,Manchester City,34-111,1990,14.9,46,3.08,39,3,3,1,0,0,4,0.27,4,0,0,0,0,0,Matches,,,,,,
198,Malo Gusto,fr FRA,DF,Chelsea,21-269,2003,14.5,37,2.56,36,0,0,1,0,0,3,0.21,3,0,0,0,0,0,Matches,,,,,,
199,Joško Gvardiol,hr CRO,DF,Manchester City,23-020,2002,22.5,51,2.27,48,0,2,1,0,0,5,0.22,4,0,1,0,0,0,Matches,,,,,,
200,Erling Haaland,no NOR,FW,Manchester City,24-206,2000,23.6,56,2.37,37,0,8,10,1,0,6,0.25,3,0,2,1,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
201,Lewis Hall,eng ENG,DF,Newcastle Utd,20-157,2004,21.3,57,2.67,40,16,0,0,1,0,4,0.19,3,1,0,0,0,0,Matches,,,,,,
202,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-348,2002,1.5,8,5.37,4,0,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
203,Marcus Harness,eng ENG,MF,Ipswich Town,28-354,1996,0.5,2,4.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
204,Jack Harrison,eng ENG,FW,Everton,28-084,1996,11.1,23,2.07,17,2,1,1,2,0,2,0.18,1,0,0,0,1,0,Matches,,,,,,
205,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-013,2002,21.1,29,1.38,24,0,0,3,1,1,2,0.09,1,0,0,1,0,0,Matches,,,,,,
206,Kai Havertz,de GER,"FW,MF",Arsenal,25-246,1999,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Matches,,,,,,
207,Jan Paul van Hecke,nl NED,DF,Brighton,24-249,2000,20.9,41,1.96,37,1,0,3,0,0,3,0.14,3,0,0,0,0,0,Matches,,,,,,
208,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-017,1996,6.9,9,1.30,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches,,,,,,
209,Dean Henderson,eng ENG,GK,Crystal Palace,27-337,1997,24.0,2,0.08,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
210,Rico Henry,eng ENG,DF,Brentford,27-219,1997,0.0,1,22.50,1,0,0,0,0,0,1,22.50,1,0,0,0,0,0,Matches,,,,,,
211,Mads Hermansen,dk DEN,GK,Leicester City,24-216,2000,16.5,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
212,Son Heung-min,kr KOR,FW,Tottenham,32-219,1992,17.6,88,5.00,68,5,10,2,3,0,11,0.62,11,0,0,0,0,0,Matches,,,,,,
213,James Hill,eng ENG,"DF,MF",Bournemouth,23-033,2002,2.0,6,3.03,3,2,0,0,0,1,1,0.51,1,0,0,0,0,0,Matches,,,,,,
214,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-307,2005,10.0,21,2.10,15,4,0,1,1,0,2,0.20,2,0,0,0,0,0,Matches,,,,,,
215,George Hirst,eng ENG,FW,Ipswich Town,25-363,1999,2.4,6,2.47,5,0,0,1,0,0,2,0.82,1,0,0,1,0,0,Matches,,,,,,
216,Mason Holgate,eng ENG,"FW,DF",Everton,28-113,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
217,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-097,2000,16.9,73,4.31,55,3,9,3,3,0,10,0.59,6,0,2,0,2,0,Matches,,,,,,
218,Will Hughes,eng ENG,MF,Crystal Palace,29-301,1995,15.7,52,3.32,33,12,1,2,4,0,6,0.38,2,3,0,1,0,0,Matches,,,,,,
219,Dean Huijsen,es ESP,DF,Bournemouth,19-304,2005,13.8,25,1.81,22,1,0,1,1,0,2,0.14,2,0,0,0,0,0,Matches,,,,,,
220,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-105,2003,20.7,52,2.51,37,0,8,3,2,2,4,0.19,4,0,0,0,0,0,Matches,,,,,,
221,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-008,2003,12.3,21,1.70,14,0,2,2,3,0,1,0.08,0,0,0,0,1,0,Matches,,,,,,
222,Igor,br BRA,DF,Brighton,27-005,1998,10.0,11,1.10,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
223,Danny Ings,eng ENG,"FW,MF",West Ham,32-204,1992,3.1,12,3.90,7,0,1,3,1,0,2,0.65,0,0,0,1,1,0,Matches,,,,,,
224,Tim Iroegbunam,eng ENG,MF,Everton,21-227,2003,4.4,9,2.07,5,0,1,0,1,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
225,Andy Irving,sct SCO,MF,West Ham,24-275,2000,1.8,5,2.69,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
226,Alexander Isak,se SWE,FW,Newcastle Utd,25-144,1999,20.0,73,3.65,55,1,8,5,2,2,11,0.55,8,0,1,0,1,1,Matches,,,,,,
227,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-285,1996,22.4,98,4.37,84,0,7,5,2,0,12,0.54,10,0,2,0,0,0,Matches,,,,,,
228,Nicolas Jackson,sn SEN,FW,Chelsea,23-237,2001,19.3,62,3.22,37,0,9,7,8,1,10,0.52,7,0,2,1,0,0,Matches,,,,,,
229,Reece James,eng ENG,DF,Chelsea,25-066,1999,5.4,10,1.86,7,2,0,1,0,0,1,0.19,0,0,0,1,0,0,Matches,,,,,,
230,Vitaly Janelt,de GER,MF,Brentford,26-278,1998,19.1,24,1.26,23,1,0,0,0,0,3,0.16,3,0,0,0,0,0,Matches,,,,,,
231,Vitezslav Jaros,cz CZE,GK,Liverpool,23-204,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
232,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-183,2003,0.7,5,7.63,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
233,Mathias Jensen,dk DEN,MF,Brentford,29-042,1996,7.8,32,4.09,23,8,1,0,0,0,3,0.38,1,1,1,0,0,0,Matches,,,,,,
234,Gabriel Jesus,br BRA,FW,Arsenal,27-315,1997,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,Matches,,,,,,
235,Raúl Jiménez,mx MEX,FW,Fulham,33-283,1991,16.9,38,2.25,25,1,1,6,4,1,5,0.30,3,0,0,0,1,1,Matches,,,,,,
236,Kim Jisoo,kr KOR,DF,Brentford,20-050,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
237,João Pedro,br BRA,"FW,MF",Brighton,23-139,2001,14.9,43,2.89,33,0,2,2,6,0,6,0.40,5,0,0,0,1,0,Matches,,,,,,
238,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-182,1996,21.3,48,2.26,38,2,0,4,1,3,6,0.28,6,0,0,0,0,0,Matches,,,,,,
239,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-019,2000,9.2,14,1.52,7,4,0,1,2,0,3,0.33,2,0,0,1,0,0,Matches,,,,,,
240,Brennan Johnson,wls WAL,FW,Tottenham,23-265,2001,16.6,36,2.17,25,0,5,4,1,1,6,0.36,5,0,1,0,0,0,Matches,,,,,,
241,Sam Johnstone,eng ENG,GK,Wolves,31-324,1993,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
242,Curtis Jones,eng ENG,MF,Liverpool,24-013,2001,10.3,25,2.43,23,0,0,1,1,0,5,0.49,4,0,0,0,1,0,Matches,,,,,,
243,Jorginho,it ITA,MF,Arsenal,33-054,1991,5.1,7,1.37,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
244,Diogo Jota,pt POR,FW,Liverpool,28-070,1996,7.0,20,2.87,11,0,4,3,1,1,4,0.57,2,0,1,0,1,0,Matches,,,,,,
245,James Justin,eng ENG,DF,Leicester City,26-355,1998,22.0,27,1.23,16,2,1,4,4,0,1,0.05,1,0,0,0,0,0,Matches,,,,,,
246,Filip Jørgensen,dk DEN,GK,Chelsea,22-302,2002,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
247,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-128,1999,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0,Matches,,,,,,
248,Daichi Kamada,jp JPN,MF,Crystal Palace,28-191,1996,10.4,33,3.18,27,3,0,1,0,2,1,0.10,0,1,0,0,0,0,Matches,,,,,,
249,Boubacar Kamara,fr FRA,MF,Aston Villa,25-081,1999,11.5,16,1.39,12,1,1,0,0,2,2,0.17,2,0,0,0,0,0,Matches,,,,,,
250,Michael Kayode,it ITA,DF,Brentford,20-217,2004,0.2,2,12.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
251,Michael Keane,eng ENG,DF,Everton,32-032,1993,9.0,6,0.66,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
252,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-081,1998,8.0,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,,,,,,
253,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-129,1998,3.4,2,0.59,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches,,,,,,
254,Milos Kerkez,hu HUN,DF,Bournemouth,21-097,2003,23.2,53,2.29,45,3,1,1,1,2,6,0.26,5,0,1,0,0,0,Matches,,,,,,
255,Bilal El Khannouss,ma MAR,MF,Leicester City,20-278,2004,12.2,30,2.47,24,2,3,1,0,0,2,0.16,2,0,0,0,0,0,Matches,,,,,,
256,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-349,2004,0.6,1,1.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
257,Max Kilman,eng ENG,DF,West Ham,27-265,1997,23.2,18,0.78,16,0,2,0,0,0,3,0.13,2,0,1,0,0,0,Matches,,,,,,
258,Joshua King,eng ENG,"MF,FW",Fulham,18-040,2007,0.9,4,4.50,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
259,Antonín Kinský,cz CZE,GK,Tottenham,21-336,2003,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
260,Jakub Kiwior,pl POL,DF,Arsenal,24-363,2000,3.6,1,0.28,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
261,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-283,1999,17.0,62,3.64,51,1,5,2,2,1,9,0.53,8,0,0,0,1,0,Matches,,,,,,
262,Ibrahima Konaté,fr FRA,DF,Liverpool,25-263,1999,15.5,18,1.16,16,0,0,2,0,0,4,0.26,4,0,0,0,0,0,Matches,,,,,,
263,Ezri Konsa,eng ENG,DF,Aston Villa,27-112,1997,21.1,16,0.76,12,2,1,1,0,0,3,0.14,3,0,0,0,0,0,Matches,,,,,,
264,Mateo Kovačić,hr CRO,MF,Manchester City,30-282,1994,17.2,52,3.03,42,0,3,4,2,1,5,0.29,3,0,1,1,0,0,Matches,,,,,,
265,Caleb Kporha,eng ENG,DF,Crystal Palace,18-212,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
266,Emil Krafth,se SWE,DF,Newcastle Utd,30-194,1994,2.7,3,1.12,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
267,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-194,2000,17.4,70,4.03,49,0,11,7,1,2,2,0.12,2,0,0,0,0,0,Matches,,,,,,
268,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-293,2000,21.7,116,5.35,86,12,14,1,3,0,9,0.42,7,1,1,0,0,0,Matches,,,,,,
269,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-312,2000,21.0,20,0.95,16,1,0,3,0,0,4,0.19,2,1,0,1,0,0,Matches,,,,,,
270,Adam Lallana,eng ENG,MF,Southampton,36-278,1988,3.8,9,2.38,8,0,0,0,1,0,2,0.53,2,0,0,0,0,0,Matches,,,,,,
271,Tariq Lamptey,gh GHA,DF,Brighton,24-135,2000,5.8,12,2.08,11,1,0,0,0,0,2,0.35,2,0,0,0,0,0,Matches,,,,,,
272,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-298,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
273,Roméo Lavia,be BEL,MF,Chelsea,21-037,2004,5.9,11,1.86,11,0,0,0,0,0,2,0.34,2,0,0,0,0,0,Matches,,,,,,
274,Mario Lemina,ga GAB,"MF,DF",Wolves,31-164,1993,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0,Matches,,,,,,
275,Bernd Leno,de GER,GK,Fulham,32-345,1992,24.0,4,0.17,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
276,Jefferson Lerma,co COL,MF,Crystal Palace,30-110,1994,14.4,28,1.95,23,3,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches,,,,,,
277,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-083,2004,15.6,26,1.67,25,0,0,0,1,0,2,0.13,2,0,0,0,0,0,Matches,,,,,,
278,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-356,2001,21.3,44,2.06,33,0,4,2,4,1,6,0.28,5,0,0,0,1,0,Matches,,,,,,
279,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-139,2006,6.1,5,0.82,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
280,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-184,1999,17.2,10,0.58,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
281,Pedro Lima,br BRA,DF,Wolves,18-226,2006,0.6,3,4.66,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
282,Victor Lindelöf,se SWE,"DF,MF",Manchester Utd,30-210,1994,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
283,Jesper Lindstrøm,dk DEN,FW,Everton,24-349,2000,9.7,38,3.93,25,7,1,2,2,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
284,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-092,2002,18.3,21,1.15,20,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
285,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-105,1997,8.0,14,1.75,12,0,1,1,0,0,2,0.25,1,0,0,1,0,0,Matches,,,,,,
286,Saša Lukić,rs SRB,MF,Fulham,28-183,1996,16.7,30,1.80,21,4,0,3,1,1,2,0.12,1,0,0,1,0,0,Matches,,,,,,
287,Joe Lumley,eng ENG,GK,Southampton,29-363,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
288,Massimo Luongo,au AUS,MF,Ipswich Town,32-140,1992,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
289,Ian Maatsen,nl NED,DF,Aston Villa,22-339,2002,5.1,30,5.91,22,2,2,3,0,1,5,0.98,5,0,0,0,0,0,Matches,,,,,,
290,Alexis Mac Allister,ar ARG,MF,Liverpool,26-050,1998,18.1,81,4.47,64,7,2,5,1,2,9,0.50,8,0,0,1,0,0,Matches,,,,,,
291,James Maddison,eng ENG,MF,Tottenham,28-081,1996,14.4,64,4.44,45,7,4,3,5,0,13,0.90,9,1,2,1,0,0,Matches,,,,,,
292,Noni Madueke,eng ENG,FW,Chelsea,22-339,2002,15.9,59,3.71,42,0,8,5,3,1,8,0.50,5,0,0,1,1,1,Matches,,,,,,
293,Gabriel Magalhães,br BRA,DF,Arsenal,27-055,1997,21.1,28,1.33,24,0,0,3,1,0,6,0.28,4,0,0,1,1,0,Matches,,,,,,
294,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-280,2001,0.9,2,2.31,2,0,0,0,0,0,1,1.15,1,0,0,0,0,0,Matches,,,,,,
295,Harry Maguire,eng ENG,DF,Manchester Utd,31-344,1993,12.1,10,0.83,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
296,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-299,2005,14.3,25,1.75,21,0,3,0,1,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
297,Tyrell Malacia,nl NED,DF,Manchester Utd,25-179,1999,1.1,2,1.80,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
298,Donyell Malen,nl NED,FW,Aston Villa,26-034,1999,0.8,1,1.27,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
299,Orel Mangala,be BEL,MF,Everton,26-331,1998,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0,Matches,,,,,,
300,Ryan Manning,ie IRL,DF,Southampton,28-243,1996,8.5,24,2.83,14,9,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
301,Solly March,eng ENG,"MF,DF",Brighton,30-207,1994,0.3,1,3.60,1,0,0,0,0,0,1,3.60,1,0,0,0,0,0,Matches,,,,,,
302,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-005,1999,1.6,8,5.00,4,2,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
303,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-239,2001,16.2,39,2.41,32,1,4,1,1,0,3,0.19,3,0,0,0,0,0,Matches,,,,,,
304,Emiliano Martínez,ar ARG,GK,Aston Villa,32-163,1992,23.5,3,0.13,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
305,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-025,1998,19.5,26,1.34,23,0,0,2,0,1,2,0.10,2,0,0,0,0,0,Matches,,,,,,
306,Pape Matar Sarr,sn SEN,MF,Tottenham,22-151,2002,13.9,28,2.01,23,1,1,2,0,1,6,0.43,4,0,1,1,0,0,Matches,,,,,,
307,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-229,1997,20.7,42,2.03,28,0,2,9,3,0,6,0.29,2,0,2,2,0,0,Matches,,,,,,
308,Stephy Mavididi,eng ENG,FW,Leicester City,26-257,1998,14.3,42,2.93,34,2,4,2,0,0,7,0.49,6,0,1,0,0,0,Matches,,,,,,
309,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-063,1997,15.6,13,0.83,9,0,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
310,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-090,1997,20.4,31,1.52,27,0,0,1,2,1,1,0.05,1,0,0,0,0,0,Matches,,,,,,
