,Tackles,Challenges,Blocks,,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,24,24.0,401,240,148,173,80,172,346,49.7,174,221,76,145,154,555,411,19,,,,,
Aston Villa,25,24.0,418,241,195,169,54,194,348,55.7,154,208,68,140,163,581,476,29,,,,,
Bournemouth,28,24.0,465,275,194,205,66,194,406,47.8,212,299,94,205,232,697,621,14,,,,,
Brentford,27,24.0,404,250,193,136,75,200,374,53.5,174,306,128,178,187,591,661,18,,,,,
Brighton,30,24.0,423,254,164,187,72,205,431,47.6,226,289,82,207,194,617,444,17,,,,,
Chelsea,27,24.0,373,240,166,152,55,179,362,49.4,183,238,73,165,174,547,391,27,,,,,
Crystal Palace,26,24.0,511,301,256,192,63,219,438,50.0,219,318,88,230,206,717,642,10,,,,,
Everton,24,23.0,462,270,235,160,67,215,400,53.8,185,229,88,141,212,674,622,15,,,,,
Fulham,25,24.0,422,245,199,173,50,174,347,50.1,173,239,62,177,213,635,490,18,,,,,
Ipswich Town,31,24.0,385,212,188,147,50,178,402,44.3,224,258,106,152,207,592,632,27,,,,,
Leicester City,28,24.0,476,275,241,181,54,207,435,47.6,228,334,121,213,206,682,613,16,,,,,
Liverpool,24,23.0,390,241,161,168,61,209,392,53.3,183,227,53,174,181,571,403,14,,,,,
Manchester City,26,24.0,315,191,119,129,67,140,290,48.3,150,207,60,147,145,460,367,23,,,,,
Manchester Utd,25,24.0,499,299,230,191,78,233,438,53.2,205,228,64,164,257,756,427,16,,,,,
Newcastle Utd,24,24.0,378,237,164,151,63,186,375,49.6,189,275,94,181,184,562,525,19,,,,,
Nott'ham Forest,23,24.0,443,272,268,133,42,210,409,51.3,199,278,95,183,224,667,720,11,,,,,
Southampton,33,24.0,413,238,186,176,51,172,371,46.4,199,293,130,163,190,603,587,39,,,,,
Tottenham,29,24.0,439,285,186,182,71,208,410,50.7,202,277,91,186,205,644,473,26,,,,,
West Ham,26,24.0,415,255,207,155,53,183,350,52.3,167,309,112,197,215,630,616,19,,,,,
Wolves,26,24.0,518,301,290,183,45,235,435,54.0,200,305,102,203,200,718,591,16,,,,,
