,Tackles,Challenges,Blocks,,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,24,23.0,384,231,141,167,76,168,339,49.6,171,215,76,139,149,533,389,19,,,,,
Aston Villa,23,22.0,378,218,177,150,51,169,301,56.1,132,190,63,127,151,529,436,25,,,,,
Bournemouth,28,23.0,446,271,186,195,65,189,394,48.0,205,286,87,199,222,668,599,13,,,,,
Brentford,26,22.0,364,224,175,127,62,180,340,52.9,160,282,118,164,179,543,604,15,,,,,
Brighton,30,23.0,402,242,157,178,67,197,408,48.3,211,278,81,197,187,589,432,13,,,,,
Chelsea,27,23.0,350,220,159,141,50,167,345,48.4,178,228,70,158,171,521,375,25,,,,,
Crystal Palace,25,22.0,475,278,232,183,60,198,402,49.3,204,283,79,204,192,667,563,10,,,,,
Everton,24,22.0,449,262,229,158,62,209,389,53.7,180,219,82,137,208,657,589,14,,,,,
Fulham,25,22.0,386,223,184,156,46,160,327,48.9,167,216,60,156,199,585,451,18,,,,,
Ipswich Town,31,23.0,369,204,184,138,47,170,387,43.9,217,252,103,149,203,572,614,27,,,,,
Leicester City,27,22.0,435,248,222,164,49,192,405,47.4,213,309,115,194,185,620,560,15,,,,,
Liverpool,24,22.0,372,230,153,161,58,197,368,53.5,171,216,50,166,170,542,377,10,,,,,
Manchester City,26,23.0,301,183,113,122,66,138,278,49.6,140,198,57,141,138,439,347,19,,,,,
Manchester Utd,25,22.0,466,280,216,177,73,218,415,52.5,197,210,62,148,238,704,384,16,,,,,
Newcastle Utd,24,23.0,372,235,160,152,60,184,363,50.7,179,262,87,175,179,551,496,19,,,,,
Nott'ham Forest,23,23.0,423,258,257,127,39,195,380,51.3,185,264,93,171,217,640,682,11,,,,,
Southampton,31,23.0,379,222,165,167,47,157,339,46.3,182,280,127,153,179,558,559,39,,,,,
Tottenham,28,22.0,407,266,171,170,66,194,376,51.6,182,249,77,172,185,592,405,25,,,,,
West Ham,26,22.0,370,231,182,144,44,159,313,50.8,154,271,99,172,190,560,554,18,,,,,
Wolves,26,23.0,493,287,275,173,45,221,412,53.6,191,293,97,196,185,678,558,16,,,,,
