,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,24,26.4,55.3,23,253,"2,070",23.0,42,32,74,40,2,2,51,4,37.6,36.1,28.3,64.4,476,1052,1.83,1.39,3.22,1.74,3.13,1.64,1.23,2.87,1.57,2.80,,,,,,
Aston Villa,23,27.6,49.7,22,242,"1,980",22.0,32,25,57,30,2,3,48,2,32.9,30.5,23.8,54.4,378,732,1.45,1.14,2.59,1.36,2.50,1.49,1.08,2.58,1.39,2.47,,,,,,
Bournemouth,28,25.8,46.1,23,253,"2,070",23.0,41,30,71,35,6,7,59,0,44.1,38.6,29.7,68.3,438,919,1.78,1.30,3.09,1.52,2.83,1.92,1.29,3.21,1.68,2.97,,,,,,
Brentford,26,26.5,47.4,22,242,"1,980",22.0,40,26,66,37,3,3,33,1,35.2,32.8,26.3,59.2,346,804,1.82,1.18,3.00,1.68,2.86,1.60,1.20,2.80,1.49,2.69,,,,,,
Brighton,30,25.7,53.1,23,253,"2,070",23.0,34,22,56,33,1,1,51,1,31.5,30.7,22.1,52.8,506,971,1.48,0.96,2.43,1.43,2.39,1.37,0.96,2.33,1.33,2.30,,,,,,
Chelsea,27,24.1,57.7,23,253,"2,070",23.0,45,34,79,42,3,3,68,1,46.8,44.5,35.4,79.9,530,950,1.96,1.48,3.43,1.83,3.30,2.04,1.54,3.58,1.93,3.47,,,,,,
Crystal Palace,25,26.7,43.7,22,242,"1,980",22.0,24,19,43,22,2,2,45,1,30.1,28.5,23.4,52.0,307,725,1.09,0.86,1.95,1.00,1.86,1.37,1.07,2.43,1.30,2.36,,,,,,
Everton,24,29.1,40.1,22,242,"1,980",22.0,16,9,25,15,1,1,48,1,21.9,21.1,16.4,37.5,290,602,0.73,0.41,1.14,0.68,1.09,1.00,0.75,1.74,0.96,1.71,,,,,,
Fulham,25,28.5,52.9,22,242,"1,980",22.0,33,29,62,30,3,4,51,2,31.7,28.5,24.5,53.1,476,910,1.50,1.32,2.82,1.36,2.68,1.44,1.11,2.56,1.30,2.41,,,,,,
Ipswich Town,31,26.4,40.1,23,253,"2,070",23.0,20,14,34,18,2,2,60,2,20.5,18.9,14.7,33.6,301,548,0.87,0.61,1.48,0.78,1.39,0.89,0.64,1.53,0.82,1.46,,,,,,
Leicester City,27,27.1,46.1,22,242,"1,980",22.0,23,18,41,21,2,2,51,0,21.5,20.1,17.1,37.1,349,645,1.05,0.82,1.86,0.95,1.77,0.98,0.78,1.75,0.91,1.69,,,,,,
Liverpool,24,27.7,58.0,22,242,"1,980",22.0,54,42,96,49,5,5,45,1,51.4,47.6,38.4,85.9,493,1145,2.45,1.91,4.36,2.23,4.14,2.34,1.75,4.08,2.16,3.91,,,,,,
Manchester City,26,27.8,61.1,23,253,"2,070",23.0,46,34,80,45,1,2,46,1,43.6,41.9,36.3,78.2,719,1209,2.00,1.48,3.48,1.96,3.43,1.89,1.58,3.47,1.82,3.40,,,,,,
Manchester Utd,25,26.3,53.7,22,242,"1,980",22.0,26,19,45,23,3,3,53,2,32.5,30.2,25.0,55.1,379,805,1.18,0.86,2.05,1.05,1.91,1.48,1.14,2.61,1.37,2.51,,,,,,
Newcastle Utd,24,27.7,51.1,23,253,"2,070",23.0,40,31,71,38,2,3,44,1,40.4,38.1,31.4,69.5,449,947,1.74,1.35,3.09,1.65,3.00,1.76,1.37,3.12,1.66,3.02,,,,,,
Nott'ham Forest,23,26.9,40.1,23,253,"2,070",23.0,33,24,57,31,2,2,54,2,28.4,26.8,20.1,46.9,398,647,1.43,1.04,2.48,1.35,2.39,1.23,0.87,2.11,1.17,2.04,,,,,,
Southampton,31,26.1,52.0,23,253,"2,070",23.0,15,11,26,15,0,2,66,3,22.8,21.0,17.5,38.5,420,744,0.65,0.48,1.13,0.65,1.13,0.99,0.76,1.75,0.91,1.68,,,,,,
Tottenham,28,25.9,57.6,22,242,"1,980",22.0,43,34,77,43,0,1,44,1,37.8,37.0,29.4,66.4,533,1047,1.95,1.55,3.50,1.95,3.50,1.72,1.34,3.05,1.68,3.02,,,,,,
West Ham,26,28.9,46.9,22,242,"1,980",22.0,26,15,41,23,3,3,53,3,29.4,27.1,20.3,47.3,370,716,1.18,0.68,1.86,1.05,1.73,1.33,0.92,2.26,1.23,2.15,,,,,,
Wolves,26,27.4,47.1,23,253,"2,070",23.0,32,27,59,32,0,0,53,2,23.9,23.9,19.9,43.9,361,717,1.39,1.17,2.57,1.39,2.57,1.04,0.87,1.91,1.04,1.91,,,,,,
