,Playing Time,Starts,Subs,Team Success,Team Success (xG),Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,24,26.4,23,"2,070",90,100,23.0,253,83,167,83,18,124,2.04,44,21,+23,+1.00,37.6,20.2,+17.4,+0.76,,,,,,
Aston Villa,23,27.6,22,"1,980",90,100,22.0,242,81,146,96,23,102,1.64,33,34,-1,-0.05,32.9,26.9,+6.0,+0.27,,,,,,
Bournemouth,28,25.8,23,"2,070",90,100,23.0,253,83,152,101,19,106,1.74,41,26,+15,+0.65,44.1,28.6,+15.5,+0.67,,,,,,
Brentford,26,26.5,22,"1,980",90,100,22.0,242,84,159,83,16,115,1.27,40,39,+1,+0.05,35.2,37.5,-2.3,-0.11,,,,,,
Brighton,30,25.7,23,"2,070",90,100,23.0,253,81,141,111,19,96,1.48,35,31,+4,+0.17,31.5,33.1,-1.6,-0.07,,,,,,
Chelsea,27,24.1,23,"2,070",90,100,23.0,253,84,166,86,18,121,1.74,45,30,+15,+0.65,46.8,33.2,+13.6,+0.59,,,,,,
Crystal Palace,25,26.7,22,"1,980",90,100,22.0,242,84,161,80,18,118,1.23,25,28,-3,-0.14,30.1,30.1,0.0,0.00,,,,,,
Everton,24,29.1,22,"1,980",90,100,22.0,242,84,173,68,20,129,1.05,19,28,-9,-0.41,21.9,29.7,-7.8,-0.35,,,,,,
Fulham,25,28.5,22,"1,980",90,100,22.0,242,83,138,103,16,95,1.50,34,30,+4,+0.18,31.7,26.6,+5.1,+0.23,,,,,,
Ipswich Town,31,26.4,23,"2,070",90,100,23.0,253,83,145,106,17,101,0.70,21,47,-26,-1.13,20.5,47.0,-26.5,-1.15,,,,,,
Leicester City,27,27.1,22,"1,980",90,100,22.0,242,83,150,92,19,106,0.64,23,48,-25,-1.14,21.5,43.1,-21.6,-0.98,,,,,,
Liverpool,24,27.7,22,"1,980",90,100,22.0,242,82,150,91,19,107,2.41,54,21,+33,+1.50,51.4,19.2,+32.2,+1.46,,,,,,
Manchester City,26,27.8,23,"2,070",90,100,23.0,253,85,179,73,18,130,1.78,47,30,+17,+0.74,43.6,32.9,+10.6,+0.46,,,,,,
Manchester Utd,25,26.3,22,"1,980",90,100,22.0,242,81,146,95,22,103,1.18,27,32,-5,-0.23,32.5,33.2,-0.7,-0.03,,,,,,
Newcastle Utd,24,27.7,23,"2,070",90,100,23.0,253,83,155,97,18,110,1.78,41,27,+14,+0.61,40.4,27.8,+12.6,+0.55,,,,,,
Nott'ham Forest,23,26.9,23,"2,070",90,100,23.0,253,82,140,111,18,95,1.91,33,27,+6,+0.26,28.4,25.9,+2.5,+0.11,,,,,,
Southampton,31,26.1,23,"2,070",90,100,23.0,253,80,143,108,23,99,0.26,16,53,-37,-1.61,22.8,54.0,-31.2,-1.36,,,,,,
Tottenham,28,25.9,22,"1,980",90,100,22.0,242,82,152,91,20,107,1.09,45,35,+10,+0.45,37.8,36.9,+0.9,+0.04,,,,,,
West Ham,26,28.9,22,"1,980",90,100,22.0,242,80,136,103,24,95,1.18,27,43,-16,-0.73,29.4,39.1,-9.7,-0.44,,,,,,
Wolves,26,27.4,23,"2,070",90,100,23.0,253,83,154,98,18,108,0.70,32,52,-20,-0.87,23.9,39.0,-15.0,-0.65,,,,,,
