,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
204,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-000,1996,16,5,608,6.8,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,14,11,37,0.30,0.00,0.30,0.30,0.30,0.12,0.02,0.14,0.12,0.14,Matches,,,,,,,
205,Dean Henderson,eng ENG,GK,Crystal Palace,27-320,1997,22,22,"1,980",22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
206,Rico Henry,eng ENG,DF,Brentford,27-202,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
207,Mads Hermansen,dk DEN,GK,Leicester City,24-199,2000,16,16,"1,395",15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
208,Son Heung-min,kr KOR,FW,Tottenham,32-202,1992,19,17,"1,405",15.6,6,6,12,6,0,1,0,0,5.0,4.2,5.8,10.0,63,79,179,0.38,0.38,0.77,0.38,0.77,0.32,0.37,0.69,0.27,0.64,Matches,,,,,,,
209,James Hill,eng ENG,"DF,MF",Bournemouth,23-016,2002,5,3,179,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.3,0,9,5,0.00,0.50,0.50,0.00,0.50,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,
210,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-290,2005,11,10,856,9.5,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,10,34,28,0.11,0.00,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11,Matches,,,,,,,
211,George Hirst,eng ENG,FW,Ipswich Town,25-346,1999,11,1,217,2.4,1,1,2,1,0,0,1,0,1.0,1.0,0.3,1.2,3,8,15,0.41,0.41,0.83,0.41,0.83,0.40,0.11,0.51,0.40,0.51,Matches,,,,,,,
212,Mason Holgate,eng ENG,"FW,DF",Everton,28-096,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
213,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-080,2000,20,18,"1,525",16.9,3,2,5,3,0,0,1,0,1.9,1.9,2.0,3.9,92,49,133,0.18,0.12,0.30,0.18,0.30,0.11,0.12,0.23,0.11,0.23,Matches,,,,,,,
