,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
258,Ezri Konsa,eng ENG,DF,Aston Villa,27-095,1997,20,20,"1,721",19.1,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,13,51,11,0.05,0.00,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches,,,,,,,
259,Mateo Kovačić,hr CRO,MF,Manchester City,30-265,1994,19,17,"1,455",16.2,4,1,5,4,0,0,5,0,1.4,1.4,3.4,4.8,43,102,14,0.25,0.06,0.31,0.25,0.31,0.09,0.21,0.30,0.09,0.30,Matches,,,,,,,
260,Caleb Kporha,eng ENG,DF,Crystal Palace,18-195,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
261,Emil Krafth,se SWE,DF,Newcastle Utd,30-177,1994,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches,,,,,,,
262,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-177,2000,17,17,"1,384",15.4,3,1,4,3,0,0,0,1,3.9,3.9,1.9,5.8,59,44,134,0.20,0.07,0.26,0.20,0.26,0.26,0.12,0.38,0.26,0.38,Matches,,,,,,,
263,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-276,2000,22,20,"1,770",19.7,6,4,10,6,0,0,3,0,3.4,3.4,5.5,8.9,101,101,168,0.31,0.20,0.51,0.31,0.51,0.17,0.28,0.45,0.17,0.45,Matches,,,,,,,
264,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-295,2000,19,19,"1,710",19.0,1,1,2,1,0,0,3,0,1.6,1.6,0.3,1.9,6,43,2,0.05,0.05,0.11,0.05,0.11,0.08,0.02,0.10,0.08,0.10,Matches,,,,,,,
265,Adam Lallana,eng ENG,MF,Southampton,36-261,1988,12,5,331,3.7,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,5,23,10,0.00,0.54,0.54,0.00,0.54,0.05,0.25,0.29,0.05,0.29,Matches,,,,,,,
266,Tariq Lamptey,gh GHA,DF,Brighton,24-118,2000,9,5,429,4.8,2,2,4,2,0,0,0,0,0.3,0.3,0.4,0.8,17,7,27,0.42,0.42,0.84,0.42,0.84,0.07,0.09,0.16,0.07,0.16,Matches,,,,,,,
267,Will Lankshear,eng ENG,FW,Tottenham,19-281,2005,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
268,Roméo Lavia,be BEL,MF,Chelsea,21-020,2004,10,8,532,5.9,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,17,6,0.00,0.17,0.17,0.00,0.17,0.03,0.12,0.15,0.03,0.15,Matches,,,,,,,
269,Mario Lemina,ga GAB,"MF,DF",Wolves,31-147,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches,,,,,,,
270,Bernd Leno,de GER,GK,Fulham,32-328,1992,22,22,"1,980",22.0,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
271,Jefferson Lerma,co COL,MF,Crystal Palace,30-093,1994,17,13,"1,113",12.4,0,0,0,0,0,0,4,0,0.7,0.7,0.9,1.6,7,55,22,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.13,0.05,0.13,Matches,,,,,,,
272,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-066,2004,19,16,"1,402",15.6,1,2,3,1,0,0,5,1,1.2,1.2,0.3,1.5,32,80,57,0.06,0.13,0.19,0.06,0.19,0.07,0.02,0.10,0.07,0.10,Matches,,,,,,,
273,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-339,2001,22,20,"1,739",19.3,1,2,3,1,0,0,3,0,2.2,2.2,1.5,3.7,58,51,99,0.05,0.10,0.16,0.05,0.16,0.12,0.08,0.19,0.12,0.19,Matches,,,,,,,
274,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-122,2006,9,6,462,5.1,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,9,23,14,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,
275,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-167,1999,20,17,"1,483",16.5,1,0,1,1,0,0,3,0,1.6,1.6,0.3,1.9,4,34,4,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.12,0.10,0.12,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
276,Pedro Lima,br BRA,DF,Wolves,18-209,2006,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,,,,,,,
277,Victor Lindelöf,se SWE,"DF,MF",Manchester Utd,30-193,1994,5,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,
278,Jesper Lindstrøm,dk DEN,FW,Everton,24-332,2000,18,9,799,8.9,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,24,12,54,0.00,0.00,0.00,0.00,0.00,0.20,0.18,0.38,0.20,0.38,Matches,,,,,,,
279,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-075,2002,22,18,"1,584",17.6,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,42,82,59,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Matches,,,,,,,
280,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-088,1997,18,8,721,8.0,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches,,,,,,,
281,Saša Lukić,rs SRB,MF,Fulham,28-166,1996,17,16,"1,329",14.8,0,2,2,0,0,0,9,0,0.7,0.7,2.1,2.7,24,56,11,0.00,0.14,0.14,0.00,0.14,0.05,0.14,0.19,0.05,0.19,Matches,,,,,,,
282,Joe Lumley,eng ENG,GK,Southampton,29-346,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
283,Massimo Luongo,au AUS,MF,Ipswich Town,32-123,1992,6,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
284,Ian Maatsen,nl NED,DF,Aston Villa,22-322,2002,16,3,358,4.0,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.5,9,16,30,0.00,0.25,0.25,0.00,0.25,0.03,0.34,0.37,0.03,0.37,Matches,,,,,,,
285,Alexis Mac Allister,ar ARG,MF,Liverpool,26-033,1998,21,19,"1,570",17.4,1,3,4,1,0,0,5,0,1.7,1.7,3.4,5.1,22,117,49,0.06,0.17,0.23,0.06,0.23,0.10,0.20,0.29,0.10,0.29,Matches,,,,,,,
286,James Maddison,eng ENG,MF,Tottenham,28-064,1996,22,15,"1,300",14.4,8,4,12,8,0,0,4,0,4.9,4.9,2.7,7.6,34,118,69,0.55,0.28,0.83,0.55,0.83,0.34,0.18,0.53,0.34,0.53,Matches,,,,,,,
287,Noni Madueke,eng ENG,FW,Chelsea,22-322,2002,21,17,"1,373",15.3,7,3,10,7,0,0,3,0,7.4,7.4,3.1,10.5,102,48,164,0.46,0.20,0.66,0.46,0.66,0.49,0.20,0.69,0.49,0.69,Matches,,,,,,,
288,Gabriel Magalhães,br BRA,DF,Arsenal,27-038,1997,21,21,"1,808",20.1,3,1,4,3,0,0,3,0,2.4,2.4,0.8,3.2,5,90,9,0.15,0.05,0.20,0.15,0.20,0.12,0.04,0.16,0.12,0.16,Matches,,,,,,,
289,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-263,2001,5,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
290,Harry Maguire,eng ENG,DF,Manchester Utd,31-327,1993,15,10,908,10.1,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.7,4,29,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,,,,,,,
291,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-282,2005,16,14,"1,206",13.4,0,0,0,0,0,0,5,0,0.5,0.5,1.3,1.8,17,49,30,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches,,,,,,,
292,Tyrell Malacia,nl NED,DF,Manchester Utd,25-162,1999,2,2,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,
293,Orel Mangala,be BEL,MF,Everton,26-314,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.7,6,34,20,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches,,,,,,,
294,Ryan Manning,ie IRL,DF,Southampton,28-226,1996,13,10,761,8.5,0,0,0,0,0,0,1,0,0.1,0.1,1.3,1.5,10,8,51,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.18,0.02,0.18,Matches,,,,,,,
295,Solly March,eng ENG,"MF,DF",Brighton,30-190,1994,2,0,25,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches,,,,,,,
296,Omar Marmoush,eg EGY,FW,Manchester City,25-354,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,2,1,3,0.00,0.00,0.00,0.00,0.00,0.18,0.25,0.44,0.18,0.44,Matches,,,,,,,
297,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-222,2001,21,15,"1,368",15.2,6,2,8,6,0,0,1,0,3.9,3.9,2.7,6.6,74,26,174,0.39,0.13,0.53,0.39,0.53,0.26,0.18,0.44,0.26,0.44,Matches,,,,,,,
298,Emiliano Martínez,ar ARG,GK,Aston Villa,32-146,1992,22,22,"1,935",21.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
299,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-008,1998,18,18,"1,580",17.6,1,1,2,1,0,0,7,0,1.2,1.2,1.1,2.3,18,100,7,0.06,0.06,0.11,0.06,0.11,0.07,0.07,0.13,0.07,0.13,Matches,,,,,,,
300,Pape Matar Sarr,sn SEN,MF,Tottenham,22-134,2002,22,14,"1,179",13.1,1,2,3,1,0,0,4,0,2.1,2.1,1.3,3.4,22,62,34,0.08,0.15,0.23,0.08,0.23,0.16,0.10,0.26,0.16,0.26,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
301,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-212,1997,22,20,"1,682",18.7,8,1,9,6,2,2,2,0,7.8,6.2,2.0,8.2,26,32,83,0.43,0.05,0.48,0.32,0.37,0.42,0.11,0.53,0.33,0.44,Matches,,,,,,,
302,Stephy Mavididi,eng ENG,FW,Leicester City,26-240,1998,21,14,"1,275",14.2,3,1,4,3,0,0,2,0,1.5,1.5,2.4,3.9,66,51,99,0.21,0.07,0.28,0.21,0.28,0.11,0.17,0.27,0.11,0.27,Matches,,,,,,,
303,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-046,1997,19,15,"1,386",15.4,0,0,0,0,0,0,4,1,0.9,0.9,0.5,1.3,12,45,2,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,,,,,,,
304,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-073,1997,22,20,"1,684",18.7,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,24,75,35,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.05,0.02,0.05,Matches,,,,,,,
305,Bryan Mbeumo,cm CMR,FW,Brentford,25-172,1999,22,22,"1,974",21.9,13,3,16,10,3,3,2,0,6.8,4.4,5.4,9.8,75,87,214,0.59,0.14,0.73,0.46,0.59,0.31,0.25,0.56,0.20,0.45,Matches,,,,,,,
306,James Mcatee,eng ENG,"MF,FW",Manchester City,22-100,2002,6,0,70,0.8,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,3,3,8,1.29,0.00,1.29,1.29,1.29,1.02,0.00,1.02,1.02,1.02,Matches,,,,,,,
307,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-065,2001,11,4,386,4.3,0,1,1,0,0,0,1,0,0.6,0.6,0.4,0.9,13,8,36,0.00,0.23,0.23,0.00,0.23,0.13,0.08,0.21,0.13,0.21,Matches,,,,,,,
308,Alex McCarthy,eng ENG,GK,Southampton,35-054,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
309,John McGinn,sct SCO,"FW,MF",Aston Villa,30-100,1994,18,16,"1,254",13.9,0,3,3,0,0,0,3,0,1.8,1.8,2.5,4.3,22,57,59,0.00,0.22,0.22,0.00,0.22,0.13,0.18,0.31,0.13,0.31,Matches,,,,,,,
310,Dwight McNeil,eng ENG,"MF,FW",Everton,25-065,1999,13,13,"1,140",12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Matches,,,,,,,
311,Scott McTominay,sct SCO,MF,Manchester Utd,28-049,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches,,,,,,,
312,Ben Mee,eng ENG,DF,Brentford,35-127,1989,5,2,176,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
313,Jayden Meghoma,eng ENG,DF,Brentford,18-212,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
314,Mikel Merino,es ESP,MF,Arsenal,28-218,1996,15,8,760,8.4,2,1,3,2,0,0,2,0,2.2,2.2,0.9,3.1,4,42,47,0.24,0.12,0.36,0.24,0.36,0.26,0.11,0.36,0.26,0.36,Matches,,,,,,,
315,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-106,1997,22,22,"1,980",22.0,2,1,3,2,0,0,2,0,3.1,3.1,0.2,3.3,2,35,3,0.09,0.05,0.14,0.09,0.14,0.14,0.01,0.15,0.14,0.15,Matches,,,,,,,
316,Lewis Miley,eng ENG,MF,Newcastle Utd,18-270,2006,4,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
317,James Milner,eng ENG,MF,Brighton,39-022,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,,,,,,,
318,Tyrone Mings,eng ENG,DF,Aston Villa,31-319,1993,5,4,431,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,17,0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,,,,,,,
319,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-188,2004,18,7,750,8.3,3,2,5,3,0,0,5,0,2.1,2.1,2.7,4.8,39,18,86,0.36,0.24,0.60,0.36,0.60,0.25,0.33,0.58,0.25,0.58,Matches,,,,,,,
320,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-147,1999,22,22,"1,913",21.3,0,3,3,0,0,0,2,0,0.5,0.5,3.6,4.1,43,46,114,0.00,0.14,0.14,0.00,0.14,0.03,0.17,0.19,0.03,0.19,Matches,,,,,,,
321,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-251,1997,23,20,"1,845",20.5,5,3,8,5,0,0,0,0,5.1,5.1,4.3,9.3,108,66,225,0.24,0.15,0.39,0.24,0.39,0.25,0.21,0.46,0.25,0.46,Matches,,,,,,,
322,Jakub Moder,pl POL,MF,Brighton,25-294,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches,,,,,,,
323,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-168,2007,5,1,103,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,8,5,19,0.00,0.87,0.87,0.00,0.87,0.14,0.21,0.35,0.14,0.35,Matches,,,,,,,
324,Morato,br BRA,DF,Nott'ham Forest,23-210,2001,16,2,445,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,
325,Álex Moreno,es ESP,DF,Nott'ham Forest,31-232,1993,13,10,813,9.0,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,23,29,29,0.00,0.11,0.11,0.00,0.11,0.02,0.11,0.12,0.02,0.12,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
326,Sam Morsy,eg EGY,MF,Ipswich Town,33-138,1991,21,20,"1,813",20.1,1,1,2,1,0,0,7,0,0.3,0.3,0.6,0.9,8,78,8,0.05,0.05,0.10,0.05,0.10,0.02,0.03,0.04,0.02,0.04,Matches,,,,,,,
327,Yerson Mosquera,co COL,DF,Wolves,23-269,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,,,,,,,
328,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-016,1999,8,4,247,2.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,8,5,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18,Matches,,,,,,,
329,Divin Mubama,eng ENG,FW,Manchester City,20-093,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,,,,,,,
330,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-021,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches,,,,,,,
331,Rodrigo Muniz,br BRA,FW,Fulham,23-267,2001,21,5,627,7.0,3,1,4,3,0,0,1,0,2.8,2.8,0.6,3.4,4,18,22,0.43,0.14,0.57,0.43,0.57,0.40,0.09,0.48,0.40,0.48,Matches,,,,,,,
332,Daniel Muñoz,co COL,DF,Crystal Palace,28-245,1996,21,21,"1,803",20.0,2,1,3,2,0,0,5,0,3.3,3.3,2.7,6.0,29,52,131,0.10,0.05,0.15,0.10,0.15,0.17,0.13,0.30,0.17,0.30,Matches,,,,,,,
333,Arijanet Muric,xk KVX,GK,Ipswich Town,26-080,1998,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
334,Murillo,br BRA,DF,Nott'ham Forest,22-206,2002,22,22,"1,957",21.7,1,0,1,1,0,0,4,0,1.1,1.1,0.9,2.0,11,64,3,0.05,0.00,0.05,0.05,0.05,0.05,0.04,0.09,0.05,0.09,Matches,,,,,,,
335,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-337,1995,20,16,"1,255",13.9,3,7,10,3,0,0,2,0,2.4,2.4,6.3,8.7,47,48,119,0.22,0.50,0.72,0.22,0.72,0.17,0.45,0.63,0.17,0.63,Matches,,,,,,,
336,Vitaliy Mykolenko,ua UKR,DF,Everton,25-242,1999,20,20,"1,735",19.3,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,19,69,49,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,,,,,,,
337,Iliman Ndiaye,sn SEN,FW,Everton,24-326,2000,22,20,"1,763",19.6,5,0,5,4,1,1,3,0,3.1,2.3,1.4,3.8,67,36,91,0.26,0.00,0.26,0.20,0.20,0.16,0.07,0.23,0.12,0.19,Matches,,,,,,,
338,Wilfred Ndidi,ng NGA,MF,Leicester City,28-041,1996,15,15,"1,215",13.5,0,4,4,0,0,0,4,0,1.4,1.4,1.4,2.8,9,37,49,0.00,0.30,0.30,0.00,0.30,0.10,0.10,0.20,0.10,0.20,Matches,,,,,,,
339,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-041,2005,4,0,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
340,Reiss Nelson,eng ENG,FW,Arsenal,25-047,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
341,Reiss Nelson,eng ENG,FW,Fulham,25-047,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches,,,,,,,
342,Neto,br BRA,GK,Bournemouth,35-191,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
343,Pedro Neto,pt POR,FW,Chelsea,24-323,2000,20,11,"1,091",12.1,1,2,3,1,0,0,6,0,0.9,0.9,2.6,3.6,70,24,108,0.08,0.16,0.25,0.08,0.25,0.07,0.22,0.29,0.07,0.29,Matches,,,,,,,
344,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-241,1999,16,6,608,6.8,0,1,1,0,0,0,3,0,1.6,1.6,1.3,2.9,30,11,50,0.00,0.15,0.15,0.00,0.15,0.23,0.19,0.42,0.23,0.42,Matches,,,,,,,
345,Christopher Nkunku,fr FRA,FW,Chelsea,27-073,1997,19,3,432,4.8,2,1,3,2,0,0,1,0,4.0,4.0,1.7,5.6,7,11,36,0.42,0.21,0.62,0.42,0.62,0.82,0.35,1.17,0.82,1.17,Matches,,,,,,,
346,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-152,1998,15,9,800,8.9,0,4,4,0,0,0,2,0,0.5,0.5,2.9,3.4,38,34,106,0.00,0.45,0.45,0.00,0.45,0.06,0.33,0.39,0.06,0.39,Matches,,,,,,,
347,Darwin Núñez,uy URU,FW,Liverpool,25-216,1999,17,7,804,8.9,4,2,6,4,0,0,6,0,3.4,3.4,0.9,4.3,19,17,58,0.45,0.22,0.67,0.45,0.67,0.38,0.10,0.48,0.38,0.48,Matches,,,,,,,
348,Ethan Nwaneri,eng ENG,"MF,FW",Arsenal,17-311,2007,13,3,284,3.2,2,0,2,2,0,0,1,0,0.5,0.5,0.2,0.7,14,11,22,0.63,0.00,0.63,0.63,0.63,0.16,0.07,0.24,0.16,0.24,Matches,,,,,,,
349,Christian Nørgaard,dk DEN,MF,Brentford,30-322,1994,19,19,"1,559",17.3,2,2,4,2,0,0,4,1,2.3,2.3,0.5,2.9,9,79,28,0.12,0.12,0.23,0.12,0.23,0.13,0.03,0.17,0.13,0.17,Matches,,,,,,,
350,Jake O'Brien,ie IRL,DF,Everton,23-256,2001,5,2,221,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
351,Matt O'Riley,dk DEN,MF,Brighton,24-066,2000,10,5,423,4.7,1,1,2,1,0,0,1,0,1.2,1.2,1.1,2.3,7,18,24,0.21,0.21,0.43,0.21,0.43,0.25,0.24,0.49,0.25,0.49,Matches,,,,,,,
352,Dara O'Shea,ie IRL,DF,Ipswich Town,25-328,1999,20,20,"1,772",19.7,0,0,0,0,0,0,5,0,0.8,0.8,0.0,0.8,3,48,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
353,Wilson Odobert,fr FRA,FW,Tottenham,20-059,2004,3,2,162,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.27,0.23,0.27,Matches,,,,,,,
354,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-270,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,
