,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
Michail Antonio,jmJAM,FW,West Ham,34-321,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
Antony,brBRA,"DF,MF",Manchester Utd,24-354,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
Julian Araujo,mxMEX,DF,Bournemouth,23-183,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cameron Archer,engENG,FW,Southampton,23-206,2001,21,10,"1,047",11.6,2,0,2,2,0,1,0,0,4.4,3.6,0.3,4.0,15,11,46,0.17,0.00,0.17,0.17,0.17,0.38,0.03,0.41,0.31,0.34,Matches
Alphonse Areola,frFRA,GK,West Ham,31-351,1993,13,12,"1,090",12.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joe Aribo,ngNGA,MF,Southampton,28-206,1996,23,15,"1,465",16.3,3,0,3,3,0,0,1,0,2.6,2.6,1.5,4.0,29,56,54,0.18,0.00,0.18,0.18,0.18,0.16,0.09,0.25,0.16,0.25,Matches
Adam Armstrong,engENG,"FW,MF",Southampton,28-002,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Harrison Armstrong,engENG,MF,Everton,18-024,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-132,1994,17,17,"1,530",17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Brandon Austin,engENG,GK,Tottenham,26-035,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-184,1997,19,2,257,2.9,1,0,1,1,0,0,0,0,2.0,2.0,0.1,2.1,5,5,13,0.35,0.00,0.35,0.35,0.35,0.70,0.04,0.74,0.70,0.74,Matches
Yasin Ayari,seSWE,MF,Brighton,21-129,2003,20,14,"1,267",14.1,0,0,0,0,0,0,3,0,1.4,1.4,1.2,2.6,19,45,51,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-154,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-154,1991,21,13,"1,170",13.0,4,0,4,3,1,1,4,0,2.8,2.0,0.7,2.8,25,25,61,0.31,0.00,0.31,0.23,0.23,0.22,0.05,0.27,0.16,0.21,Matches
Benoît Badiashile,frFRA,DF,Chelsea,23-323,2001,4,2,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,16,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-187,1997,20,13,"1,035",11.5,1,2,3,1,0,0,2,0,1.5,1.5,1.5,3.0,51,32,107,0.09,0.17,0.26,0.09,0.26,0.13,0.13,0.26,0.13,0.26,Matches
Carlos Baleba,cmCMR,MF,Brighton,21-040,2004,20,18,"1,520",16.9,2,1,3,2,0,0,7,1,1.3,1.3,0.7,2.0,27,76,17,0.12,0.06,0.18,0.12,0.18,0.08,0.04,0.12,0.08,0.12,Matches
Ross Barkley,engENG,MF,Aston Villa,31-069,1993,16,3,554,6.2,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,32,8,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,Matches
Harvey Barnes,engENG,FW,Newcastle Utd,27-065,1997,20,6,782,8.7,5,1,6,5,0,0,0,0,3.0,3.0,2.4,5.4,42,41,82,0.58,0.12,0.69,0.58,0.69,0.34,0.28,0.62,0.34,0.62,Matches
Calvin Bassey,ngNGA,DF,Fulham,25-043,1999,23,23,"2,070",23.0,0,0,0,0,0,0,5,0,0.8,0.8,0.1,0.9,19,74,11,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Jan Bednarek,plPOL,DF,Southampton,28-306,1996,20,20,"1,782",19.8,2,0,2,2,0,0,5,0,0.7,0.7,0.5,1.1,4,47,1,0.10,0.00,0.10,0.10,0.10,0.03,0.02,0.06,0.03,0.06,Matches
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-230,1998,22,11,947,10.5,2,2,4,2,0,0,3,0,0.9,0.9,1.0,1.9,25,22,48,0.19,0.19,0.38,0.19,0.38,0.09,0.10,0.18,0.09,0.18,Matches
Rodrigo Bentancur,uyURU,MF,Tottenham,27-232,1997,14,11,868,9.6,2,0,2,2,0,0,5,0,0.8,0.8,0.3,1.2,13,58,12,0.21,0.00,0.21,0.21,0.21,0.09,0.04,0.12,0.09,0.12,Matches
Sander Berge,noNOR,MF,Fulham,26-364,1998,17,13,"1,227",13.6,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.6,14,62,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Lucas Bergvall,seSWE,MF,Tottenham,19-010,2006,17,5,607,6.7,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,15,32,13,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-058,2002,21,21,"1,847",20.5,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.6,29,53,51,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.08,0.01,0.08,Matches
Beto,gwGNB,FW,Everton,27-012,1998,15,2,404,4.5,3,0,3,3,0,0,1,0,2.3,2.3,0.0,2.3,7,3,22,0.67,0.00,0.67,0.67,0.67,0.52,0.00,0.52,0.52,0.52,Matches
Philip Billing,dkDEN,MF,Bournemouth,28-246,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.0,1.6,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.51,0.79,0.28,0.79,Matches
Yves Bissouma,mlMLI,MF,Tottenham,28-166,1996,18,12,"1,036",11.5,2,0,2,2,0,0,5,0,0.4,0.4,0.2,0.7,15,66,3,0.17,0.00,0.17,0.17,0.17,0.04,0.02,0.06,0.04,0.06,Matches
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-038,2004,5,4,349,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,10,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Willy Boly,ciCIV,DF,Nott'ham Forest,34-009,1991,5,1,134,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Sven Botman,nlNED,DF,Newcastle Utd,25-031,2000,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jarrod Bowen,engENG,"FW,MF",West Ham,28-054,1996,20,20,"1,745",19.4,6,4,10,5,1,1,1,0,4.9,4.1,4.6,8.7,68,62,116,0.31,0.21,0.52,0.26,0.46,0.25,0.23,0.49,0.21,0.45,Matches
Conor Bradley,nirNIR,DF,Liverpool,21-218,2003,9,1,262,2.9,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,12,11,15,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
Jarrad Branthwaite,engENG,DF,Everton,22-230,2002,16,14,"1,268",14.1,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.6,6,34,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
