,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
Marc Cucurella,esESP,DF,Chelsea,26-205,1998,22,20,"1,804",20.0,2,1,3,2,0,0,8,1,1.6,1.6,1.6,3.2,23,67,72,0.10,0.05,0.15,0.10,0.15,0.08,0.08,0.16,0.08,0.16,Matches
Jorge Cuenca,esESP,DF,Fulham,25-087,1999,4,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matheus Cunha,brBRA,"MF,FW",Wolves,25-261,1999,23,21,"1,875",20.8,11,4,15,11,0,0,3,0,5.2,5.2,6.1,11.3,83,96,122,0.53,0.19,0.72,0.53,0.72,0.25,0.29,0.54,0.25,0.54,Matches
Patson Daka,zmZAM,"FW,MF",Leicester City,26-126,1998,12,1,307,3.4,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,3,4,17,0.29,0.00,0.29,0.29,0.29,0.15,0.00,0.15,0.15,0.15,Matches
Diogo Dalot,ptPOR,DF,Manchester Utd,25-331,1999,23,23,"2,036",22.6,0,1,1,0,0,0,4,0,1.4,1.4,1.4,2.9,41,77,110,0.00,0.04,0.04,0.00,0.04,0.06,0.06,0.13,0.06,0.13,Matches
Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-224,2000,24,21,"1,793",19.9,2,7,9,2,0,0,1,0,2.0,2.0,5.9,7.9,46,147,79,0.10,0.35,0.45,0.10,0.45,0.10,0.30,0.40,0.10,0.40,Matches
Danilo,brBRA,MF,Nott'ham Forest,23-289,2001,2,2,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Danns,engENG,MF,Liverpool,19-027,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Davies,wlsWAL,DF,Tottenham,31-294,1993,7,6,541,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,24,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Leif Davis,engENG,DF,Ipswich Town,25-031,2000,24,24,"2,112",23.5,1,2,3,1,0,0,5,0,0.8,0.8,3.5,4.3,39,44,99,0.04,0.09,0.13,0.04,0.13,0.04,0.15,0.18,0.04,0.18,Matches
Craig Dawson,engENG,DF,Wolves,34-282,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Kevin De Bruyne,beBEL,MF,Manchester City,33-229,1991,17,11,"1,011",11.2,2,6,8,2,0,0,2,0,2.5,2.5,6.0,8.5,35,106,99,0.18,0.53,0.71,0.18,0.71,0.22,0.54,0.76,0.22,0.76,Matches
Liam Delap,engENG,FW,Ipswich Town,22-004,2003,23,22,"1,764",19.6,9,2,11,7,2,2,7,0,7.2,5.6,1.8,7.4,41,20,74,0.46,0.10,0.56,0.36,0.46,0.37,0.09,0.46,0.29,0.38,Matches
Sepp van den Berg,nlNED,DF,Brentford,23-054,2001,20,19,"1,698",18.9,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,51,23,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Justin Devenny,nirNIR,MF,Crystal Palace,21-124,2003,11,2,268,3.0,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,3,8,7,0.34,0.00,0.34,0.34,0.34,0.16,0.12,0.27,0.16,0.27,Matches
Kiernan Dewsbury-Hall,engENG,MF,Chelsea,26-159,1998,6,1,135,1.5,0,1,1,0,0,0,0,0,0.2,0.2,1.0,1.2,3,10,7,0.00,0.67,0.67,0.00,0.67,0.15,0.66,0.80,0.15,0.80,Matches
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-216,2002,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
Rúben Dias,ptPOR,DF,Manchester City,27-274,1997,14,13,"1,177",13.1,0,0,0,0,0,0,3,0,1.1,1.1,0.3,1.3,19,78,5,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
Luis Díaz,coCOL,FW,Liverpool,28-030,1997,22,17,"1,429",15.9,8,2,10,8,0,0,2,0,6.8,6.8,2.1,8.9,61,64,147,0.50,0.13,0.63,0.50,0.63,0.43,0.13,0.56,0.43,0.56,Matches
Tyler Dibling,engENG,"FW,MF",Southampton,18-337,2006,20,14,"1,230",13.7,2,0,2,2,0,0,6,0,2.1,2.1,1.3,3.4,51,41,70,0.15,0.00,0.15,0.15,0.15,0.15,0.09,0.25,0.15,0.25,Matches
Lucas Digne,frFRA,DF,Aston Villa,31-207,1993,24,21,"1,772",19.7,0,3,3,0,0,0,3,0,0.8,0.8,3.5,4.3,19,44,116,0.00,0.15,0.15,0.00,0.15,0.04,0.18,0.22,0.04,0.22,Matches
Issa Diop,frFRA,DF,Fulham,28-034,1997,17,12,"1,072",11.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,4,23,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Axel Disasi,frFRA,DF,Chelsea,26-338,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
Roman Dixon,engENG,DF,Everton,20-048,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matt Doherty,ieIRL,DF,Wolves,33-027,1992,17,13,"1,160",12.9,2,1,3,2,0,0,3,0,0.9,0.9,1.4,2.3,16,48,31,0.16,0.08,0.23,0.16,0.23,0.07,0.11,0.18,0.07,0.18,Matches
Jeremy Doku,beBEL,"FW,MF",Manchester City,22-261,2002,15,9,789,8.8,3,4,7,3,0,0,0,0,0.8,0.8,2.3,3.0,104,36,147,0.34,0.46,0.80,0.34,0.80,0.09,0.26,0.34,0.09,0.34,Matches
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-229,1998,21,12,"1,124",12.5,0,0,0,0,0,0,6,0,1.2,1.2,0.7,1.9,9,46,16,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15,Matches
Alfie Dorrington,engENG,DF,Tottenham,19-298,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Abdoulaye Doucouré,mlMLI,MF,Everton,32-042,1993,21,20,"1,682",18.7,1,0,1,1,0,0,2,0,1.7,1.7,1.2,2.9,29,55,61,0.05,0.00,0.05,0.05,0.05,0.09,0.06,0.15,0.09,0.15,Matches
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-035,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Flynn Downes,engENG,MF,Southampton,26-023,1999,18,17,"1,432",15.9,1,0,1,1,0,0,9,0,0.6,0.6,0.9,1.5,18,50,23,0.06,0.00,0.06,0.06,0.06,0.04,0.06,0.09,0.04,0.09,Matches
Tommy Doyle,engENG,MF,Wolves,23-118,2001,19,3,462,5.1,0,1,1,0,0,0,1,0,0.5,0.5,0.5,1.0,6,38,2,0.00,0.19,0.19,0.00,0.19,0.09,0.10,0.19,0.09,0.19,Matches
Radu Drăgușin,roROU,DF,Tottenham,23-009,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-028,1989,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lewis Dunk,engENG,DF,Brighton,33-083,1991,19,17,"1,562",17.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,17,111,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Jáder Durán,coCOL,FW,Aston Villa,21-061,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
Ederson,brBRA,GK,Manchester City,31-179,1993,15,15,"1,350",15.0,0,2,2,0,0,0,3,0,0.0,0.0,0.5,0.5,0,1,0,0.00,0.13,0.13,0.00,0.13,0.00,0.03,0.03,0.00,0.03,Matches
George Edmundson,engENG,DF,Ipswich Town,27-165,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-027,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
Odsonne Édouard,frFRA,FW,Leicester City,27-027,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
Samuel Edozie,engENG,"DF,FW",Southampton,22-015,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
Ronnie Edwards,engENG,DF,Southampton,21-321,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,22-291,2002,24,18,"1,459",16.2,3,8,11,3,0,0,1,0,2.6,2.6,4.0,6.5,60,32,117,0.19,0.49,0.68,0.19,0.68,0.16,0.24,0.40,0.16,0.40,Matches
Harvey Elliott,engENG,"MF,FW",Liverpool,21-314,2003,9,0,82,0.9,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.8,3,11,8,0.00,1.10,1.10,0.00,1.10,0.07,0.84,0.91,0.07,0.91,Matches
Yunus Emre Konak,trTUR,"MF,FW",Brentford,19-033,2006,5,0,21,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.66,0.66,Matches
Julio Enciso,pyPAR,MF,Ipswich Town,21-020,2004,2,1,100,1.1,0,1,1,0,0,0,1,0,0.4,0.4,0.3,0.7,3,9,7,0.00,0.90,0.90,0.00,0.90,0.36,0.23,0.59,0.36,0.59,Matches
Julio Enciso,pyPAR,"MF,FW",Brighton,21-020,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,Matches
Wataru Endo,jpJPN,MF,Liverpool,32-003,1993,10,0,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Christian Eriksen,dkDEN,MF,Manchester Utd,32-364,1992,13,7,637,7.1,0,1,1,0,0,0,2,0,0.1,0.1,2.1,2.2,5,34,19,0.00,0.14,0.14,0.00,0.14,0.02,0.29,0.30,0.02,0.30,Matches
Romain Esse,engENG,MF,Crystal Palace,19-275,2005,1,0,7,0.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,1,2,12.86,0.00,12.86,12.86,12.86,3.61,0.00,3.61,3.61,3.61,Matches
Pervis Estupiñán,ecECU,DF,Brighton,27-022,1998,18,15,"1,417",15.7,0,1,1,0,0,0,3,0,0.6,0.6,1.8,2.4,39,71,76,0.00,0.06,0.06,0.00,0.06,0.04,0.11,0.15,0.04,0.15,Matches
Evanilson,brBRA,FW,Bournemouth,25-129,1999,19,17,"1,370",15.2,5,0,5,5,0,1,0,0,6.6,5.8,1.1,6.9,19,13,61,0.33,0.00,0.33,0.33,0.33,0.43,0.07,0.51,0.38,0.45,Matches
Jonny Evans,nirNIR,DF,Manchester Utd,37-040,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-228,1998,20,19,"1,611",17.9,2,5,7,2,0,0,1,0,4.9,4.9,3.4,8.3,46,70,108,0.11,0.28,0.39,0.11,0.39,0.27,0.19,0.47,0.27,0.47,Matches
Łukasz Fabiański,plPOL,GK,West Ham,39-300,1985,13,12,"1,070",11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wout Faes,beBEL,DF,Leicester City,26-315,1998,21,17,"1,645",18.3,1,0,1,1,0,0,3,0,1.1,1.1,0.1,1.2,8,57,1,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07,Matches
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,20-341,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
João Félix,ptPOR,"FW,MF",Chelsea,25-094,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,29,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
Evan Ferguson,ieIRL,FW,Brighton,20-116,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-157,1994,23,23,"1,925",21.4,5,6,11,2,3,3,4,2,7.8,5.5,5.0,10.4,51,186,100,0.23,0.28,0.51,0.09,0.37,0.37,0.23,0.60,0.26,0.49,Matches
Mateus Fernandes,ptPOR,MF,Southampton,20-217,2004,22,20,"1,739",19.3,1,2,3,1,0,0,7,0,3.1,3.1,1.9,5.0,51,88,64,0.05,0.10,0.16,0.05,0.16,0.16,0.10,0.26,0.16,0.26,Matches
Enzo Fernández,arARG,MF,Chelsea,24-026,2001,22,18,"1,692",18.8,3,4,7,3,0,0,4,0,2.9,2.9,3.8,6.6,26,130,66,0.16,0.21,0.37,0.16,0.37,0.15,0.20,0.35,0.15,0.35,Matches
Mark Flekken,nlNED,GK,Brentford,31-244,1993,23,23,"2,015",22.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
Phil Foden,engENG,"MF,FW",Manchester City,24-260,2000,19,15,"1,364",15.2,7,2,9,7,0,0,2,0,4.6,4.6,3.9,8.5,37,81,98,0.46,0.13,0.59,0.46,0.59,0.30,0.26,0.56,0.30,0.56,Matches
Wesley Fofana,frFRA,DF,Chelsea,24-057,2000,12,12,"1,015",11.3,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.8,14,25,4,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07,Matches
Carlos Forbs,ptPOR,"MF,FW",Wolves,20-330,2004,9,1,237,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,9,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
Fraser Forster,engENG,GK,Tottenham,36-332,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Fraser,sctSCO,"FW,DF",Southampton,30-354,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Niclas Füllkrug,deGER,FW,West Ham,32-003,1993,9,3,370,4.1,2,1,3,2,0,0,1,0,1.4,1.4,1.0,2.4,3,4,8,0.49,0.24,0.73,0.49,0.73,0.35,0.24,0.59,0.35,0.59,Matches
Cody Gakpo,nlNED,FW,Liverpool,25-281,1999,23,15,"1,302",14.5,8,3,11,8,0,0,4,0,5.5,5.5,3.4,8.9,37,41,199,0.55,0.21,0.76,0.55,0.76,0.38,0.24,0.61,0.38,0.61,Matches
Idrissa Gana Gueye,snSEN,MF,Everton,35-139,1989,22,20,"1,757",19.5,0,2,2,0,0,0,4,0,0.9,0.9,1.1,2.0,15,87,14,0.00,0.10,0.10,0.00,0.10,0.04,0.06,0.10,0.04,0.10,Matches
Andrés García,esESP,DF,Aston Villa,22-005,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alejandro Garnacho,arARG,"FW,MF",Manchester Utd,20-226,2004,23,13,"1,321",14.7,3,1,4,3,0,0,1,0,5.1,5.1,2.5,7.5,78,27,183,0.20,0.07,0.27,0.20,0.27,0.35,0.17,0.51,0.35,0.51,Matches
James Garner,engENG,"DF,MF",Everton,23-336,2001,6,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,2,5,6,0.00,0.26,0.26,0.00,0.26,0.02,0.18,0.20,0.02,0.20,Matches
Tyrique George,engENG,FW,Chelsea,19-008,2006,1,0,7,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-016,2000,20,20,"1,570",17.4,5,4,9,5,0,0,7,1,3.3,3.3,3.3,6.6,46,96,80,0.29,0.23,0.52,0.29,0.52,0.19,0.19,0.38,0.19,0.38,Matches
Billy Gilmour,sctSCO,MF,Brighton,23-246,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Ben Godfrey,engENG,DF,Ipswich Town,27-028,1998,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martial Godo,engENG,FW,Fulham,21-335,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Gomes,brBRA,MF,Wolves,24-000,2001,22,22,"1,852",20.6,2,1,3,2,0,0,8,1,1.6,1.6,0.8,2.4,35,107,43,0.10,0.05,0.15,0.10,0.15,0.08,0.04,0.12,0.08,0.12,Matches
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-220,2003,17,6,569,6.3,1,0,1,1,0,0,0,0,0.4,0.4,0.7,1.1,17,22,57,0.16,0.00,0.16,0.16,0.16,0.06,0.11,0.17,0.06,0.17,Matches
Toti Gomes,ptPOR,DF,Wolves,26-027,1999,17,16,"1,354",15.0,0,1,1,0,0,0,4,0,0.0,0.0,0.6,0.7,6,37,7,0.00,0.07,0.07,0.00,0.07,0.00,0.04,0.04,0.00,0.04,Matches
Diego Gómez,pyPAR,MF,Brighton,21-322,2003,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joe Gomez,engENG,DF,Liverpool,27-265,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Anthony Gordon,engENG,FW,Newcastle Utd,23-354,2001,23,22,"1,856",20.6,6,5,11,5,1,2,2,0,7.4,5.8,4.9,10.7,96,73,174,0.29,0.24,0.53,0.24,0.48,0.36,0.24,0.59,0.28,0.52,Matches
Ryan Gravenberch,nlNED,MF,Liverpool,22-272,2002,23,23,"1,985",22.1,0,2,2,0,0,0,5,0,0.9,0.9,2.7,3.5,47,120,36,0.00,0.09,0.09,0.00,0.09,0.04,0.12,0.16,0.04,0.16,Matches
Archie Gray,engENG,DF,Tottenham,18-337,2006,17,10,962,10.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,25,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jack Grealish,engENG,"FW,MF",Manchester City,29-155,1995,15,6,608,6.8,0,1,1,0,0,0,3,0,0.8,0.8,1.7,2.4,66,43,111,0.00,0.15,0.15,0.00,0.15,0.12,0.25,0.36,0.12,0.36,Matches
Jacob Greaves,engENG,DF,Ipswich Town,24-153,2000,14,14,"1,260",14.0,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,2,31,4,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.05,0.05,0.05,Matches
Brajan Gruda,deGER,"FW,MF",Brighton,20-257,2004,11,5,367,4.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,14,13,39,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.21,0.07,0.21,Matches
Albert Grønbaek,dkDEN,MF,Southampton,23-265,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-075,1996,21,6,695,7.7,2,4,6,2,0,0,1,0,2.2,2.2,1.0,3.1,26,27,50,0.26,0.52,0.78,0.26,0.78,0.28,0.13,0.41,0.28,0.41,Matches
Marc Guéhi,engENG,DF,Crystal Palace,24-214,2000,23,23,"2,070",23.0,3,1,4,3,0,0,5,0,1.5,1.5,0.5,2.0,10,90,5,0.13,0.04,0.17,0.13,0.17,0.07,0.02,0.09,0.07,0.09,Matches
Luis Guilherme,brBRA,"MF,FW",West Ham,19-003,2006,6,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,2,6,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.14,0.05,0.14,Matches
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-088,1997,24,24,"2,088",23.2,2,6,8,2,0,0,3,0,2.2,2.2,5.1,7.3,32,177,55,0.09,0.26,0.34,0.09,0.34,0.10,0.22,0.32,0.10,0.32,Matches
Marc Guiu,esESP,FW,Chelsea,19-039,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
İlkay Gündoğan,deGER,MF,Manchester City,34-111,1990,21,15,"1,344",14.9,0,1,1,0,0,0,1,0,1.6,1.6,1.9,3.6,37,87,59,0.00,0.07,0.07,0.00,0.07,0.11,0.13,0.24,0.11,0.24,Matches
Malo Gusto,frFRA,DF,Chelsea,21-269,2003,20,14,"1,302",14.5,0,1,1,0,0,0,3,0,1.5,1.5,0.9,2.4,33,75,64,0.00,0.07,0.07,0.00,0.07,0.10,0.06,0.17,0.10,0.17,Matches
Joško Gvardiol,hrCRO,DF,Manchester City,23-020,2002,23,22,"2,022",22.5,5,0,5,5,0,0,1,0,4.2,3.8,1.5,5.4,56,163,79,0.22,0.00,0.22,0.22,0.22,0.19,0.07,0.25,0.17,0.24,Matches
Erling Haaland,noNOR,FW,Manchester City,24-206,2000,24,24,"2,124",23.6,19,2,21,18,1,2,2,0,18.2,16.6,2.1,18.7,16,15,95,0.81,0.08,0.89,0.76,0.85,0.77,0.09,0.86,0.70,0.79,Matches
Lewis Hall,engENG,DF,Newcastle Utd,20-157,2004,24,21,"1,919",21.3,0,3,3,0,0,0,3,0,0.4,0.4,3.6,4.0,37,109,71,0.00,0.14,0.14,0.00,0.14,0.02,0.17,0.19,0.02,0.19,Matches
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,22-348,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Marcus Harness,engENG,MF,Ipswich Town,28-354,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jack Harrison,engENG,FW,Everton,28-084,1996,19,12,"1,000",11.1,0,0,0,0,0,0,0,0,2.2,2.2,2.0,4.2,24,25,59,0.00,0.00,0.00,0.00,0.00,0.20,0.18,0.38,0.20,0.38,Matches
Taylor Harwood-Bellis,engENG,DF,Southampton,23-013,2002,23,22,"1,895",21.1,1,0,1,1,0,0,7,0,1.6,1.6,0.8,2.3,19,92,7,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches
Kai Havertz,deGER,"FW,MF",Arsenal,25-246,1999,21,21,"1,839",20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
Jan Paul van Hecke,nlNED,DF,Brighton,24-249,2000,22,21,"1,880",20.9,0,1,1,0,0,0,4,0,0.8,0.8,1.0,1.7,39,167,5,0.00,0.05,0.05,0.00,0.05,0.04,0.05,0.08,0.04,0.08,Matches
Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-017,1996,17,5,620,6.9,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,14,11,38,0.29,0.00,0.29,0.29,0.29,0.12,0.02,0.13,0.12,0.13,Matches
Dean Henderson,engENG,GK,Crystal Palace,27-337,1997,24,24,"2,160",24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rico Henry,engENG,DF,Brentford,27-219,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Hermansen,dkDEN,GK,Leicester City,24-216,2000,17,17,"1,485",16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
