,Performance,Aerial Duels,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-039,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-283,2006,1.8,0,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-364,1999,9.6,4,0,0,20,9,0,0,24,29,0,1,0,44,15,8,65.2,Matches,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-141,1997,9.1,2,0,0,5,2,1,0,3,9,0,0,0,25,23,13,63.9,Matches,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-042,2002,6.6,0,0,0,9,0,0,20,6,7,0,0,0,30,3,1,75.0,Matches,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-240,1997,4.0,1,0,0,0,1,1,0,5,9,0,0,0,24,8,5,61.5,Matches,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-137,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-127,1996,23.1,2,0,0,14,25,2,34,29,35,0,0,0,134,10,15,40.0,Matches,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-251,2001,21.7,6,1,1,22,24,2,45,16,34,0,0,0,101,13,20,39.4,Matches,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-301,1998,8.8,3,0,0,8,5,0,8,6,8,0,0,0,23,14,15,48.3,Matches,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-208,1995,19.0,3,0,0,16,9,0,11,7,10,0,0,0,86,23,29,44.2,Matches,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-360,1995,6.7,0,0,0,2,0,0,1,3,7,0,0,0,22,13,10,56.5,Matches,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-074,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-128,1998,19.3,4,0,0,9,6,1,131,25,38,0,0,0,100,2,11,15.4,Matches,,,,
15,Alisson,br BRA,GK,Liverpool,32-133,1992,14.9,0,0,0,0,1,0,0,0,0,0,0,0,25,5,0,100.0,Matches,,,,
